hypothesis_id,description,total_trades,min_trades_per_q,median_trades_per_q,max_trades_per_q,max_q_trade_share_pct,max_to_median_ratio,trade_count_gini,top3_q_pnl_share_pct,top5_q_pnl_share_pct,rolling_4q_pos_pct,rolling_4q_pf12_pct,overall_pf,overall_wr_pct,net_pnl_usd,avg_expectancy_usd,avg_expectancy_r,gate_min_trades,gate_max_share,gate_max_median,gate_gini,gate_top3_pnl,gate_top5_pnl,gate_r4_pos,gate_r4_pf,gate_pf,gate_expectancy,all_precommitted_gates_pass,diagnostic_r8_pos_pct,diagnostic_r8_pf12_pct,diagnostic_pos_years_pct,diagnostic_100pip_stress_pf,final_status
H-204,"Light Trend Squeeze (EMA 20/50, TP=2.5x)",311,4,9.0,19,6.109324758842444,2.111111111111111,0.21709051934132323,102.05400177788448,121.79752918173602,73.33333333333333,53.333333333333336,1.256319024114283,34.0625,3737.923214285741,11.68101004464294,0.17089059888931016,False,False,True,True,False,False,True,False,True,True,False,73.07692307692307,50.0,85.71428571428571,1.1310869318173855,VALIDLY REPRODUCED — REJECTED
H-205,"Volatility Ratio Contraction (Donchian 10, TP=2.5x)",2545,50,79.0,98,3.8506876227897844,1.240506329113924,0.10030362564743704,-999.0,-999.0,6.666666666666667,3.3333333333333335,0.9623726629538132,26.671790930053806,-3307.1982142856627,-1.2710216042604392,-0.08740934899881916,True,True,True,True,False,False,False,False,False,False,False,7.6923076923076925,0.0,0.0,0.7399756973084601,VALIDLY REPRODUCED — REJECTED
H-206,"Range Compression (3-bar Breakout + EMA50, TP=2.5x)",1623,32,49.0,63,3.8817005545286505,1.2857142857142858,0.07584159525009802,178.68402652626085,206.03562576278728,40.0,10.0,1.086734443644154,28.433734939759038,8273.771428571374,4.984199655765888,-0.02979240792375618,True,True,True,True,False,False,False,False,False,True,False,23.076923076923077,7.6923076923076925,42.857142857142854,0.9701470861851623,VALIDLY REPRODUCED — REJECTED
H-207,"Session-Aware Squeeze (07-17 UTC + EMA50, TP=2.5x)",277,2,8.0,20,7.2202166064981945,2.5,0.2678043977682967,148.10049975915788,183.3696185504837,56.666666666666664,43.333333333333336,1.1638925108603144,32.269503546099294,2003.4589285714292,7.104464285714288,0.1070778156473402,False,False,True,True,False,False,False,False,False,True,False,57.692307692307686,38.46153846153847,57.14285714285714,1.0037605645149976,VALIDLY REPRODUCED — REJECTED
H-208A,Long-Only Squeeze + Bullish EMA50 Slope (TP=2.0x),234,2,6.0,19,8.11965811965812,3.1666666666666665,0.24682724682724683,72.54653535005095,86.97937958020873,73.33333333333333,56.666666666666664,1.465742987924157,40.66390041493776,4119.76785714286,17.094472436277425,0.1989882632989302,False,False,False,True,False,False,True,False,True,True,False,88.46153846153845,57.692307692307686,71.42857142857143,1.2535768843289725,VALIDLY REPRODUCED — REJECTED
H-208B,Short-Only Squeeze + Bearish EMA50 Slope (TP=3.0x),227,1,6.0,15,6.607929515418502,2.5,0.25470564677613133,-999.0,-999.0,50.0,36.666666666666664,0.8889340546383846,26.382978723404253,-1426.6535714285685,-6.070866261398164,0.03420562329556856,False,False,True,True,False,False,False,False,False,False,False,42.30769230769231,26.923076923076923,42.857142857142854,0.7733255808199532,VALIDLY REPRODUCED — REJECTED
H-208C,"Symmetrical Squeeze + Asymmetric TP (Long 2x, Short 3x)",456,5,13.0,28,6.140350877192982,2.1538461538461537,0.20241892610313664,75.47696731288782,112.60286139867117,73.33333333333333,33.33333333333333,1.1293199284845266,33.75796178343949,2773.125000000005,5.887738853503195,0.12111259376481964,True,False,True,True,False,False,True,False,False,True,False,76.92307692307693,26.923076923076923,85.71428571428571,0.9713414699576249,VALIDLY REPRODUCED — REJECTED
