year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd
2018,25,131.54285714284237,485.8607142857062,354.3178571428638
2019,20,-38.128571428573224,360.3571428571413,398.4857142857145
2020,39,-974.8892857142866,1093.4857142857165,2068.375000000003
2021,29,461.339285714291,1333.889285714285,872.549999999994
2022,25,694.7428571428668,1361.9964285714382,667.2535714285714
2023,17,-309.060714285717,290.36785714285577,599.4285714285728
2024,21,69.81428571430143,951.1428571428623,881.328571428561
2025,26,-892.5714285714259,1515.8678571428582,2408.439285714284
2026,25,-714.871428571437,3753.075,4467.946428571437
