year,n_events,mean_5m_bps,median_5m_bps,win_rate_5m_pct,is_valid_year
2018,27520,0.029434092489151856,0.08191987456819552,51.111918604651166,True
2019,25353,0.02440526635881281,0.06710553687778675,50.230741924032664,True
2020,34119,0.14428210745122272,0.26605934187536995,52.19672323338902,True
2021,36420,0.06490452775880412,0.11175369544610911,51.04063701263042,True
2022,36289,0.02594661608681827,0.05639903444847895,50.41197056959409,True
2023,35946,0.010296330863237136,0.10086771513041207,50.906915929449724,True
2024,36836,0.02512794891871931,0.14173314527209946,51.354653056792266,True
2025,39148,-0.06356622913333322,0.06933564657169816,50.54919791560233,True
