volatility_state,n_events,mean_5m_bps,median_5m_bps,win_rate_5m_pct
0-49,126886,0.025617841935512427,0.055904180256428945,50.42006210299008
50-79,72821,0.07234770217319672,0.15762677133069947,51.43021930487085
80-94,44084,0.017177722600974377,0.2190331606983159,51.5583885309863
95-100,27840,-0.029169257107834246,0.22720109350017437,51.512212643678154
