score_bin,n_events,mean_5m_bps,median_5m_bps,win_rate_5m_pct,mean_mfe_5m_bps,mean_mae_5m_bps
3-4,181063,0.06000674363264663,0.07704931927094609,50.71328764021362,3.3718729404902734,3.432177785836423
5-6,81503,-0.018517891055309887,0.1600554859016337,51.40792363471284,4.30211111601831,4.614406539238714
7-8,8550,-0.08568488682643939,0.3227009047290178,52.54970760233918,5.180593328732705,5.781152651231619
9-10,515,-0.3086668898405425,0.8718699867481048,54.95145631067962,6.011932562954055,7.182290466506544
