side,horizon,n_events,mean_bps,median_bps,win_rate_pct,mean_mfe_bps,mean_mae_bps
LONG,1m,130296,0.016872685689230466,0.0,49.26321606188985,1.642524157389534,1.6948653155829085
LONG,3m,130296,0.041698364269306364,0.08149295085967652,50.942469454165895,2.9364725861232133,3.0667772413080274
LONG,5m,130296,0.06714718138594443,0.15572968449921915,51.51424448947013,3.805166839986054,4.008406566409923
LONG,10m,130296,0.10230089846142364,0.26765807232165406,52.03383066249155,5.395477766838857,5.713216008694345
LONG,15m,130296,0.11909606479832663,0.3920740424896941,52.51581015533861,6.604642533204471,7.003105392178404
LONG,30m,130296,0.21903934288669946,0.5676031740783142,52.61021059740898,9.338107104525847,9.886422776249983
SHORT,1m,141335,-0.012217020019074399,0.0,48.52513531680051,1.5410701017400186,1.5879188185146298
SHORT,3m,141335,-0.023368093604283657,0.0,49.76828103442176,2.776625959154402,2.869646582602007
SHORT,5m,141335,-0.0020153608718291856,0.06629541235740456,50.501998797184,3.627895370294646,3.7384708344416246
SHORT,10m,141335,-0.021647292114619198,0.09789333542163546,50.630770863551135,5.218580215034589,5.343602473020104
SHORT,15m,141335,-0.04553426717430809,0.1378100151119952,50.806948031273215,6.432330777241917,6.553293521309935
SHORT,30m,141335,-0.13906877652162522,0.11927907725694985,50.48289524887678,9.241528528618193,9.351919110049884
