session,n_events,mean_5m_bps,median_5m_bps,win_rate_5m_pct
ASIA,78179,0.007773899425939307,0.059019334734005204,50.52123971910616
LONDON_RESEARCH,60988,0.021740134132081645,0.1135026637027606,51.1002164360202
NEW_YORK_RESEARCH,64473,0.03362921499310641,0.21944381963892506,51.5440572022397
OTHER,67991,0.06416067942999198,0.0980103891011556,50.894971393272634
