quarter,year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,20,132.71201951781995,350.96649373549434,218.25447421767436,1.6080609343452026,6.6356009758909975
2018Q3,2018,30,-314.001011653016,191.59789439222914,505.5989060452452,0.37895235156043505,-10.466700388433868
2018Q4,2018,28,-37.04826766593405,342.78003634899613,379.82830401493015,0.9024604873456779,-1.3231524166405018
2019Q1,2019,22,24.866456690496836,288.4121140903966,263.5456573998997,1.094353505710644,1.1302934859316744
2019Q2,2019,21,138.90253320695615,391.8586506036456,252.95611739668936,1.5491171142112656,6.614406343188388
2019Q3,2019,24,139.11962047067675,745.8704091213752,606.7507886506985,1.2292862622890908,5.796650852944865
2019Q4,2019,17,74.99904177871764,369.4273013891225,294.4282596104048,1.2547277285066263,4.411708339924567
2020Q1,2020,26,753.9596376114916,1548.1279773574,794.1683397459083,1.9493700515091281,28.998447600441985
2020Q2,2020,17,211.16982766392374,822.6214895615619,611.4516618976385,1.3453581710916585,12.421754568466103
2020Q3,2020,19,524.5031847220882,1085.7107459088286,561.2075611867403,1.9345975018814139,27.60543077484675
2020Q4,2020,20,-292.10827463309124,449.0800236715395,741.188298304631,0.6058919503974226,-14.605413731654561
2021Q1,2021,13,270.7627405527668,636.6853674089482,365.9226268561814,1.7399453345616276,20.827903119443597
2021Q2,2021,16,31.67036025295033,406.6847207606755,375.0143605077251,1.0844510599809363,1.9793975158093957
2021Q3,2021,21,-256.82064955407185,308.0219121203654,564.8425616744373,0.5453234813029235,-12.229554740670087
2021Q4,2021,20,245.46119416332982,628.4650490436429,383.00385488031304,1.6408843959025827,12.27305970816649
2022Q1,2022,18,222.61666949251543,724.8547332445328,502.2380637520173,1.443249298608386,12.36759274958419
2022Q2,2022,13,17.357105828571875,404.743089376295,387.38598354772313,1.0448057146250198,1.3351619868132212
2022Q3,2022,16,20.692577934527208,436.34795725096546,415.6553793164382,1.0497830148825622,1.2932861209079505
2022Q4,2022,23,-123.94438633428639,548.0103804175088,671.9547667517952,0.8155465330896765,-5.388886362360278
2023Q1,2023,17,-50.45097313416086,519.4854014719535,569.9363746061143,0.9114796398650153,-2.9677043020094622
2023Q2,2023,9,276.8505955035846,463.8896017523891,187.03900624880453,2.4801757187231317,30.761177278176067
2023Q3,2023,11,-91.2098006252156,149.85081717206901,241.06061779728464,0.621631266613957,-8.291800056837783
2023Q4,2023,22,-409.56304353371286,337.17248879906856,746.7355323327815,0.4515286526486169,-18.61650197880513
2024Q1,2024,14,-109.26793863386351,295.14855856330286,404.41649719716634,0.7298133498728372,-7.804852759561679
2024Q2,2024,16,418.0942452108992,1021.2129336865207,603.1186884756218,1.6932205106554221,26.1308903256812
2024Q3,2024,14,725.2582913797687,976.4456982799641,251.18740690019513,3.887319473256625,51.80416366998348
2024Q4,2024,16,-572.5984514885079,221.8549556613094,794.4534071498175,0.27925483567027126,-35.78740321803174
2025Q1,2025,13,430.49247638385935,756.7394666432779,326.2469902594186,2.319529341991933,33.11480587568149
2025Q2,2025,30,-361.4031167484889,1996.47641574678,2357.8795324952684,0.8467253683796021,-12.046770558282963
2025Q3,2025,19,611.1139507592172,1242.8503812922156,631.7364305329985,1.9673558801154112,32.16389214522196
2025Q4,2025,20,-260.4708531706581,1836.144166794266,2096.6150199649246,0.8757660082130786,-13.023542658532904
2026Q1,2026,21,-2515.981948988963,3495.2675818912885,6011.249530880252,0.5814544154149366,-119.80866423756966
2026Q2,2026,28,-1150.0653733851223,2661.423312608096,3811.4886859932176,0.6982634691763667,-41.07376333518294
