quarter,year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,50,-360.1715115339948,560.5072272794282,920.6787388134235,0.6087978397348607,-7.2034302306798965
2018Q3,2018,58,114.74412465675125,993.360227799692,878.6161031429413,1.130596428003418,1.9783469768405388
2018Q4,2018,55,233.5763215911689,1046.4559759179194,812.879654326751,1.287344283188663,4.246842210748525
2019Q1,2019,58,-84.59226671626372,785.7098521075013,870.3021188237655,0.9028012630480635,-1.4584873571769608
2019Q2,2019,57,53.97401090514687,923.8653802071597,869.8913693020132,1.0620468403410581,0.9469124720201205
2019Q3,2019,52,-401.2129491263285,1289.2659313104632,1690.478880436792,0.7626631401495758,-7.715633637044779
2019Q4,2019,59,-393.5165401961706,955.9600538055239,1349.476594001695,0.7083932081924817,-6.669771867731705
2020Q1,2020,47,233.00360186370625,2085.7523434561654,1852.7487415924595,1.1257610363634285,4.957523443908643
2020Q2,2020,45,244.99649904691842,2012.9139345457897,1767.9174354988716,1.1385791520166693,5.444366645487076
2020Q3,2020,54,-32.81511439745394,2511.751093594397,2544.5662079918498,0.9871038472905956,-0.6076873036565544
2020Q4,2020,49,-708.5197157365128,1317.4160300554117,2025.9357457919248,0.6502753272367198,-14.459586035439036
2021Q1,2021,54,585.8964373560545,2456.437315757106,1870.5408784010501,1.3132230063086798,10.849934025112121
2021Q2,2021,62,-284.83738673244125,1590.3047693337444,1875.1421560661859,0.8480982437459597,-4.594151398910343
2021Q3,2021,63,-297.69409515189557,1536.6577343089618,1834.3518294608575,0.8377115609062891,-4.725303097649136
2021Q4,2021,55,-312.18360071372757,1353.6106397588323,1665.7942404725602,0.8125917396465687,-5.67606546752232
2022Q1,2022,51,-372.32248558840934,1457.8700225703112,1830.192508158721,0.79656649017595,-7.3004408938903795
2022Q2,2022,65,-515.3089698444369,1894.9723951834653,2410.281365027901,0.7862038111726967,-7.927830305299029
2022Q3,2022,67,-377.432004980007,1862.9668783571167,2240.3988833371236,0.8315335685144541,-5.633313507164283
2022Q4,2022,54,-608.1814880432902,1377.8647979316747,1986.046285974965,0.6937727522575188,-11.262620148949818
2023Q1,2023,54,-655.350558420394,1494.996108253597,2150.346666673991,0.6952349271970899,-12.136121452229519
2023Q2,2023,69,-54.074687459907025,2222.497712156358,2276.572399616264,0.9762473236216774,-0.7836911226073482
2023Q3,2023,64,-403.41510329293885,1175.4296423057672,1578.8447455987064,0.7444871609969719,-6.30336098895217
2023Q4,2023,39,-96.2102233984432,1141.9568220411725,1238.167045439616,0.9222962493204754,-2.4669288050882874
2024Q1,2024,52,16.51383470867674,1585.019340756957,1568.5055060482803,1.0105283881025588,0.3175737443976296
2024Q2,2024,48,992.6024664683214,3002.4061394569435,2009.8036729886219,1.4938803126935778,20.679218051423362
2024Q3,2024,48,-1092.7673193441738,1582.770252173283,2675.537571517456,0.5915709310243774,-22.765985819670288
2024Q4,2024,55,-654.9094711007966,2136.3849053196345,2791.294376420431,0.7653742734434712,-11.907444929105393
2025Q1,2025,55,-85.30593747215852,2756.8853010103367,2842.191238482494,0.9699858558716464,-1.5510170449483367
2025Q2,2025,58,-2116.716369429082,3971.7295998302084,6088.445969259289,0.6523388102454333,-36.495109817742794
2025Q3,2025,57,-1033.1113787639263,2869.9931482293396,3903.1045269932647,0.7353103480526624,-18.124761030946075
2025Q4,2025,49,-847.1993646407523,5570.893095674265,6418.092460315016,0.8679982611844193,-17.289782951852086
2026Q1,2026,46,-6628.716838120123,5332.482839595473,11961.1996777156,0.445815050603176,-144.1025399591331
2026Q2,2026,55,407.15155466827474,7946.59432972322,7539.442775054944,1.0540028708773255,7.402755539423177
