config_id,evaluation_start,evaluation_end,total_trades,min_trades_q,median_trades_q,max_trades_q,max_q_share_pct,max_median,trade_count_gini,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd,win_rate_pct,top1_positive_q_share_pct,top3_positive_q_share_pct,top5_positive_q_share_pct,top10_positive_q_share_pct,positive_quarter_pool_applicable,rolling4_positive_pct,rolling4_pf120_pct,rolling8_positive_pct,rolling8_pf120_pct,min_full_year_trades,profitable_full_year_pct,gate_A1,gate_A2,gate_A3,gate_A4,gate_B1,gate_B2,gate_D4_1,gate_D4_2,gate_D8_1,gate_D8_2,gate_Y1,gate_Y2,gate_E1,gate_E2,all_gates_pass,primary_failure_reason,final_status,family,params_json,raw_trade_count_all_dates,execution_contract
H223-C3,2018Q2,2026Q2,1207,29,34.0,54,4.473902236951118,1.588235294117647,0.08345258718083905,2382.687589866532,51478.30224730761,49095.61465744108,1.048531576730253,1.9740576552332494,32.22866611433305,32.566111038630915,66.44053691553673,80.59672197147663,94.05006404947176,True,46.666666666666664,6.666666666666667,57.692307692307686,0.0,133,42.857142857142854,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,Gate E1: PF 1.049 < 1.25,REJECTED,H223_IBC,"{""BUFFER"": 0.0, ""N"": 2}",1245,CANONICAL_V2_GAP_SAFE_V3_7_3
H223-C4,2018Q2,2026Q2,968,22,28.0,45,4.648760330578512,1.6071428571428572,0.10005008765339345,217.74014789535158,39790.22726276688,39572.487114871525,1.0055023114231687,0.22493816931337973,31.508264462809915,31.896336822317423,62.70290229885354,77.82833997470055,96.70917676075028,True,50.0,10.0,53.84615384615385,3.8461538461538463,109,57.14285714285714,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,Gate E1: PF 1.006 < 1.25,REJECTED,H223_IBC,"{""BUFFER"": 0.1, ""N"": 2}",1001,CANONICAL_V2_GAP_SAFE_V3_7_3
H224-C1,2018Q2,2026Q2,3114,75,95.0,111,3.5645472061657033,1.168421052631579,0.05243183277865359,-12793.109255445212,134842.22414734284,147635.3334027881,0.9133465616896581,-4.108256022943228,30.089916506101478,49.2348674986562,82.56673577841778,91.55839609960154,100.00000000000003,True,3.3333333333333335,0.0,0.0,0.0,360,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.913 < 1.25,REJECTED,H224_OSR,"{""CL"": 0.7, ""RMIN"": 1.0}",3207,CANONICAL_V2_GAP_SAFE_V3_7_3
H224-C2,2018Q2,2026Q2,2494,63,75.0,87,3.488372093023256,1.16,0.04711914655779932,-16466.1034987444,105236.7433403394,121702.84683908378,0.8647023966455283,-6.602286888029029,29.149959903769044,27.90602502870864,69.8248705915857,91.60538914379106,99.99999999999999,True,3.3333333333333335,0.0,0.0,0.0,292,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.865 < 1.25,REJECTED,H224_OSR,"{""CL"": 0.8, ""RMIN"": 1.0}",2575,CANONICAL_V2_GAP_SAFE_V3_7_3
H224-C3,2018Q2,2026Q2,1804,39,55.0,69,3.8248337028824833,1.2545454545454546,0.06685480077941275,-15534.10652893861,70803.68183980722,86337.78836874582,0.8200775486326688,-8.610923796529162,30.7649667405765,34.43596310256779,68.8873826462852,85.49031942118684,99.99999999999999,True,13.333333333333334,0.0,3.8461538461538463,0.0,195,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.820 < 1.25,REJECTED,H224_OSR,"{""CL"": 0.7, ""RMIN"": 1.5}",1857,CANONICAL_V2_GAP_SAFE_V3_7_3
H224-C4,2018Q2,2026Q2,1374,26,42.0,55,4.002911208151383,1.3095238095238095,0.07908782144590006,-15383.902743469385,52705.28290807043,68089.18565153982,0.7740624653348092,-11.196435766717165,30.42212518195051,22.55936647631041,59.77761296204238,78.77539312692781,99.31851775235143,True,16.666666666666664,0.0,15.384615384615385,0.0,149,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.774 < 1.25,REJECTED,H224_OSR,"{""CL"": 0.8, ""RMIN"": 1.5}",1418,CANONICAL_V2_GAP_SAFE_V3_7_3
H225-C1,2018Q2,2026Q2,4573,118,139.0,166,3.6300021867483054,1.1942446043165467,0.047816896275238725,-30830.640124286583,213566.65495144643,244397.29507573304,0.8738503218100965,-6.74188500421749,30.505138858517384,50.09714936416118,74.95612658452771,91.3301783310437,100.00000000000003,True,3.3333333333333335,0.0,0.0,0.0,504,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.874 < 1.25,REJECTED,H225_EDR,"{""K"": 1.5, ""L"": 48}",4708,CANONICAL_V2_GAP_SAFE_V3_7_3
H225-C2,2018Q2,2026Q2,3675,90,109.0,138,3.7551020408163263,1.2660550458715596,0.05686250257678829,-24293.171900221438,176289.77464960935,200582.9465498308,0.8788871520830595,-6.610386911624881,30.231292517006803,38.894221840383054,85.47394083982398,96.96591723111216,99.99999999999997,True,0.0,0.0,0.0,0.0,391,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.879 < 1.25,REJECTED,H225_EDR,"{""K"": 2.0, ""L"": 48}",3786,CANONICAL_V2_GAP_SAFE_V3_7_3
H225-C3,2018Q2,2026Q2,5029,128,153.0,176,3.499701729966196,1.1503267973856208,0.048627053995914604,-28209.17257739625,239112.75028990716,267321.9228673035,0.8944749002445297,-5.609300572160718,30.2048120898787,48.36753499907023,84.03929053525162,97.28359621811312,100.0,True,6.666666666666667,0.0,0.0,0.0,550,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.894 < 1.25,REJECTED,H225_EDR,"{""K"": 1.5, ""L"": 96}",5161,CANONICAL_V2_GAP_SAFE_V3_7_3
H225-C4,2018Q2,2026Q2,4376,107,131.0,154,3.5191956124314445,1.1755725190839694,0.05671430945653981,-29650.71678166095,206850.97326229952,236501.69004396047,0.8746278862694405,-6.775757948277183,29.84460694698355,35.97512265072621,67.17216457957258,91.66808115089341,99.99999999999997,True,0.0,0.0,0.0,0.0,476,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,Gate E1: PF 0.875 < 1.25,REJECTED,H225_EDR,"{""K"": 2.0, ""L"": 96}",4494,CANONICAL_V2_GAP_SAFE_V3_7_3
H226-C1,2018Q2,2026Q2,907,15,28.0,39,4.299889746416759,1.3928571428571428,0.10644482309311416,-2513.4559704114545,37233.879557794295,39747.335528205746,0.9367641645154343,-2.7711752705749224,33.84785005512679,14.150145608374137,36.032182158215434,53.34365700217426,83.88032422787387,True,70.0,33.33333333333333,80.76923076923077,34.61538461538461,89,85.71428571428571,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,Gate E1: PF 0.937 < 1.25,REJECTED,H226_DRGR,"{""G"": 0.05, ""RESID"": 0.25}",936,CANONICAL_V2_GAP_SAFE_V3_7_3
H226-C2,2018Q2,2026Q2,691,12,21.0,32,4.630969609261939,1.5238095238095237,0.14077095119063282,-1634.8824885087424,28576.174544991263,30211.057033500012,0.9458846313554709,-2.365965974687037,33.71924746743849,15.557366399004302,40.908785940226,60.056254385723506,90.32647932528212,True,63.33333333333333,36.666666666666664,80.76923076923077,38.46153846153847,66,57.14285714285714,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,Gate E1: PF 0.946 < 1.25,REJECTED,H226_DRGR,"{""G"": 0.1, ""RESID"": 0.25}",718,CANONICAL_V2_GAP_SAFE_V3_7_3
H226-C3,2018Q2,2026Q2,845,14,26.0,37,4.378698224852071,1.4230769230769231,0.11360946745562131,-2107.9283556915857,35134.87836949872,37242.80672519031,0.9434003894699529,-2.4945897700492137,33.84615384615385,12.9998248421376,37.94867261219283,58.555643816754156,85.69055258846639,True,70.0,36.666666666666664,73.07692307692307,42.30769230769231,81,71.42857142857143,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,Gate E1: PF 0.943 < 1.25,REJECTED,H226_DRGR,"{""G"": 0.05, ""RESID"": 0.5}",871,CANONICAL_V2_GAP_SAFE_V3_7_3
H226-C4,2018Q2,2026Q2,634,9,19.0,30,4.73186119873817,1.5789473684210527,0.15247108307045218,-1274.3315604249315,26654.228126166025,27928.559686590957,0.9543717408013431,-2.0099866883673996,33.753943217665615,14.304998972039357,39.66020712432354,57.77949530492258,84.98294001547173,True,70.0,36.666666666666664,80.76923076923077,34.61538461538461,59,85.71428571428571,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,Gate E1: PF 0.954 < 1.25,REJECTED,H226_DRGR,"{""G"": 0.1, ""RESID"": 0.5}",658,CANONICAL_V2_GAP_SAFE_V3_7_3
