window,width_quarters,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,4,-975.5704468354811,0.8308425918002355,False,False
2018Q3->2019Q2,4,-1212.1866406160298,0.7978761757982216,False,False
2018Q4->2019Q3,4,-1371.4121843353494,0.8094915535221582,False,False
2019Q1->2019Q4,4,-857.0815261771751,0.8849438465350961,False,False
2019Q2->2020Q1,4,-360.7884614874266,0.9629198664499794,False,False
2019Q3->2020Q2,4,-348.35130935671083,0.9667360111421713,False,False
2019Q4->2020Q3,4,-549.7745529541351,0.9540840027225307,False,False
2020Q1->2020Q4,4,-1625.0074031342203,0.8807056328478012,False,False
2020Q2->2021Q1,4,-1441.5666144508548,0.883060635974179,False,False
2020Q3->2021Q2,4,-1716.6154965594183,0.8606011940151119,False,False
2020Q4->2021Q3,4,-1527.9701533106522,0.8566717003429442,False,False
2021Q1->2021Q4,4,-977.6527447525555,0.9008353812720921,False,False
2021Q2->2022Q1,4,-1743.783753223449,0.8316702511648281,False,False
2021Q3->2022Q2,4,-2483.598718710385,0.78296951208392,False,False
2021Q4->2022Q3,4,-1454.4807094769787,0.8773225273020852,False,False
2022Q1->2022Q4,4,-1626.483931957524,0.8713723701176929,False,False
2022Q2->2023Q1,4,-1925.705171911064,0.8513611893770604,False,False
2022Q3->2023Q2,4,-514.4130193937809,0.9590300141211276,False,False
2022Q4->2023Q3,4,-298.6167719176567,0.9740765028825868,False,False
2023Q1->2023Q4,4,-1737.9419966289204,0.8579945932674911,False,False
2023Q2->2024Q1,4,-1159.6551791106049,0.8982764605258813,False,False
2023Q3->2024Q2,4,-568.2747681348512,0.9540488256168865,False,False
2023Q4->2024Q3,4,-2080.5477329208197,0.8646881263057182,False,False
2024Q1->2024Q4,4,-593.7029709214,0.9637746997837259,False,False
2024Q2->2025Q1,4,-934.0575065260985,0.9489698659426095,False,False
2024Q3->2025Q2,4,-2314.541271343201,0.8991795891340693,False,False
2024Q4->2025Q3,4,-3682.3866791340397,0.8527198197461803,False,False
2025Q1->2025Q4,4,-2574.593018121507,0.9183898073708265,False,False
2025Q2->2026Q1,4,-1500.3604350594997,0.96891803741988,False,False
2025Q3->2026Q2,4,-3087.2748721002463,0.9423265937290534,False,False
