window,width_quarters,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2020Q1,8,855.5901881218575,1.2472919811476721,True,True
2018Q3->2020Q2,8,1243.13205346488,1.3250814490640233,True,True
2018Q4->2020Q3,8,1995.136326562579,1.5030382860723692,True,True
2019Q1->2020Q4,8,1927.405834344043,1.4446726023554692,True,True
2019Q2->2021Q1,8,2242.7594814192767,1.5042402080240438,True,True
2019Q3->2021Q2,8,2128.9105429361352,1.4589908597558172,True,True
2019Q4->2021Q3,8,1950.5114122504988,1.425473000373006,True,True
2020Q1->2021Q4,8,2076.1761602034226,1.4400813897554834,True,True
2020Q2->2022Q1,8,1297.8070731554023,1.2829674603435803,True,True
2020Q3->2022Q2,8,780.5374694487625,1.1771654888934644,True,False
2020Q4->2022Q3,8,348.9268407807997,1.0816997559206016,True,False
2021Q1->2022Q4,8,408.7038230149621,1.0973957219501884,True,False
2021Q2->2023Q1,8,118.20494163693174,1.0269069474574943,True,False
2021Q3->2023Q2,8,356.60926747438214,1.0843372899171182,True,False
2021Q4->2023Q3,8,319.45090831845533,1.0818724273120959,True,False
2022Q1->2023Q4,8,-328.35852162074156,0.9228903055915202,False,False
2022Q2->2024Q1,8,-531.8763143512713,0.8680908632437716,False,False
2022Q3->2024Q2,8,67.37737702677657,1.015850005135134,True,False
2022Q4->2024Q3,8,857.101235296319,1.2125750204395014,True,True
2023Q1->2024Q4,8,298.97173443717685,1.0714660890109022,True,False
2023Q2->2025Q1,8,717.5036348078344,1.1840599168471766,True,False
2023Q3->2025Q2,8,-121.4736675888119,0.9803806887244955,False,False
2023Q4->2025Q3,8,537.5730744168677,1.081137121702346,True,False
2024Q1->2025Q4,8,553.9810781025683,1.0683248035097466,True,False
2024Q2->2026Q1,8,-2284.691364823898,0.8385016893071228,False,False
2024Q3->2026Q2,8,-3829.6695867897693,0.7809506133416375,False,False
