window,width_quarters,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,4,-193.47080311063326,0.8584940505408402,False,False
2018Q3->2019Q2,4,-187.28028942149712,0.8664124278444592,False,False
2018Q4->2019Q3,4,265.8403427021957,1.1768636328603113,True,False
2019Q1->2019Q4,4,377.8876521468474,1.2665534060987078,True,True
2019Q2->2020Q1,4,1106.9808330678422,1.5681767907297735,True,True
2019Q3->2020Q2,4,1179.24812752481,1.5112053984821754,True,True
2019Q4->2020Q3,4,1564.6316917762213,1.6919304203658971,True,True
2020Q1->2020Q4,4,1197.5243753644124,1.4422146829164193,True,True
2020Q2->2021Q1,4,714.3274783056876,1.3133331133647514,True,True
2020Q3->2021Q2,4,534.8280108947141,1.2617429713998007,True,True
2020Q4->2021Q3,4,-246.49582338144597,0.8795800218838781,False,False
2021Q1->2021Q4,4,291.0736454149751,1.1723570025259409,True,False
2021Q2->2022Q1,4,242.92757435472373,1.1331037908315758,True,False
2021Q3->2022Q2,4,228.6143199303453,1.124417956330453,True,False
2021Q4->2022Q3,4,506.12754741894435,1.2997882837353658,True,True
2022Q1->2022Q4,4,136.72196692132815,1.0691480894776757,True,False
2022Q2->2023Q1,4,-136.34567570534819,0.9333250973204047,False,False
2022Q3->2023Q2,4,123.14781396966455,1.0667617804499856,True,False
2022Q4->2023Q3,4,11.24543540992174,1.0067338308946885,True,False
2023Q1->2023Q4,4,-274.3732217895047,0.842745473022126,False,False
2023Q2->2024Q1,4,-333.1901872892074,0.789020206795582,False,False
2023Q3->2024Q2,4,-191.9465375818928,0.9038021735349232,False,False
2023Q4->2024Q3,4,624.5215544230915,1.311410917369535,True,True
2024Q1->2024Q4,4,461.4861464682965,1.2247669690911065,True,True
2024Q2->2025Q1,4,1001.2465614860196,1.5069586176773082,True,True
2024Q3->2025Q2,4,221.74919952663134,1.0594538960482731,True,False
2024Q4->2025Q3,4,107.60485890607981,1.0261792157756506,True,False
2025Q1->2025Q4,4,419.7324572239296,1.0775490374830465,True,False
2025Q2->2026Q1,4,-2526.7419681488927,0.7723139080992211,False,False
2025Q3->2026Q2,4,-3315.404224785526,0.7358472999038114,False,False
