quarter,year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,21,103.74019834060644,350.96649373549434,247.22629539488784,1.419616360690537,4.940009444790783
2018Q3,2018,30,-314.001011653016,191.59789439222914,505.5989060452452,0.37895235156043505,-10.466700388433868
2018Q4,2018,30,-75.00192591157065,342.78003634899613,417.78196226056673,0.8204759116316453,-2.500064197052355
2019Q1,2019,24,-12.89418968400178,288.4121140903966,301.3063037743984,0.9572057088667609,-0.5372579035000742
2019Q2,2019,21,138.90253320695615,391.8586506036456,252.95611739668936,1.5491171142112656,6.614406343188388
2019Q3,2019,25,99.49861497630751,745.8704091213752,646.3717941450677,1.153934029729609,3.9799445990523004
2019Q4,2019,17,74.99904177871764,369.4273013891225,294.4282596104048,1.2547277285066263,4.411708339924567
2020Q1,2020,28,840.3469270678584,1634.5152668137664,794.1683397459083,2.0581471018307336,30.01239025242351
2020Q2,2020,19,491.2820636836288,1102.7337255812672,611.4516618976385,1.8034683594757699,25.85695072019099
2020Q3,2020,21,438.0032614446831,1085.7107459088286,647.7074844641456,1.6762362207487027,20.857298164032528
2020Q4,2020,23,-142.73241813010702,643.3156413802112,786.0480595103184,0.8184176954536029,-6.205757310004653
2021Q1,2021,15,302.45945739123226,717.1275109089811,414.66805351774894,1.729401396672305,20.16396382608215
2021Q2,2021,19,25.05359472381464,468.4516359454302,443.3980412216155,1.0565036206628,1.3186102486218232
2021Q3,2021,25,-78.90051570932887,513.5661004837601,592.4666161930891,0.8668270691498089,-3.1560206283731547
2021Q4,2021,21,200.66378973164126,628.4650490436429,427.8012593120016,1.469058436280325,9.555418558649583
2022Q1,2022,21,61.97784001983818,724.8547332445328,662.8768932246946,1.0934982658972088,2.95132571523039
2022Q2,2022,14,-25.987540023011064,404.743089376295,430.73062939930605,0.9396663755738637,-1.8562528587865046
2022Q3,2022,20,6.392632776720305,519.2462040897392,512.8535713130188,1.0124648303810262,0.31963163883601525
2022Q4,2022,25,-82.95543589594458,628.57162610373,711.5270619996745,0.8834121141326561,-3.318217435837783
2023Q1,2023,19,11.960576013201845,623.4076466014978,611.447070588296,1.0195610979077783,0.6295040006948339
2023Q2,2023,12,263.4579205612651,542.1248292919895,278.66690873072446,1.9454223386668568,21.95482671343876
2023Q3,2023,12,-116.05887486525573,149.85081717206901,265.90969203732476,0.5635402606951048,-9.671572905437978
2023Q4,2023,23,-447.1456402075556,337.17248879906856,784.3181290066243,0.42989250959443376,-19.441114791632852
2024Q1,2024,15,-141.53995271069155,295.14855856330286,436.6885112739944,0.6758789181383246,-9.435996847379437
2024Q2,2024,19,573.2661513550368,1222.7924428498086,649.526291494772,1.8825911419778931,30.17190270289667
2024Q3,2024,16,796.1164910462628,1090.026959206023,293.9104681597602,3.7087041030927814,49.757280690391426
2024Q4,2024,17,-641.0849367550868,221.8549556613094,862.9398924163964,0.2570920148795916,-37.71087863265217
2025Q1,2025,13,430.49247638385935,756.7394666432779,326.2469902594186,2.319529341991933,33.11480587568149
2025Q2,2025,32,-575.5193818353812,1996.47641574678,2571.99579758216,0.7762362666469343,-17.984980682355662
2025Q3,2025,20,542.987867140424,1242.8503812922156,699.8625141517917,1.7758493363493053,27.1493933570212
2025Q4,2025,21,-430.73763652185505,1836.144166794266,2266.8818033161215,0.8099867245430493,-20.51131602485024
2026Q1,2026,23,-2980.212395637158,3495.2675818912885,6475.479977528446,0.5397696532181014,-129.57445198422425
2026Q2,2026,30,-971.7120706108342,3014.103605916924,3985.815676527757,0.7562074743362593,-32.390402353694476
