quarter,year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,37,-101.97177122922167,451.1060472066832,553.0778184359049,0.8156285285177478,-2.755993817005991
2018Q3,2018,30,-349.595172760265,185.89536417050704,535.4905369307721,0.34714967184292084,-11.653172425342166
2018Q4,2018,29,-280.2074721822557,241.9528453296728,522.1603175119286,0.4633688873228967,-9.662326626974334
2019Q1,2019,33,-313.09410314798066,213.38952382645476,526.4836269744354,0.4053108451876251,-9.487700095393354
2019Q2,2019,38,93.38398724509571,580.0351257570159,486.6511385119201,1.1918910279972732,2.4574733485551503
2019Q3,2019,51,-31.04157486267536,1184.4204125251308,1215.4619873878064,0.9744610895406214,-0.6086583306406933
2019Q4,2019,33,-310.76798609946144,326.318675973442,637.0866620729034,0.512204532601093,-9.41721169998368
2020Q1,2020,54,-1353.4706029204817,1425.8774618719249,2779.348064792406,0.5130258710430448,-25.064270424453365
2020Q2,2020,35,-182.7799080289784,1055.5067287211884,1238.286636750167,0.8523928930472213,-5.22228308654224
2020Q3,2020,43,148.95742842114709,1917.9634735597724,1769.0060451386255,1.0842040245314561,3.4641262423522576
2020Q4,2020,32,766.6786670700526,1496.6401117473022,729.9614446772496,2.0503002215535333,23.958708345939144
2021Q1,2021,44,-487.61539607708823,1111.270099719924,1598.8854957970125,0.6950279445533265,-11.082168092661096
2021Q2,2021,33,-11.263286721842363,889.1864058019902,900.4496925238329,0.9874914869588401,-0.341311718843708
2021Q3,2021,31,78.51674168240443,782.3611321296286,703.8443904472244,1.1115541201266297,2.5327981187872397
2021Q4,2021,38,-430.79185629611345,650.9376391223285,1081.7294954184422,0.6017563927759298,-11.336627797266143
2022Q1,2022,41,367.85574914637783,1505.5867904678432,1137.731041321466,1.3233239981912734,8.972091442594582
2022Q2,2022,34,-295.6798574940024,884.8995028609379,1180.5793603549405,0.7495468179241194,-8.696466396882425
2022Q3,2022,35,438.1306723741299,1241.48820329271,803.3575309185806,1.5453744509909046,12.518019210689426
2022Q4,2022,32,230.57025637271408,1037.2237408211147,806.6534844484008,1.285835567338286,7.205320511647315
2023Q1,2023,33,173.35165810098653,1132.781939458088,959.4302813571016,1.1806818707616593,5.253080548514744
2023Q2,2023,31,154.22481115669433,935.7127620595518,781.4879509028576,1.1973476506944443,4.974993908280462
2023Q3,2023,36,-29.321820579826,635.2420110763674,664.5638316561933,0.9558780975083288,-0.8144950161062777
2023Q4,2023,33,-32.17132528337807,749.0983457485137,781.2696710318921,0.9588217404614121,-0.9748886449508505
2024Q1,2024,40,-168.39492874450164,976.2958695627699,1144.6907983072717,0.8528904670208599,-4.209873218612541
2024Q2,2024,43,31.30617334069713,1882.3408954960194,1851.034722155323,1.0169127963759879,0.72805054280691
2024Q3,2024,34,-259.15699168638986,1126.096761271886,1385.253752958276,0.8129173148724933,-7.6222644613644075
2024Q4,2024,34,206.25276791596764,1467.3639493321418,1261.1111814161745,1.1635484412122603,6.066257879881401
2025Q1,2025,41,166.96111231953535,1878.0170600064957,1711.055947686961,1.0975778217803083,4.072222251695984
2025Q2,2025,35,-658.6856543708216,2257.3603386873433,2916.0459930581646,0.774116850029504,-18.819590124880616
2025Q3,2025,31,-832.1361972773452,1175.3026337405413,2007.4388310178865,0.5854736969218611,-26.84310313797888
2025Q4,2025,45,1664.34526189049,6194.103221841222,4529.757959950732,1.3674247667547765,36.985450264233116
2026Q1,2026,34,1218.6507220932808,7854.384705377842,6635.73398328456,1.1836497251341098,35.8426682968612
2026Q2,2026,34,2771.647486499584,6032.142468743254,3260.4949822436693,1.8500695451438203,81.519043720576
