year,trades,net_pnl_usd,pf,expectancy_usd,is_complete_calendar_year
2018,642,-2543.553441649139,0.735043273251377,-3.9619212486746713,False
2019,832,-2929.997969706144,0.807171565614612,-3.5216321751275768,True
2020,775,-7213.168904233268,0.7684814189586441,-9.3073147151397,True
2021,719,-847.3782971083065,0.958207352110218,-1.1785511781756697,True
2022,803,-4943.41194609478,0.807483632197013,-6.156179260392006,True
2023,789,-4309.075195264284,0.805107279273522,-5.461438777267787,True
2024,802,-3492.1277526073545,0.8887184373786722,-4.3542740057448315,True
2025,855,-9078.957452577162,0.8557101940529,-10.618663687224752,True
2026,375,-6770.317873256132,0.8930300066811587,-18.054180995349686,False
