window,width_quarters,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,4,-2412.529483254203,0.6248201794886658,False,False
2018Q3->2019Q2,4,-2240.8831819603606,0.6526544019737691,False,False
2018Q4->2019Q3,4,-3366.51118438214,0.6062750005108757,False,False
2019Q1->2019Q4,4,-3432.1342764691017,0.6118011871196164,False,False
2019Q2->2020Q1,4,-3427.1201658350587,0.7192767412845062,False,False
2019Q3->2020Q2,4,-3190.459292383379,0.771104129927206,False,False
2019Q4->2020Q3,4,-3906.4614186070908,0.7478380801300843,False,False
2020Q1->2020Q4,4,-3546.902595003436,0.7930550461522832,False,False
2020Q2->2021Q1,4,-2970.5102101305624,0.8100806350441181,False,False
2020Q3->2021Q2,4,-3049.142247353723,0.799218988184746,False,False
2020Q4->2021Q3,4,-1703.2130888592474,0.8652621940529784,False,False
2021Q1->2021Q4,4,-1068.6655269926648,0.9072991417326811,False,False
2021Q2->2022Q1,4,-1503.8345909891991,0.8730800989680657,False,False
2021Q3->2022Q2,4,-2051.902683587576,0.8354092871916924,False,False
2021Q4->2022Q3,4,-2485.5669870689285,0.8045054091643925,False,False
2022Q1->2022Q4,4,-2798.8433496378284,0.7856475604185261,False,False
2022Q2->2023Q1,4,-2842.208557869856,0.7664037191406257,False,False
2022Q3->2023Q2,4,-2897.6024024295702,0.753838510402464,False,False
2022Q4->2023Q3,4,-2283.5235910027695,0.7909361837385352,False,False
2023Q1->2023Q4,4,-3072.7856237359865,0.7283664622349578,False,False
2023Q2->2024Q1,4,-2202.5404671875326,0.7939147840659005,False,False
2023Q3->2024Q2,4,-1794.78178348562,0.8560031611520644,False,False
2023Q4->2024Q3,4,-2283.307003977421,0.8421487787941847,False,False
2024Q1->2024Q4,4,-857.9999322505128,0.9450897303492418,False,False
2024Q2->2025Q1,4,-1635.594910355222,0.9076290670111999,False,False
2024Q3->2025Q2,4,777.4846245798601,1.0374190561928562,True,False
2024Q4->2025Q3,4,1578.390928933598,1.0711399156204604,True,False
2025Q1->2025Q4,4,1972.492931022612,1.0633869931741016,True,False
2025Q2->2026Q1,4,8657.126378177294,1.1936442293266463,True,False
2025Q3->2026Q2,4,9866.798886206789,1.201490983725399,True,True
