quarter,year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,139,-823.9050564010083,1381.6364209925482,2205.541477393556,0.6264386479030654,-5.927374506482074
2018Q3,2018,149,-618.223290458413,1533.315267622121,2151.5385580805328,0.7126599064950285,-4.149149600392033
2018Q4,2018,147,-932.5866026557908,1305.2556615178964,2237.842264173685,0.583265265123526,-6.344126548678849
2019Q1,2019,139,-361.7626942949231,1472.1666458963034,1833.9293401912262,0.8027390225093398,-2.602609311474267
2019Q2,2019,126,-69.91931088993928,1732.088690170475,1802.0080010604145,0.9611992228398573,-0.5549151657931689
2019Q3,2019,131,-239.7121070061412,3032.730237890499,3272.442344896639,0.9267482565796858,-1.8298634122606199
2019Q4,2019,133,-1004.4208241849362,1558.4843991269686,2562.905223311904,0.6080928724758005,-7.552036272067189
2020Q1,2020,132,-1260.7346680756723,4009.6078343266904,5270.342502402363,0.7607869569195937,-9.551020212694487
2020Q2,2020,126,-609.3648323328587,4143.667890715535,4753.032723048393,0.8717945219737436,-4.836228828038561
2020Q3,2020,147,-3785.048326580947,3337.772189193484,7122.820515774433,0.4686025966541686,-25.748628071979233
2020Q4,2020,135,-1119.6775311803046,3580.2262113979855,4699.90374257829,0.761765858939471,-8.293907638372627
2021Q1,2021,123,179.39670710133595,4268.98770809056,4089.5910009892236,1.0438666622305122,1.4585098138319996
2021Q2,2021,135,-779.383752137146,2970.1399867136975,3749.5237388508413,0.7921379336630069,-5.773212978793674
2021Q3,2021,134,1062.7160281056408,3881.9796001822415,2819.2635720765993,1.3769480933359033,7.930716627654036
2021Q4,2021,116,-189.3792090357748,2663.4974127015616,2852.876621737335,0.9336181566378269,-1.632579388239438
2022Q1,2022,127,-201.5818175654623,4194.357470259219,4395.939287824682,0.954143630208047,-1.5872584060272623
2022Q2,2022,134,-1337.7715136522502,3090.7577767906523,4428.5292904429025,0.6979196871206743,-9.98336950486754
2022Q3,2022,161,-944.947573356715,3588.347832643706,4533.29540600042,0.7915539384206134,-5.869239586066553
2022Q4,2022,137,-56.97409889981698,3531.8922151590355,3588.86631405885,0.9841247642252299,-0.41586933503516044
2023Q1,2023,144,-973.7339765208217,3580.9963526256306,4554.730329146452,0.7862147907440884,-6.7620415036168176
2023Q2,2023,129,-1170.389762930061,2644.1239985746197,3814.5137615046783,0.6931745863020861,-9.072788859922953
2023Q3,2023,140,-790.946711043651,2212.033627293186,3002.980338336835,0.7366127573510171,-5.649619364597507
2023Q4,2023,132,-879.7173728260965,2777.7291642166733,3657.446537042767,0.7594722536840168,-6.6645255517128525
2024Q1,2024,122,-348.7286821393064,2883.1744358987407,3231.903118038045,0.8920980396370907,-2.858431820813987
2024Q2,2024,139,-1060.1901336202486,4862.840802420457,5923.030936040706,0.8210054708360276,-7.627267148347112
2024Q3,2024,140,-2180.7044774748497,3708.2074051614645,5888.911882636314,0.6296931384039314,-15.576460553391783
2024Q4,2024,132,274.55724507419114,5566.403288365923,5291.846043291732,1.051883074985191,2.079979129349933
2025Q1,2025,148,-223.3852525632285,6071.784865204641,6295.170117767871,0.9645148187603806,-1.509359814616409
2025Q2,2025,133,194.96674789550542,10372.564125790275,10177.597377894775,1.0191564610640775,1.465915397710567
2025Q3,2025,124,-228.85771628399783,6066.4910295230375,6295.348745807036,0.9636465388138462,-1.845626744225789
2025Q4,2025,146,-3902.2189989185217,12665.614760847138,16567.83375976567,0.7644701742242903,-26.727527389852888
2026Q1,2026,108,-2300.3823354846904,19204.276280908463,21504.658616393153,0.8930286513020442,-21.299836439673058
2026Q2,2026,130,-1487.6204786626654,14784.40201353049,16272.02249219316,0.9085780222233354,-11.443234451251271
