year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd
2018,153,-1048.671428571442,2113.6428571428564,3162.3142857142993
2019,218,-1144.951785714296,4505.5124999999925,5650.464285714288
2020,197,185.3232142857314,9551.719642857148,9366.396428571414
2021,179,-1585.7553571428436,5881.033928571433,7466.789285714276
2022,173,1294.6785714285686,8371.442857142854,7076.764285714286
2023,186,-1392.5392857143058,6377.549999999989,7770.089285714294
2024,203,-1375.7589285714646,9740.176785714273,11115.935714285735
2025,201,2218.405357142848,20235.61964285717,18017.21428571432
2026,113,9522.710714285708,33817.2464285714,24294.535714285703
