id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
67,1912,2018-04-03 09:00:00,1915,2018-04-03 10:30:00,BUY,1339.58,1337.6460714285713,1337.6460714285713,1344.4148214285713,0.1,-20.039285714286233,-193.39285714286234,-1.0,SL,2018Q2,2018,3,2018-04-03 09:00:00,2018Q2
68,1925,2018-04-03 15:30:00,1926,2018-04-03 16:00:00,BUY,1340.16,1337.5157142857145,1337.5157142857145,1346.7707142857143,0.1,-27.142857142856155,-264.42857142856155,-1.0,SL,2018Q2,2018,1,2018-04-03 15:30:00,2018Q2
69,1948,2018-04-04 04:00:00,1950,2018-04-04 05:00:00,SELL,1332.42,1334.4235714285714,1334.4235714285714,1327.4110714285714,0.1,-20.735714285713765,-200.35714285713766,-1.0,SL,2018Q2,2018,2,2018-04-04 04:00:00,2018Q2
70,1957,2018-04-04 08:30:00,1960,2018-04-04 10:00:00,SELL,1333.73,1335.4614285714285,1335.4614285714285,1329.4014285714284,0.1,-18.014285714285233,-173.14285714285234,-1.0,SL,2018Q2,2018,3,2018-04-04 08:30:00,2018Q2
71,2015,2018-04-05 14:30:00,2036,2018-04-06 02:00:00,SELL,1328.63,1330.9753571428573,1330.9753571428573,1322.7666071428573,0.1,-24.153571428572103,-234.53571428572104,-1.0,SL,2018Q2,2018,21,2018-04-05 14:30:00,2018Q2
72,2047,2018-04-06 07:30:00,2052,2018-04-06 10:00:00,SELL,1328.66,1323.0082142857143,1330.9207142857144,1323.0082142857143,0.1,55.81785714285779,565.1785714285779,2.3948820104198134,TP,2018Q2,2018,5,2018-04-06 07:30:00,2018Q2
73,2086,2018-04-09 04:00:00,2089,2018-04-09 05:30:00,SELL,1331.35,1333.5432142857142,1333.5432142857142,1325.8669642857142,0.1,-22.63214285714248,-219.3214285714248,-1.0,SL,2018Q2,2018,3,2018-04-09 04:00:00,2018Q2
74,2090,2018-04-09 06:00:00,2096,2018-04-09 09:00:00,BUY,1333.33,1331.3210714285713,1331.3210714285713,1338.3523214285713,0.1,-20.789285714286688,-200.8928571428669,-1.0,SL,2018Q2,2018,6,2018-04-09 06:00:00,2018Q2
75,2110,2018-04-09 16:00:00,2140,2018-04-10 08:00:00,BUY,1333.79,1331.1982142857144,1331.1982142857144,1340.269464285714,0.1,-26.617857142856064,-259.17857142856064,-1.0,SL,2018Q2,2018,30,2018-04-09 16:00:00,2018Q2
76,2145,2018-04-10 10:30:00,2164,2018-04-10 20:00:00,BUY,1335.56,1341.3992857142857,1333.2242857142858,1341.3992857142857,0.1,57.69285714285779,583.9285714285779,2.3981591448932487,TP,2018Q2,2018,19,2018-04-10 10:30:00,2018Q2
77,2173,2018-04-11 01:30:00,2198,2018-04-11 14:00:00,BUY,1340.45,1348.000892857143,1337.4296428571429,1348.000892857143,0.1,74.80892857143026,755.0892857143026,2.4207211371778947,TP,2018Q2,2018,25,2018-04-11 01:30:00,2018Q2
78,2217,2018-04-11 23:30:00,2239,2018-04-12 11:30:00,BUY,1353.0,1346.6442857142856,1346.6442857142856,1368.8892857142857,0.1,-64.25714285714385,-635.5714285714384,-1.0,SL,2018Q2,2018,22,2018-04-11 23:30:00,2018Q2
