id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
81,1853,2018-04-02 02:30:00,1869,2018-04-02 10:30:00,BUY,1326.99,1332.2319642857144,1324.8932142857143,1332.2319642857144,0.1,51.719642857144024,524.1964285714403,2.386929289599525,TP,2018Q2,2018,16,2018-04-02 02:30:00,2018Q2
82,1870,2018-04-02 11:00:00,1880,2018-04-02 16:00:00,BUY,1332.27,1336.2932142857144,1330.6607142857142,1336.2932142857144,0.1,39.532142857144024,402.32142857144026,2.3541046363249722,TP,2018Q2,2018,10,2018-04-02 11:00:00,2018Q2
83,1881,2018-04-02 16:30:00,1881,2018-04-02 16:30:00,BUY,1335.71,1333.8157142857142,1333.8157142857142,1340.4457142857143,0.1,-19.64285714285843,-189.4285714285843,-1.0,SL,2018Q2,2018,0,2018-04-02 16:30:00,2018Q2
84,1882,2018-04-02 17:00:00,1886,2018-04-02 19:00:00,BUY,1334.26,1339.4885714285715,1332.1685714285713,1339.4885714285715,0.1,51.58571428571513,522.8571428571513,2.386649041639079,TP,2018Q2,2018,4,2018-04-02 17:00:00,2018Q2
85,1887,2018-04-02 19:30:00,1916,2018-04-03 11:00:00,BUY,1339.34,1336.3871428571429,1336.3871428571429,1346.722142857143,0.1,-30.228571428570557,-295.2857142857056,-1.0,SL,2018Q2,2018,29,2018-04-02 19:30:00,2018Q2
86,1927,2018-04-03 16:30:00,1961,2018-04-04 10:30:00,SELL,1334.15,1337.2314285714288,1337.2314285714288,1326.4464285714287,0.1,-31.514285714286597,-308.142857142866,-1.0,SL,2018Q2,2018,34,2018-04-03 16:30:00,2018Q2
87,1962,2018-04-04 11:00:00,1969,2018-04-04 14:30:00,BUY,1339.74,1345.1828571428573,1337.5628571428572,1345.1828571428573,0.1,53.72857142857292,544.2857142857292,2.390972663700036,TP,2018Q2,2018,7,2018-04-04 11:00:00,2018Q2
88,1970,2018-04-04 15:00:00,1970,2018-04-04 15:00:00,BUY,1346.92,1343.2900000000002,1343.2900000000002,1355.995,0.1,-36.99999999999882,-362.9999999999882,-1.0,SL,2018Q2,2018,0,2018-04-04 15:00:00,2018Q2
89,1971,2018-04-04 15:30:00,1972,2018-04-04 16:00:00,BUY,1346.38,1342.414642857143,1342.414642857143,1356.2933928571429,0.1,-40.353571428571016,-396.5357142857101,-1.0,SL,2018Q2,2018,1,2018-04-04 15:30:00,2018Q2
90,1973,2018-04-04 16:30:00,1974,2018-04-04 17:00:00,BUY,1344.51,1340.037857142857,1340.037857142857,1355.690357142857,0.1,-45.42142857142899,-447.2142857142899,-1.0,SL,2018Q2,2018,1,2018-04-04 16:30:00,2018Q2
