window,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,-1120.8928571428626,0.8439935658840734,False,False
2018Q3->2019Q2,-474.5785714285753,0.9332290178059964,False,False
2018Q4->2019Q3,-784.17857142857,0.905160230272706,False,False
2019Q1->2019Q4,-1592.685714285709,0.8214978185165916,False,False
2019Q2->2020Q1,521.5142857143051,1.0482725243570914,True,False
2019Q3->2020Q2,-1114.5428571428329,0.9188932101210411,False,False
2019Q4->2020Q3,480.20714285716076,1.032171942280104,True,False
2020Q1->2020Q4,240.12142857144227,1.0145025634123161,True,False
2020Q2->2021Q1,-2429.057142857147,0.8638964731421378,False,False
2020Q3->2021Q2,-1994.7714285714346,0.8821798176594424,False,False
2020Q4->2021Q3,-3956.1714285714215,0.7576785328338714,False,False
2021Q1->2021Q4,-4162.649999999977,0.7339127457023504,False,False
2021Q2->2022Q1,-3650.464285714262,0.7560886559855692,False,False
2021Q3->2022Q2,-3194.4785714285536,0.789967811410748,False,False
2021Q4->2022Q3,-850.3500000000006,0.9427130150578701,False,False
2022Q1->2022Q4,-200.96428571431233,0.9866305840536378,False,False
2022Q2->2023Q1,447.9785714285541,1.0303692519858132,True,False
2022Q3->2023Q2,-398.80000000001655,0.9739837095301105,False,False
2022Q4->2023Q3,-953.4500000000155,0.9339011788381559,False,False
2023Q1->2023Q4,1162.5571428571525,1.084752134971882,True,False
2023Q2->2024Q1,2039.014285714285,1.157977223901511,True,False
2023Q3->2024Q2,244.85714285711038,1.015579991073772,True,False
2023Q4->2024Q3,-1622.807142857157,0.9135442836626385,False,False
2024Q1->2024Q4,-3206.4714285714676,0.8503276477048642,False,False
2024Q2->2025Q1,-3472.357142857164,0.8545065469509907,False,False
2024Q3->2025Q2,1928.5000000000373,1.076186708369619,True,False
2024Q4->2025Q3,5419.742857142898,1.208107813080259,True,True
2025Q1->2025Q4,5948.307142857254,1.1758476983157349,True,False
2025Q2->2026Q1,2489.414285714332,1.0503237302036532,True,False
2025Q3->2026Q2,3422.2857142857533,1.0645272161230772,True,False
