id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
104,1868,2018-04-02 10:00:00,1869,2018-04-02 10:30:00,SELL,1330.38,1331.9582142857143,1331.9582142857143,1328.0126785714288,0.1,-16.48214285714239,-157.8214285714239,-1.0,SL,2018Q2,2018,1,2018-04-02 10:00:00,2018Q2
105,1870,2018-04-02 11:00:00,1877,2018-04-02 14:30:00,SELL,1332.02,1333.6292857142857,1333.6292857142857,1329.6060714285713,0.1,-16.79285714285761,-160.9285714285761,-1.0,SL,2018Q2,2018,7,2018-04-02 11:00:00,2018Q2
106,1878,2018-04-02 15:00:00,1878,2018-04-02 15:00:00,SELL,1333.47,1334.9528571428573,1334.9528571428573,1331.2457142857143,0.1,-15.528571428572558,-148.2857142857256,-1.0,SL,2018Q2,2018,0,2018-04-02 15:00:00,2018Q2
107,1879,2018-04-02 15:30:00,1880,2018-04-02 16:00:00,SELL,1334.23,1335.8992857142857,1335.8992857142857,1331.7260714285715,0.1,-17.392857142857064,-166.92857142857065,-1.0,SL,2018Q2,2018,1,2018-04-02 15:30:00,2018Q2
108,1881,2018-04-02 16:30:00,1883,2018-04-02 17:30:00,SELL,1335.46,1337.3542857142859,1337.3542857142859,1332.6185714285714,0.1,-19.64285714285843,-189.4285714285843,-1.0,SL,2018Q2,2018,2,2018-04-02 16:30:00,2018Q2
109,1884,2018-04-02 18:00:00,1886,2018-04-02 19:00:00,SELL,1337.14,1339.5914285714287,1339.5914285714287,1333.4628571428573,0.1,-25.214285714285506,-245.14285714285506,-1.0,SL,2018Q2,2018,2,2018-04-02 18:00:00,2018Q2
110,1887,2018-04-02 19:30:00,1888,2018-04-02 20:00:00,SELL,1339.09,1342.042857142857,1342.042857142857,1334.6607142857142,0.1,-30.228571428570557,-295.2857142857056,-1.0,SL,2018Q2,2018,1,2018-04-02 19:30:00,2018Q2
111,1889,2018-04-02 20:30:00,1903,2018-04-03 04:30:00,SELL,1342.65,1337.4910714285716,1346.0892857142858,1337.4910714285716,0.1,50.88928571428532,515.8928571428532,1.45013230205577,TP,2018Q2,2018,14,2018-04-02 20:30:00,2018Q2
112,1914,2018-04-03 10:00:00,1915,2018-04-03 10:30:00,SELL,1341.06,1337.9823214285714,1343.1117857142856,1337.9823214285714,0.1,30.07678571428578,307.7678571428578,1.4175223026427037,TP,2018Q2,2018,1,2018-04-03 10:00:00,2018Q2
113,1930,2018-04-03 18:00:00,1934,2018-04-03 20:00:00,BUY,1329.59,1334.6075,1326.245,1334.6075,0.1,49.47500000000154,501.75000000001546,1.448755490483196,TP,2018Q2,2018,4,2018-04-03 18:00:00,2018Q2
114,1962,2018-04-04 11:00:00,1962,2018-04-04 11:00:00,SELL,1339.49,1341.6671428571428,1341.6671428571428,1336.2242857142858,0.1,-22.47142857142826,-217.7142857142826,-1.0,SL,2018Q2,2018,0,2018-04-04 11:00:00,2018Q2
115,1963,2018-04-04 11:30:00,1969,2018-04-04 14:30:00,SELL,1343.19,1345.809642857143,1345.809642857143,1339.2605357142857,0.1,-26.89642857142935,-261.9642857142935,-1.0,SL,2018Q2,2018,6,2018-04-04 11:30:00,2018Q2
116,1970,2018-04-04 15:00:00,1974,2018-04-04 17:00:00,SELL,1346.67,1341.2250000000001,1350.3,1341.2250000000001,0.1,53.74999999999936,544.4999999999936,1.4527027027027317,TP,2018Q2,2018,4,2018-04-04 15:00:00,2018Q2
117,1993,2018-04-05 03:30:00,2000,2018-04-05 07:00:00,BUY,1331.32,1328.9564285714287,1328.9564285714287,1334.865357142857,0.1,-24.335714285712765,-236.35714285712766,-1.0,SL,2018Q2,2018,7,2018-04-05 03:30:00,2018Q2
118,2001,2018-04-05 07:30:00,2005,2018-04-05 09:30:00,BUY,1328.37,1326.485357142857,1326.485357142857,1331.196964285714,0.1,-19.546428571428077,-188.46428571428078,-1.0,SL,2018Q2,2018,4,2018-04-05 07:30:00,2018Q2
119,2006,2018-04-05 10:00:00,2006,2018-04-05 10:00:00,BUY,1326.52,1324.492857142857,1324.492857142857,1329.5607142857143,0.1,-20.971428571429623,-202.71428571429624,-1.0,SL,2018Q2,2018,0,2018-04-05 10:00:00,2018Q2
