window,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,-1410.7250000000518,0.8686319837783314,False,False
2018Q3->2019Q2,-1543.628571428624,0.8535670121254997,False,False
2018Q4->2019Q3,-1010.4000000000331,0.9136488278226365,False,False
2019Q1->2019Q4,-1285.2714285714503,0.8922450162616364,False,False
2019Q2->2020Q1,373.59999999999604,1.0238158334494438,True,False
2019Q3->2020Q2,-102.71071428570531,0.9946542652212366,False,False
2019Q4->2020Q3,-3512.6035714285767,0.8484805442276637,False,False
2020Q1->2020Q4,-3940.178571428574,0.8456910133355411,False,False
2020Q2->2021Q1,-5745.0714285714275,0.7735962395430659,False,False
2020Q3->2021Q2,-5720.125000000001,0.7664402234343589,False,False
2020Q4->2021Q3,-2772.9892857142972,0.8716402859025123,False,False
2021Q1->2021Q4,-1302.6642857143052,0.9372224029410692,False,False
2021Q2->2022Q1,-211.62857142859514,0.9897890783667889,False,False
2021Q3->2022Q2,-742.7071428571807,0.9666001103703814,False,False
2021Q4->2022Q3,-1033.3928571428855,0.9557822755004911,False,False
2022Q1->2022Q4,-2709.6750000000134,0.890615144468618,False,False
2022Q2->2023Q1,-4081.6821428571575,0.8355513859201413,False,False
2022Q3->2023Q2,-3278.2392857142886,0.8586706706848496,False,False
2022Q4->2023Q3,-3824.382142857119,0.8186216712504144,False,False
2023Q1->2023Q4,-2468.8999999999905,0.8756371578093326,False,False
2023Q2->2024Q1,-728.1607142857085,0.9598615465997634,False,False
2023Q3->2024Q2,-1082.7785714285837,0.9483267350830339,False,False
2023Q4->2024Q3,-2147.489285714262,0.916088121169749,False,False
2024Q1->2024Q4,-4211.767857142833,0.8591485792315597,False,False
2024Q2->2025Q1,-5046.099999999959,0.8525338176689982,False,False
2024Q3->2025Q2,-4482.646428571356,0.8959721545012114,False,False
2024Q4->2025Q3,-5971.7714285714155,0.8718022752563003,False,False
2025Q1->2025Q4,-8303.989285714291,0.8563023454170692,False,False
2025Q2->2026Q1,-15793.892857142855,0.8077269062853178,False,False
2025Q3->2026Q2,-20361.053571428616,0.7789449611593647,False,False
