quarter,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,142,-817.364285714293,1707.0142857142814,2524.3785714285737,0.6762116843466403,-5.7560865191147395
2018Q3,133,-555.1964285714265,1725.1642857142865,2280.3607142857113,0.756531313185102,-4.174409237379146
2018Q4,139,-546.5714285714284,1733.6071428571347,2280.178571428562,0.7602944631529481,-3.9321685508735857
2019Q1,135,-135.18214285714942,1807.8857142857084,1943.067857142858,0.9304285013206254,-1.0013492063492548
2019Q2,132,-663.7499999999841,1528.200000000008,2191.949999999992,0.6971874358448019,-5.02840909090897
2019Q3,108,-474.6964285714269,2501.257142857145,2975.9535714285707,0.8404893029485156,-4.395337301587286
2019Q4,149,-480.85357142856276,2418.2714285714305,2899.1249999999914,0.8341383791907688,-3.2272051773729045
2020Q1,120,-377.9142857142676,4663.085714285722,5040.99999999999,0.9250318814294249,-3.149285714285563
2020Q2,116,-470.36428571427473,4345.614285714287,4815.978571428562,0.9023325625855617,-4.05486453201961
2020Q3,120,796.0607142857192,5891.821428571431,5095.760714285713,1.1562201914336365,6.633839285714327
2020Q4,114,-44.196428571430786,4406.471428571434,4450.667857142866,0.9900697086392326,-0.38768796992483145
2021Q1,119,-91.45357142856757,4612.464285714286,4703.917857142854,0.9805579999043359,-0.7685174069627527
2021Q2,122,-149.95357142856656,3695.7428571428577,3845.696428571424,0.9610074340984137,-1.2291276346603817
2021Q3,138,-487.67142857141306,3581.4785714285736,4069.149999999986,0.880153980912128,-3.5338509316769064
2021Q4,139,-278.7357142857194,3756.271428571424,4035.007142857141,0.9309206391916454,-2.0052929085303552
2022Q1,136,-168.8928571428529,4709.007142857151,4877.900000000003,0.9653759082509169,-1.2418592436974478
2022Q2,134,-1086.1999999999912,4024.9357142857166,5111.135714285707,0.787483631678172,-8.105970149253665
2022Q3,152,-923.5785714285898,4124.007142857145,5047.585714285734,0.8170256784714588,-6.076174812030196
2022Q4,111,-393.35357142857214,3426.007142857147,3819.360714285717,0.8970106253757878,-3.543725868725875
2023Q1,137,-905.6535714285642,4179.635714285719,5085.2892857142815,0.8219071678040526,-6.610610010427476
2023Q2,143,-1411.0678571428639,3642.621428571428,5053.689285714291,0.7207846036099503,-9.86760739260744
2023Q3,129,-219.1750000000141,2703.5928571428544,2922.767857142868,0.9250111501451004,-1.6990310077520474
2023Q4,137,-820.399999999996,3385.857142857141,4206.257142857136,0.804957240573568,-5.988321167883182
2024Q1,131,-877.303571428567,3225.842857142875,4103.146428571439,0.7861876034158478,-6.696973827698985
2024Q2,132,179.05714285718483,5736.457142857174,5557.399999999988,1.0322195888108086,1.3564935064938244
2024Q3,141,-323.17499999997443,5942.971428571437,6266.14642857141,0.9484252397093037,-2.2920212765955634
2024Q4,121,284.29999999998313,5817.385714285726,5533.085714285741,1.0513818174307255,2.349586776859365
2025Q1,124,966.6607142857206,6672.45714285716,5705.796428571438,1.1694173155994885,7.795650921659037
2025Q2,78,2390.421428571428,8828.564285714278,6438.142857142849,1.3712905229990908,30.64642857142856
2025Q3,108,-167.378571428572,6092.778571428575,6260.157142857145,0.973262880210675,-1.5498015873015927
2025Q4,88,2146.1964285714407,11815.307142857131,9669.110714285696,1.2219642004306064,24.388595779220918
2026Q1,73,-2212.803571428571,14467.04999999999,16679.853571428564,0.8673367507722638,-30.312377690802343
2026Q2,91,1437.5214285714565,13898.878571428553,12461.357142857098,1.115358336342639,15.79693877551051
