year,failed_auction_n,accepted_breakout_n,att_mean_diff_bps,snapback_state_diff_pp
2018,20089,26992,-0.1255116287270126,15.951568921600384
2019,18888,27391,-0.06703931275437143,17.54890645783107
2020,25018,28326,-0.36305361793422253,14.655852070160586
2021,27340,31204,-0.16272512257026414,14.85513062582301
2022,27526,31569,-0.19597432132392548,13.850618373506402
2023,27001,31063,-0.04118800510088318,14.901342578229753
2024,27702,31965,-0.16627620072170307,15.309717763137376
2025,29021,31132,-0.16333029940160337,14.8947342749006
