cohort,quarter,event_count,mean_raw_reversion_atr,mean_excess_reversion_atr,median_excess_reversion_atr,positive_excess_pct,median_cost_hurdle_atr,worst5pct_mean_excess_atr,positive_mean_excess
H226-C1,2018Q2,29,-0.026219428727364758,-0.23386516871513235,-0.04524823303930531,48.275862068965516,0.20471490065111542,-4.349107888842964,False
H226-C1,2018Q3,33,-0.30742906011514604,-0.5142402897091123,-0.4261860093445601,39.39393939393939,0.19382350621709069,-4.739403960110943,False
H226-C1,2018Q4,35,-0.10488575227791648,-0.3203839923318957,-0.1563010525962419,48.57142857142857,0.2068310500333331,-3.8427848675181906,False
H226-C1,2019Q1,26,0.1533281959380332,-0.06814329932902946,0.3674034774900778,57.692307692307686,0.22310151893629715,-5.21496565640007,False
H226-C1,2019Q2,23,0.03731416236448,-0.17810159474325013,-0.24623943570437154,43.47826086956522,0.22387182810143214,-3.4335334031695783,False
H226-C1,2019Q3,31,0.47528093467235666,0.3587872527882143,0.5281552458220061,61.29032258064516,0.10547737651153988,-3.622248109557776,True
H226-C1,2019Q4,28,0.060279944175766584,-0.09498492463843043,0.2608282799619476,53.57142857142857,0.16992303176793985,-4.102959582683676,False
H226-C1,2020Q1,34,0.5583148695783112,0.43357166771343536,0.08259075930451934,52.94117647058824,0.12812143744678786,-4.063626868659888,True
H226-C1,2020Q2,22,0.1232928336924131,0.05273979381212368,-0.1751409467667705,40.909090909090914,0.06296173786377735,-1.7260378240315055,True
H226-C1,2020Q3,28,0.036384301939552895,-0.04416232670977982,0.18593002503687783,57.14285714285714,0.06667643501396407,-5.706080968041016,False
H226-C1,2020Q4,31,-0.3691368044513259,-0.45867801309960915,0.0033120354506203514,51.61290322580645,0.09192375708601243,-5.317371591260732,False
H226-C1,2021Q1,20,0.15895308872505778,0.07357977080717401,-0.08897324454695887,50.0,0.08105080775905651,-3.922078423491946,True
H226-C1,2021Q2,28,0.09636711159618343,-0.017726301148354395,-0.47446892921147554,39.285714285714285,0.12024759922746131,-3.9055880673330226,False
H226-C1,2021Q3,31,-0.041692342971001675,-0.16216870721839818,-0.18553380839831643,48.38709677419355,0.1203644676234591,-3.657994264851383,False
H226-C1,2021Q4,27,0.540545517961214,0.4223181549168699,0.2625243675000272,62.96296296296296,0.12493107619085084,-2.7816731058888164,True
H226-C1,2022Q1,30,0.4172703266314045,0.31414509127876095,0.27875243595327315,60.0,0.09810101049625528,-6.835137965493686,True
H226-C1,2022Q2,24,0.1535924367152669,0.05890218654286272,-0.1167950833860482,45.83333333333333,0.09339050735825975,-2.50567363338589,True
H226-C1,2022Q3,31,-0.4012653572828352,-0.5091429312544037,-0.30923303302500427,35.483870967741936,0.10700739379583037,-4.390721387207634,False
H226-C1,2022Q4,29,0.32417447034735347,0.2223266500443233,0.09649590071444063,51.724137931034484,0.09967748907687139,-2.4161286457274986,True
H226-C1,2023Q1,27,0.08013806454370245,-0.012560675895270402,0.14191058778365773,55.55555555555556,0.09475862276702923,-5.015247252343478,False
H226-C1,2023Q2,21,0.4631097691314078,0.36206494595487104,0.5300706976958488,61.904761904761905,0.09886224506301351,-3.222968953564374,True
H226-C1,2023Q3,15,0.2763894840773622,0.1314438551322421,-0.006339959520195337,46.666666666666664,0.14151226191779254,-2.6382934516074563,True
H226-C1,2023Q4,28,0.16793558310291276,0.05684157309688341,-0.6883463078824166,35.714285714285715,0.1125174992953544,-2.896251923477341,True
H226-C1,2024Q1,20,-0.16936739090761782,-0.2765378490902334,-0.11553108679651966,45.0,0.10013914324782203,-3.496143266648172,False
H226-C1,2024Q2,21,-0.42374334407728265,-0.49158147824097054,-0.26520370403648247,47.61904761904761,0.06812438102919005,-3.6713885759383107,False
H226-C1,2024Q3,24,0.454662153421239,0.3818640364310722,0.658685446974099,62.5,0.0706880608659206,-3.3802366603173604,True
H226-C1,2024Q4,24,-0.4070433749901658,-0.479955614296166,-0.9514775213359608,41.66666666666667,0.0733948866622708,-5.275438278475785,False
