cohort,year,event_count,mean_raw_reversion_atr,mean_excess_reversion_atr,median_excess_reversion_atr,positive_excess_pct,median_cost_hurdle_atr,worst5pct_mean_excess_atr,positive_mean_excess
H226-C1,2019,108,0.19691024296792992,0.024025597082491384,0.35364452258273427,54.629629629629626,0.1710455805637199,-4.391413388264631,True
H226-C1,2020,115,0.09800580368010481,0.003879553149233062,0.07133944762041565,51.30434782608696,0.09029085526558407,-5.079171489287684,True
H226-C1,2021,106,0.1809396910570379,0.06934546455636513,-0.08732519352877158,50.0,0.11570751520159489,-3.7221012139557366,True
H226-C1,2022,114,0.11549264775801665,0.0131758526121965,-0.08362693158229009,48.24561403508772,0.10017865747009887,-4.771931426609099,True
H226-C1,2023,91,0.2278799064008958,0.11898293944589401,-0.006339959520195337,49.45054945054945,0.10503425857806568,-3.9648678635909866,True
H226-C1,2024,89,-0.12520345349920817,-0.20458613363626182,-0.003981530300853159,49.43820224719101,0.07413125679135943,-4.531321672978786,False
H226-C1,2025,127,0.2318143260150863,0.18352871888216404,0.18532252595531767,53.54330708661418,0.044321527338319136,-6.545316187988154,True
H226-C2,2019,87,0.1816901576850853,0.0035067722024524567,0.26123661547697563,52.87356321839081,0.17517513526147996,-4.53990891237139,True
H226-C2,2020,93,0.09622730211599262,0.0009882128587039279,0.08010362966321811,51.61290322580645,0.09035830697092222,-5.2053142276693976,True
H226-C2,2021,81,0.16791308289278797,0.05536886388804358,0.08465532126916936,51.85185185185185,0.11648294979090255,-3.87399777928142,True
H226-C2,2022,81,0.2705047552381851,0.16870200142489145,0.02535679647701368,50.617283950617285,0.09950958464224025,-3.333343485586122,True
H226-C2,2023,67,0.10042796035762123,-0.009653011449259634,-0.2854619650009179,41.7910447761194,0.10774768250748101,-4.235176819977887,False
H226-C2,2024,67,-0.11016052861638628,-0.19164953010033048,-0.003981530300853159,49.25373134328358,0.07851260171900441,-3.6153341039105227,False
H226-C2,2025,86,0.321171197251528,0.2718591869444314,0.4808537317042053,58.139534883720934,0.04406825489749962,-6.296015721623222,True
H226-C3,2019,105,0.20653634066479587,0.03378246318255566,0.36842897500959904,54.285714285714285,0.17033976602632092,-4.391413388264631,True
H226-C3,2020,106,0.015403048896085568,-0.0772546742307709,-0.03413887081311068,49.056603773584904,0.09051456752941958,-5.005577824532753,False
H226-C3,2021,95,0.10660401139404048,-0.005342888862295877,-0.2631327955811319,48.421052631578945,0.11646336560690543,-3.87399777928142,False
H226-C3,2022,103,0.1363843469665857,0.03393802103198296,-0.021844525541381388,49.51456310679612,0.10058392532561809,-4.42620982954521,True
H226-C3,2023,84,0.24709536840253354,0.13803277828636495,0.028817613484309224,50.0,0.10551692645021171,-3.9648678635909866,True
H226-C3,2024,81,-0.19410619772857812,-0.27295674744979215,-0.13736920489955187,48.148148148148145,0.07355690890404525,-4.531321672978786,False
H226-C3,2025,122,0.17948107303708635,0.13103645997149163,0.08051678317594291,52.459016393442624,0.04432344783597029,-6.545316187988154,True
H226-C4,2019,84,0.1931792053317806,0.014970039653245679,0.18925939058030808,52.38095238095239,0.1742971939196946,-4.53990891237139,True
H226-C4,2020,84,-0.008200061231424588,-0.10170524148528644,-0.05890434458344581,48.80952380952381,0.0911248642150568,-5.106127794121923,False
H226-C4,2021,71,0.04627991555795053,-0.0666036927996139,-0.18553380839831643,49.29577464788733,0.1193720868183504,-4.023575592509706,False
H226-C4,2022,71,0.39930391035953783,0.29739194271195546,0.09649590071444063,53.52112676056338,0.09902177740227273,-3.016312743416247,True
H226-C4,2023,60,0.11246021345486537,0.002009235322965086,-0.2839838086462574,41.66666666666667,0.10991133007367056,-4.677278490333417,True
H226-C4,2024,60,-0.1564199760090557,-0.2373494425934133,-0.07067536760020252,48.333333333333336,0.07783443345699911,-3.6467232426550225,False
H226-C4,2025,82,0.22208657727475536,0.17272018884953522,0.29672184985549077,56.09756097560976,0.04406825489749962,-6.296015721623222,True
