cohort,excluded_year,event_count,mean_raw_reversion_atr,mean_excess_reversion_atr,median_excess_reversion_atr,positive_excess_pct,median_cost_hurdle_atr,worst5pct_mean_excess_atr,positive_mean_excess
H226-C1,2019,805,0.1263040866416668,0.027900940796317098,0.003148406581363658,50.06211180124224,0.09029085526558407,-5.126204282399119,True
H226-C1,2020,798,0.13993788040584737,0.030838186984689896,0.026358671178024505,50.50125313283208,0.09810674186359888,-5.04723738100739,True
H226-C1,2021,807,0.1285768137980573,0.02193854099500575,0.03258795996712957,50.6815365551425,0.09361818303358954,-5.1974930537408,True
H226-C1,2022,799,0.1373904056854372,0.029478065867526815,0.055282143523105204,50.9386733416771,0.09464595593658552,-5.079336198187816,True
H226-C1,2023,822,0.12433579623430259,0.017308484594121626,0.02997425292308245,50.72992700729927,0.09396307359191301,-5.121895935774212,True
H226-C1,2024,824,0.1627235477530434,0.05250386859171313,0.03665309180624786,50.728155339805824,0.10039557448989739,-5.088051932035803,True
H226-C1,2025,786,0.11895760379537185,0.0022224866767296494,0.0032302210159920047,50.12722646310432,0.1051094736706137,-4.607768221802752,True
H226-C2,2019,609,0.15128371551560885,0.05013666751189148,0.02736054587903533,50.73891625615764,0.09205784896092943,-4.981486026787609,True
H226-C2,2020,603,0.1641620022733348,0.05098908109534962,0.03258795996712957,50.91210613598673,0.09998201009241468,-4.845817582623529,True
H226-C2,2021,615,0.15339490528990632,0.04285112475028256,0.049327081888391605,50.89430894308943,0.09568465201386649,-5.066969343544057,True
H226-C2,2022,615,0.13988283137124427,0.027924321269819665,0.06397518648881378,51.056910569105696,0.09886224506301351,-5.096458302883165,True
H226-C2,2023,629,0.16090644375778632,0.050055757493570247,0.0700571897465101,51.987281399046104,0.09810510982184355,-4.971826992156558,True
H226-C2,2024,629,0.1833379680205184,0.06944171417023438,0.06397518648881378,51.19236883942766,0.10305515456650441,-5.079430825565931,True
H226-C2,2025,610,0.13166902213766687,0.012226933801859328,-0.0004165618597447504,50.0,0.10700866123778158,-4.520224539417655,True
H226-C3,2019,746,0.09586663330814871,-0.0026591939727655988,-0.012491554810804613,49.46380697050938,0.08876285207128867,-5.2251473465729745,False
H226-C3,2020,745,0.1229128872948959,0.013090463622747548,0.005512468704880175,50.20134228187919,0.09749139478397674,-5.095968362996751,True
H226-C3,2021,756,0.10988815229530247,0.002739384090480554,0.004412252077750263,50.264550264550266,0.09363002013134161,-5.2950226976514685,True
H226-C3,2022,748,0.10582250866326759,-0.0025831767858409864,0.0032302210159920047,50.13368983957219,0.09478889774749913,-5.154759392462734,False
H226-C3,2023,767,0.09445477610413258,-0.013078687673493418,0.003148406581363658,50.0651890482399,0.09454320060313451,-5.2111096566641,False
H226-C3,2024,770,0.14146159251129525,0.0307440213946992,0.015434632590946927,50.25974025974026,0.10079969665048331,-5.185832593191459,True
H226-C3,2025,729,0.09781362593574484,-0.019784702587156068,-0.006339959520195337,49.65706447187929,0.10599959432235775,-4.675751282800324,False
H226-C4,2019,555,0.11959282912430678,0.01818214997009779,-0.003981530300853159,49.90990990990991,0.09167800412101898,-5.092356314568154,True
H226-C4,2020,555,0.15007185325279185,0.03584111143971345,0.02535679647701368,50.45045045045045,0.10074901060437014,-4.940127308095592,True
H226-C4,2021,568,0.13963943557613617,0.028305349917340655,0.015434632590946927,50.352112676056336,0.09587009295424118,-5.132100963772489,True
H226-C4,2022,568,0.09551143622593773,-0.017194104521605517,-0.004205471867043009,49.82394366197183,0.0991746032870954,-5.194265759213881,False
H226-C4,2023,579,0.13100770398025544,0.019392094032640767,0.06780077874954514,51.122625215889464,0.09810837390535422,-5.075920114288174,True
H226-C4,2024,579,0.15887093604905556,0.04419610210687689,0.02736054587903533,50.431778929188255,0.10447484989258082,-5.194265759213881,True
H226-C4,2025,557,0.11560138972231578,-0.005052924454910201,-0.007859782519334599,49.371633752244165,0.10802524286673623,-4.597150222277951,False
