cohort,block_type,bootstrap_reps_requested,bootstrap_reps_valid,seed,ci_2_5,ci_97_5,p_mean_excess_gt_zero_pct
H226-C1,QUARTER,5000,5000,311226,-0.09422439036334948,0.15374612177307667,66.64
H226-C2,QUARTER,5000,5000,311226,-0.0872348655257711,0.19431993379946247,72.54
H226-C3,QUARTER,5000,5000,311226,-0.12415236507472688,0.12881840506543235,52.080000000000005
H226-C4,QUARTER,5000,5000,311226,-0.13172946986201794,0.1831638696680473,59.099999999999994
H226-C1,YEAR,5000,5000,311227,-0.048625207934876236,0.11107914035562075,81.54
H226-C2,YEAR,5000,5000,311227,-0.04746021214438144,0.14607030989936734,84.86
H226-C3,YEAR,5000,5000,311227,-0.09262884723831763,0.08612154227555346,56.04
H226-C4,YEAR,5000,5000,311227,-0.097254947155586,0.1385218420043773,60.3
