datetime,year,direction,entry_price,exit_price,sl_price,tp_price,lot,net_pnl_usd,balance_after
2010-05-19 00:00:00,2010,BUY,1236.125,1204.6185714285716,1204.6685714285716,1319.3421428571428,0.01,-31.876428571428388,968.1235714285716
2010-10-18 00:00:00,2010,BUY,1381.525,1353.4632142857145,1353.5132142857144,1455.5564285714286,0.01,-28.431785714285635,939.691785714286
2011-04-28 00:00:00,2011,BUY,1459.505,1530.427857142857,1432.6589285714288,1530.427857142857,0.01,70.55285714285685,1070.5528571428567
2011-08-02 00:00:00,2011,BUY,1567.475,1647.5321428571428,1537.2035714285714,1647.5321428571428,0.01,79.68714285714293,1150.2399999999998
2012-05-17 00:00:00,2012,SELL,1543.515,1576.5835714285715,1576.5335714285716,1456.1321428571428,0.01,-33.43857142857143,966.5614285714286
2013-04-12 00:00:00,2013,SELL,1609.185,1534.7307142857142,1637.3553571428572,1534.7307142857142,0.01,74.08428571428578,1074.0842857142857
2013-05-14 16:00:00,2013,SELL,1428.335,1434.4464285714284,1434.3964285714285,1412.8378571428573,0.04,-25.92571428571362,1048.158571428572
2013-05-23 10:00:00,2013,SELL,1363.275,1380.6075,1380.5575000000001,1317.8550000000002,0.02,-35.404999999999966,1012.7535714285721
2013-06-07 15:00:00,2013,BUY,1410.805,1400.8910714285714,1400.9410714285714,1436.442142857143,0.03,-30.851785714285924,981.9017857142861
2013-06-11 14:00:00,2013,SELL,1370.345,1375.5832142857143,1375.5332142857144,1357.1764285714285,0.05,-28.041071428571605,953.8607142857145
2013-06-19 16:00:00,2013,SELL,1368.395,1374.3049999999998,1374.2549999999999,1353.4350000000002,0.04,-25.11999999999942,928.7407142857151
2013-06-24 13:00:00,2013,SELL,1279.465,1287.7375,1287.6875,1258.205,0.03,-25.92750000000011,902.8132142857149
2013-07-05 13:00:00,2013,SELL,1235.035,1240.1725000000001,1240.1225000000002,1222.1350000000002,0.04,-22.030000000000182,880.7832142857147
2013-07-15 09:00:00,2013,BUY,1292.855,1285.3742857142859,1285.4242857142858,1312.0035714285714,0.03,-23.55214285714247,857.2310714285722
2013-07-17 12:00:00,2013,BUY,1290.285,1284.4778571428574,1284.5278571428573,1304.9707142857142,0.04,-24.70857142857083,832.5225000000014
2013-07-24 02:00:00,2013,BUY,1347.525,1341.3278571428573,1341.3778571428572,1363.2507142857146,0.03,-19.701428571428423,812.821071428573
2013-07-31 10:00:00,2013,BUY,1336.995,1330.3917857142856,1330.4417857142855,1353.8035714285713,0.03,-20.91964285714299,791.90142857143
2013-08-21 08:00:00,2013,BUY,1375.155,1366.452857142857,1366.502857142857,1397.5607142857143,0.02,-18.144285714285832,773.7571428571441
2013-08-26 02:00:00,2013,BUY,1399.385,1391.63,1391.68,1419.2649999999999,0.03,-24.374999999999645,749.3821428571445
2013-08-29 03:00:00,2013,BUY,1418.315,1411.0142857142857,1411.0642857142857,1436.9835714285716,0.03,-23.012142857142962,726.3700000000015
2013-09-04 15:00:00,2013,BUY,1406.395,1398.46,1398.51,1426.7549999999999,0.02,-16.60999999999989,709.7600000000016
2013-09-10 14:00:00,2013,SELL,1378.465,1367.8878571428572,1382.6814285714286,1367.8878571428572,0.04,40.82857142857076,750.5885714285723
2013-09-24 16:00:00,2013,SELL,1306.305,1312.9467857142856,1312.8967857142857,1289.3935714285715,0.03,-21.035357142856682,729.5532142857156
2013-09-27 14:00:00,2013,SELL,1322.425,1330.33,1330.28,1302.1449999999998,0.02,-16.549999999999944,713.0032142857157
2013-10-09 20:00:00,2013,SELL,1305.945,1311.9085714285713,1311.8585714285714,1290.8421428571428,0.03,-19.00071428571424,694.0025000000014
2013-10-11 15:00:00,2013,SELL,1287.145,1264.6764285714287,1295.8207142857143,1264.6764285714287,0.02,44.19714285714259,738.199642857144
2013-10-25 06:00:00,2013,BUY,1350.125,1342.7610714285715,1342.8110714285715,1368.9621428571427,0.03,-23.20178571428538,714.9978571428586
2013-10-29 09:00:00,2013,BUY,1352.365,1345.7060714285715,1345.7560714285714,1369.3221428571428,0.03,-21.086785714285597,693.911071428573
2013-10-30 20:00:00,2013,BUY,1354.035,1348.5610714285715,1348.6110714285714,1367.832142857143,0.03,-17.53178571428576,676.3792857142872
2013-11-07 17:00:00,2013,SELL,1303.245,1311.0278571428569,1310.977857142857,1283.290714285714,0.02,-16.305714285713965,660.0735714285732
2013-11-12 08:00:00,2013,SELL,1277.885,1280.6985714285713,1280.6485714285714,1271.1821428571427,0.06,-19.10142857142793,640.9721428571453
2013-11-19 16:00:00,2013,SELL,1273.605,1278.6910714285714,1278.6410714285714,1260.8421428571428,0.03,-16.368214285714075,624.6039285714312
2013-11-20 17:00:00,2013,SELL,1256.475,1262.3164285714286,1262.2664285714286,1241.697857142857,0.03,-18.63428571428595,605.9696428571452
2013-11-25 21:00:00,2013,SELL,1240.575,1245.8142857142857,1245.7642857142857,1227.4035714285715,0.03,-16.827857142856928,589.1417857142883
2013-12-19 22:00:00,2013,SELL,1219.215,1191.2921428571428,1229.9360714285713,1191.2921428571428,0.01,27.552857142857082,616.6946428571454
2014-01-10 09:00:00,2014,BUY,1236.705,1232.7739285714285,1232.8239285714285,1246.387857142857,0.06,-25.806428571428313,974.1935714285717
2014-01-21 11:00:00,2014,BUY,1254.045,1248.6492857142857,1248.6992857142857,1267.6335714285715,0.05,-28.828571428571742,945.3649999999999
2014-01-23 04:00:00,2014,SELL,1231.545,1235.3346428571429,1235.284642857143,1222.2392857142859,0.06,-24.95785714285668,920.4071428571432
2014-01-29 21:00:00,2014,BUY,1262.375,1257.9082142857144,1257.9582142857143,1273.4864285714286,0.05,-24.183928571428034,896.2232142857151
2014-02-14 13:00:00,2014,BUY,1300.795,1312.4350000000002,1296.18,1312.4350000000002,0.05,56.3500000000005,952.5732142857156
2014-02-26 17:00:00,2014,BUY,1333.895,1328.36,1328.4099999999999,1347.855,0.04,-23.620000000000328,928.9532142857153
2014-03-04 14:00:00,2014,BUY,1341.085,1333.5367857142858,1333.5867857142857,1360.4135714285715,0.03,-23.754642857142798,905.1985714285724
2014-03-07 15:00:00,2014,BUY,1349.715,1344.2517857142857,1344.3017857142856,1363.4835714285714,0.04,-23.33285714285692,881.8657142857155
2014-03-14 17:00:00,2014,BUY,1381.825,1376.3767857142857,1376.4267857142856,1395.5535714285716,0.04,-23.27285714285743,858.5928571428581
2014-03-27 11:00:00,2014,SELL,1310.695,1293.7864285714286,1317.2857142857142,1293.7864285714286,0.03,49.61571428571405,908.2085714285721
2014-04-02 15:00:00,2014,SELL,1286.435,1291.6217857142856,1291.5717857142856,1273.4035714285712,0.04,-22.227142857142535,885.9814285714295
2014-04-03 18:00:00,2014,SELL,1283.565,1287.3353571428572,1287.2853571428573,1274.3107142857145,0.06,-24.84214285714299,861.1392857142865
2014-04-14 14:00:00,2014,BUY,1327.905,1322.109642857143,1322.159642857143,1342.5592857142856,0.04,-24.661428571428115,836.4778571428584
2014-04-17 10:00:00,2014,SELL,1296.665,1299.6371428571426,1299.5871428571427,1289.5392857142858,0.07,-23.394999999998703,813.0828571428597
2014-04-23 04:00:00,2014,SELL,1281.625,1286.670357142857,1286.620357142857,1268.9707142857142,0.04,-21.661428571428115,791.4214285714315
