quarter,year,trades,wins,losses,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,49,9,40,-485.7035714285751,558.932142857144,1044.6357142857191,0.5350498123064075,-9.912317784256635
2018Q3,2018,40,7,33,-365.596428571419,440.70714285714996,806.3035714285691,0.5465771930990293,-9.139910714285474
2018Q4,2018,78,21,57,-114.99821428571938,1300.133928571429,1415.1321428571484,0.9187367661273396,-1.474336080586146
2019Q1,2019,59,18,41,7.519642857142706,955.6767857142879,948.1571428571453,1.0079307980895267,0.12745157384987638
2019Q2,2019,83,25,58,282.77678571429476,1960.9160714285824,1678.1392857142878,1.1685061473272957,3.406949225473431
2019Q3,2019,68,26,42,690.4910714285664,2845.808928571425,2155.317857142858,1.320366236998518,10.1542804621848
2019Q4,2019,58,19,39,131.50892857143788,1387.2446428571463,1255.7357142857088,1.1047265973845801,2.267395320197205
2020Q1,2020,70,27,43,651.7749999999849,3406.9249999999865,2755.1500000000005,1.23656606718327,9.311071428571212
2020Q2,2020,56,20,36,699.6250000000064,3148.642857142863,2449.0178571428546,1.2856757446498268,12.493303571428685
2020Q3,2020,73,23,50,130.3732142856997,3773.248214285714,3642.8750000000123,1.0357885500561235,1.7859344422698589
2020Q4,2020,59,19,40,397.5839285714402,2523.494642857147,2125.910714285706,1.187018168684016,6.738710653753223
2021Q1,2021,34,12,22,494.04821428571154,1791.4124999999958,1297.3642857142847,1.3808091680384935,14.530829831932692
2021Q2,2021,57,17,40,-92.80892857142125,1929.1839285714384,2021.9928571428595,0.9541002688295531,-1.628226817042478
2021Q3,2021,60,15,45,-171.16071428571962,1789.3392857142878,1960.500000000008,0.912695376543882,-2.8526785714286604
2021Q4,2021,62,15,47,-647.2303571428495,1543.7410714285709,2190.9714285714194,0.7045920596213057,-10.439199308755637
2022Q1,2022,70,23,47,161.79642857142767,3344.696428571422,3182.899999999992,1.0508330228946654,2.3113775510203953
2022Q2,2022,38,8,30,-617.0482142857114,1209.1053571428592,1826.153571428571,0.6621049708305722,-16.238110902255563
2022Q3,2022,45,8,37,-595.9178571428573,1274.9714285714317,1870.8892857142894,0.6814788230959689,-13.242619047619051
2022Q4,2022,58,19,39,848.8839285714212,2871.548214285717,2022.6642857142954,1.4196860223255694,14.635929802955538
2023Q1,2023,77,20,57,-416.9107142857035,3122.1250000000005,3539.035714285703,0.8821965224587034,-5.414424860853292
2023Q2,2023,51,9,42,-1231.580357142869,1236.2089285714262,2467.7892857142947,0.500937797131901,-24.148634453781742
2023Q3,2023,49,13,36,-189.74642857144016,1145.3107142857114,1335.057142857152,0.8578739272797231,-3.8723760932946973
2023Q4,2023,84,28,56,607.4999999999827,3741.4892857142754,3133.9892857142913,1.1938423984948385,7.232142857142652
2024Q1,2024,74,24,50,1043.29642857141,3452.3785714285586,2409.082142857148,1.4330680179024826,14.098600386100134
2024Q2,2024,72,23,49,808.2267857142913,4635.15892857143,3826.9321428571366,1.211194438663572,11.225372023809602
2024Q3,2024,80,27,53,708.7017857142829,4444.323214285714,3735.621428571429,1.1897145626946748,8.858772321428535
2024Q4,2024,62,22,40,1166.5642857142725,3932.278571428561,2765.714285714287,1.4217949380165245,18.815552995391492
2025Q1,2025,85,27,58,1348.7803571428715,5448.198214285726,4099.417857142853,1.3290175347196551,15.868004201680842
2025Q2,2025,60,24,36,2813.9571428571467,7910.485714285714,5096.528571428566,1.552132123546281,46.899285714285774
2025Q3,2025,71,28,43,3073.391071428564,7107.998214285728,4034.607142857164,1.7617572077295482,43.287198189134706
2025Q4,2025,83,30,53,2526.7482142857116,11537.330357142873,9010.582142857169,1.2804200854312946,30.44274956970737
2026Q1,2026,63,24,39,5375.823214285673,16763.19107142852,11387.367857142854,1.4720865507926504,85.3305272108837
2026Q2,2026,43,10,33,-938.1035714285761,6553.946428571433,7492.050000000008,0.8747867978152075,-21.816362126245956
