quarter,year,trades,wins,losses,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,60,14,46,-543.9857142857087,749.5857142857153,1293.5714285714243,0.5794699061292131,-9.066428571428478
2018Q3,2018,47,12,35,-361.5714285714242,558.7928571428611,920.3642857142856,0.6071431343179374,-7.69300911854094
2018Q4,2018,61,20,41,-15.23928571428793,1106.2428571428525,1121.4821428571406,0.9864114771587322,-0.24982435597193328
2019Q1,2019,64,20,44,-177.5178571428545,886.1714285714249,1063.6892857142798,0.8331111730399263,-2.7737165178571015
2019Q2,2019,74,27,47,201.52857142856033,1581.6428571428544,1380.1142857142947,1.1460231036767046,2.7233590733589232
2019Q3,2019,63,21,42,-369.6964285714277,1764.1071428571513,2133.803571428579,0.8267429891290714,-5.868197278911551
2019Q4,2019,62,23,39,78.3642857142845,1285.3071428571398,1206.942857142856,1.0649279170513444,1.2639400921658792
2020Q1,2020,57,18,39,-989.4428571428577,1960.6928571428557,2950.1357142857123,0.6646110711613751,-17.358646616541364
2020Q2,2020,60,17,43,-460.7785714285676,2348.4142857142874,2809.1928571428543,0.8359747461777292,-7.6796428571427935
2020Q3,2020,67,24,43,242.33214285712904,3345.578571428565,3103.246428571435,1.0780898805283363,3.6168976545840157
2020Q4,2020,58,24,34,713.1285714285711,2867.1214285714273,2153.992857142856,1.3310728580476792,12.29532019704433
2021Q1,2021,43,10,33,-693.5071428571475,1385.0428571428579,2078.550000000005,0.6663505122045918,-16.128073089701104
2021Q2,2021,57,20,37,48.096428571436846,2019.7642857142896,1971.667857142853,1.0243937782914072,0.8437969924813482
2021Q3,2021,67,19,48,-687.8071428571341,1744.2500000000034,2432.057142857137,0.717191207913351,-10.265778251599016
2021Q4,2021,60,24,36,713.4107142857217,2419.9500000000085,1706.539285714287,1.41804529216397,11.890178571428695
2022Q1,2022,65,26,39,558.6499999999974,2977.3428571428526,2418.6928571428543,1.2309718649683856,8.594615384615343
2022Q2,2022,53,12,41,-918.0714285714246,1532.1642857142901,2450.2357142857145,0.6253130165319389,-17.322102425875936
2022Q3,2022,59,16,43,-457.84999999999724,1807.207142857143,2265.0571428571398,0.7978638192666233,-7.760169491525377
2022Q4,2022,65,26,39,777.6571428571352,2954.8,2177.142857142864,1.3571916010498646,11.963956043955926
2023Q1,2023,66,27,39,1117.907142857147,3414.2785714285756,2296.3714285714277,1.486814601918557,16.937987012987076
2023Q2,2023,63,17,46,-845.389285714279,1826.2000000000019,2671.5892857142794,0.6835631546230531,-13.418877551020302
2023Q3,2023,64,18,46,-395.08571428571463,1329.9214285714243,1725.0071428571391,0.7709657516946091,-6.173214285714291
2023Q4,2023,68,24,44,263.0607142857185,2641.050000000005,2377.9892857142863,1.1106231705357337,3.8685399159664486
2024Q1,2024,67,28,39,1161.6285714285827,3233.471428571439,2071.842857142856,1.5606740720821413,17.3377398720684
2024Q2,2024,69,20,49,-977.3464285714144,3015.1000000000085,3992.446428571422,0.755201116393908,-14.164440993788615
2024Q3,2024,69,23,46,-50.15357142855518,3339.6142857142995,3389.7678571428523,0.9852044229746086,-0.7268633540370316
2024Q4,2024,61,16,45,-1108.07499999999,2279.2357142857136,3387.3107142857025,0.6728747099205354,-18.165163934426065
2025Q1,2025,68,23,45,266.75714285712974,3834.0142857142864,3567.2571428571546,1.0747793422717702,3.9228991596636726
2025Q2,2025,41,16,25,902.8857142857157,4610.771428571414,3707.885714285698,1.2435041918382457,22.02160278745648
2025Q3,2025,56,20,36,612.7428571428627,3836.007142857149,3223.2642857142846,1.1901000981702246,10.941836734693977
2025Q4,2025,46,19,27,1445.9428571428662,6667.400000000015,5221.457142857148,1.276923245290041,31.433540372671004
2026Q1,2026,49,20,29,1034.6321428571384,11122.021428571426,10087.389285714293,1.1025668895640197,21.11494169096201
2026Q2,2026,37,12,25,118.47500000000002,5901.107142857156,5782.632142857155,1.020488074820105,3.2020270270270275
