window,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,-2049.3499999999817,4510.514285714301,6559.864285714283,0.6875926222341299,False,False
2018Q3->2019Q2,-1178.8749999999836,5697.178571428585,6876.053571428569,0.8285535463396542,False,False
2018Q4->2019Q3,-857.9107142856915,7741.157142857162,8599.067857142853,0.9002321264887958,False,False
2019Q1->2019Q4,-764.2928571428238,7817.60000000002,8581.892857142842,0.9109412259200266,False,False
2019Q2->2020Q1,-152.8249999999647,10828.20000000001,10981.024999999972,0.9860828110308497,False,False
2019Q3->2020Q2,351.453571428605,12905.978571428577,12554.524999999969,1.0279941751224049,True,False
2019Q4->2020Q3,1020.0499999999925,14904.842857142845,13884.79285714285,1.073465265956434,True,False
2020Q1->2020Q4,1252.9321428571384,16666.085714285702,15413.15357142856,1.0812897981617278,True,False
2020Q2->2021Q1,461.77499999998645,14534.335714285708,14072.560714285715,1.032813857362237,True,False
2020Q3->2021Q2,-334.67499999999563,13113.571428571428,13448.24642857142,0.9751138557894835,False,False
2020Q4->2021Q3,-1379.3428571428312,10416.707142857158,11796.049999999985,0.8830673948361674,False,False
2021Q1->2021Q4,-1463.7857142857033,9312.664285714298,10776.449999999997,0.8641680967029309,False,False
2021Q2->2022Q1,-326.79642857141766,11389.357142857143,11716.153571428556,0.9721071914447801,False,False
2021Q3->2022Q2,-544.182142857141,10846.642857142855,11390.82499999999,0.9522262748433818,False,False
2021Q4->2022Q3,-430.4499999999976,10648.3857142857,11078.835714285693,0.9611466393129247,False,False
2022Q1->2022Q4,197.21785714285403,11446.349999999988,11249.13214285713,1.017531828645829,True,False
2022Q2->2023Q1,-459.76785714284995,11347.914285714292,11807.682142857142,0.9610619720635876,False,False
2022Q3->2023Q2,-1362.7535714285834,10852.00714285715,12214.76071428573,0.8884338708465425,False,False
2022Q4->2023Q3,-1228.5285714285906,10448.800000000012,11677.328571428598,0.8947936966992196,False,False
2023Q1->2023Q4,-1373.2392857142975,11078.785714285725,12452.025000000016,0.889717593265811,False,False
2023Q2->2024Q1,-784.4071428571567,10718.85000000001,11503.257142857161,0.9318099966717495,False,False
2023Q3->2024Q2,117.68928571431093,13695.25000000003,13577.560714285712,1.008667925571527,True,False
2023Q4->2024Q3,2019.8464285714635,17993.321428571468,15973.474999999999,1.1264500322297728,True,False
2024Q1->2024Q4,584.0428571428499,18607.550000000025,18023.50714285717,1.0324045066542067,True,False
2024Q2->2025Q1,1667.7249999999804,22287.53571428574,20619.810714285755,1.0808797434228896,True,False
2024Q3->2025Q2,4668.242857142788,27972.42142857139,23304.178571428598,1.2003178461250787,True,True
2024Q4->2025Q3,5943.403571428504,30361.47857142853,24418.07500000003,1.2434018067119743,True,True
2025Q1->2025Q4,10106.70714285716,40169.35714285713,30062.649999999987,1.3361881651436964,True,True
2025Q2->2026Q1,16551.22857142859,57710.74285714282,41159.51428571423,1.4021240011856322,True,True
2025Q3->2026Q2,13230.728571428586,56947.057142857135,43716.32857142855,1.3026495820620152,True,True
