window,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,-1703.3982142856999,4317.4410714285905,6020.839285714292,0.7170829292309177,False,False
2018Q3->2019Q2,-646.7410714285628,5597.719642857156,6244.460714285721,0.8964296356370715,False,False
2018Q4->2019Q3,64.08750000000197,7690.762500000001,7626.674999999999,1.008403072112028,True,False
2019Q1->2019Q4,434.29285714287045,7695.275000000001,7260.98214285713,1.0598118613430414,True,False
2019Q2->2020Q1,1812.228571428587,11325.964285714279,9513.73571428569,1.1904854860228429,True,False
2019Q3->2020Q2,2571.5321428571633,13266.971428571425,10695.43928571426,1.2404325875882372,True,True
2019Q4->2020Q3,3564.8249999999957,15678.960714285702,12114.135714285709,1.2942698582942356,True,True
2020Q1->2020Q4,3792.216071428574,17408.755357142854,13616.53928571428,1.278500725614412,True,True
2020Q2->2021Q1,1865.5053571428584,14480.644642857142,12615.139285714286,1.147878300420781,True,False
2020Q3->2021Q2,1243.1410714285794,13332.412500000002,12089.271428571421,1.1028301067416337,True,False
2020Q4->2021Q3,-745.401785714254,9849.901785714308,10595.303571428558,0.929647906670243,False,False
2021Q1->2021Q4,-1563.0928571428408,8610.2642857143,10173.357142857138,0.8463542727151472,False,False
2021Q2->2022Q1,-937.9982142856944,10316.208928571445,11254.207142857136,0.9166535498788092,False,False
2021Q3->2022Q2,-2143.6946428571327,8893.337500000009,11037.032142857139,0.8057725469029761,False,False
2021Q4->2022Q3,-1546.676785714284,9069.69107142857,10616.367857142852,0.8543120578971221,False,False
2022Q1->2022Q4,-344.1535714285767,10425.796428571426,10769.95,0.9680450167894397,False,False
2022Q2->2023Q1,-289.7482142857033,10524.398214285718,10814.14642857142,0.9732065571518271,False,False
2022Q3->2023Q2,-653.2732142857263,10785.023214285715,11438.296428571437,0.9428871931790536,False,False
2022Q4->2023Q3,-584.7089285714454,10326.980357142857,10911.6892857143,0.9464144447975668,False,False
2023Q1->2023Q4,-493.21071428573623,11183.367857142846,11676.578571428578,0.9577606820980447,False,False
2023Q2->2024Q1,437.0482142856547,11540.58749999997,11103.539285714312,1.0393611625122054,True,False
2023Q3->2024Q2,1768.6910714285332,14573.601785714269,12804.910714285732,1.1381259979778935,True,False
2023Q4->2024Q3,2963.667857142834,17874.65357142856,14910.98571428572,1.198757339986145,True,False
2024Q1->2024Q4,1838.60357142854,18265.807142857142,16427.203571428596,1.1119243189161168,True,False
2024Q2->2025Q1,3107.848214285709,20935.38750000003,17827.539285714316,1.1743285017902676,True,False
2024Q3->2025Q2,4585.092857142864,25295.153571428586,20710.06071428572,1.221394467181841,True,True
2024Q4->2025Q3,7210.77321428574,28480.30535714289,21269.532142857148,1.3390188917111325,True,True
2025Q1->2025Q4,10986.846428571505,37375.83571428576,26388.989285714255,1.41634207015724,True,True
2025Q2->2026Q1,17366.941071428613,54526.29107142855,37159.34999999995,1.4673639628095925,True,True
2025Q3->2026Q2,14235.864285714313,55509.33928571429,41273.47499999999,1.3449155731547755,True,True
