quarter,year,trades,wins,losses,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,57,14,43,-420.8999999999991,696.850000000004,1117.7500000000034,0.6234399463207353,-7.3842105263157745
2018Q3,2018,47,11,36,-309.21071428570286,550.6428571428612,859.8535714285645,0.6403914287731814,-6.578951367780912
2018Q4,2018,87,27,60,-113.22857142857033,1458.8785714285707,1572.1071428571413,0.9279765555782735,-1.3014778325123026
2019Q1,2019,73,23,50,-168.0892857142896,967.1285714285714,1135.2178571428612,0.851932133857249,-2.3025929549902684
2019Q2,2019,94,33,61,290.3500000000002,2010.4142857142863,1720.0642857142864,1.1688018304963683,3.0888297872340447
2019Q3,2019,75,32,43,500.61428571429116,2758.385714285721,2257.771428571429,1.2217293918149403,6.674857142857215
2019Q4,2019,71,26,45,87.2607142857261,1550.0928571428599,1462.8321428571342,1.0596518983478804,1.2290241448693817
2020Q1,2020,83,31,52,-100.83214285715304,3165.8714285714173,3266.7035714285685,0.9691333662046795,-1.2148450946644944
2020Q2,2020,58,24,34,880.4214285714324,3263.828571428572,2383.4071428571388,1.3693961525667064,15.179679802955732
2020Q3,2020,90,34,56,406.8214285714133,4508.535714285714,4101.714285714301,1.0991832683198621,4.520238095237926
2020Q4,2020,73,26,47,165.8535714285759,2851.0857142857158,2685.2321428571386,1.0617650775072676,2.2719667318982997
2021Q1,2021,42,16,26,287.16428571427804,1823.085714285709,1535.921428571431,1.18696547907491,6.837244897959001
2021Q2,2021,62,20,42,-211.65714285713733,1993.685714285717,2205.342857142854,0.9040252892326454,-3.4138248847925374
2021Q3,2021,66,19,47,-205.88571428571754,1819.8071428571454,2025.6928571428632,0.89836281766027,-3.1194805194805686
2021Q4,2021,61,19,42,-132.82857142856324,1758.9500000000014,1891.7785714285646,0.9297864065939501,-2.177517564402676
2022Q1,2022,85,30,55,50.24642857142503,3602.5928571428517,3552.3464285714244,1.0141445744613466,0.5911344537814709
2022Q2,2022,46,14,32,-216.68928571427813,1712.7357142857181,1929.4249999999965,0.8876922991490839,-4.710636645962568
2022Q3,2022,55,14,41,-519.4857142857184,1492.2785714285715,2011.7642857142903,0.7417760530025157,-9.445194805194879
2022Q4,2022,66,24,42,758.6249999999964,2895.6214285714354,2136.996428571439,1.354995913824306,11.494318181818127
2023Q1,2023,89,27,62,-519.4571428571404,3198.94285714286,3718.3999999999987,0.8603008974674217,-5.836597110754386
2023Q2,2023,55,11,44,-1482.7321428571497,1112.1785714285759,2594.9107142857247,0.42859993806558166,-26.958766233766358
2023Q3,2023,64,19,45,-459.52142857143815,1183.099999999994,1642.6214285714325,0.7202511664717058,-7.180022321428721
2023Q4,2023,93,32,61,81.06428571428067,3365.414285714285,3284.350000000003,1.0246819875209043,0.871658986175061
2024Q1,2024,82,27,55,360.0714285714254,2962.178571428573,2602.107142857146,1.138376864903443,4.391114982578358
2024Q2,2024,75,26,49,334.9714285714346,4152.335714285717,3817.3642857142804,1.0877494007645536,4.466285714285795
2024Q3,2024,99,36,63,329.4499999999912,4856.978571428564,4527.52857142857,1.0727659681882564,3.3277777777776887
2024Q4,2024,82,29,53,460.71071428569013,3877.8357142857058,3417.125000000013,1.134824074122454,5.61842334494744
2025Q1,2025,113,42,71,1071.2178571428449,6330.750000000008,5259.5321428571615,1.203671700837049,9.479804045511901
2025Q2,2025,66,30,36,3249.29999999997,8198.035714285688,4948.735714285716,1.6565919433967924,49.23181818181773
2025Q3,2025,90,40,50,2953.0928571428494,7564.507142857139,4611.414285714291,1.6403876715851016,32.812142857142774
2025Q4,2025,104,44,60,3246.667857142903,13214.735714285744,9968.067857142847,1.32570683744056,31.217960164835606
2026Q1,2026,82,36,46,7802.11785714282,21015.12857142853,13213.010714285712,1.5904875146061361,95.14777874564415
2026Q2,2026,43,11,32,-1632.2607142857148,5659.107142857142,7291.367857142856,0.7761379282644889,-37.959551495016626
