window,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,-958.7785714285708,3255.4500000000107,4214.228571428582,0.7724901354594645,False,False
2018Q3->2019Q2,-190.2982142857009,4657.4339285714495,4847.73214285715,0.9607448991244093,False,False
2018Q4->2019Q3,865.7892857142845,7062.535714285725,6196.7464285714395,1.139716752281871,True,False
2019Q1->2019Q4,1112.2964285714418,7149.646428571442,6037.35,1.1842358698056998,True,False
2019Q2->2020Q1,1756.5517857142838,9600.89464285714,7844.342857142855,1.2239259320638713,True,True
2019Q3->2020Q2,2173.3999999999955,10788.621428571421,8615.221428571422,1.2522744212693315,True,True
2019Q4->2020Q3,1613.2821428571287,11716.06071428571,10102.778571428576,1.1596869743755067,True,False
2020Q1->2020Q4,1879.3571428571313,12852.31071428571,10972.953571428574,1.1712717665871306,True,False
2020Q2->2021Q1,1721.6303571428577,11236.798214285718,9515.167857142857,1.180935363725661,True,False
2020Q3->2021Q2,929.1964285714301,10017.339285714295,9088.142857142862,1.1022427181413776,True,False
2020Q4->2021Q3,627.6625000000108,8033.430357142869,7405.767857142858,1.0847531967120239,True,False
2021Q1->2021Q4,-417.1517857142788,7053.676785714293,7470.828571428572,0.9441625809338426,False,False
2021Q2->2022Q1,-749.4035714285626,8606.96071428572,9356.364285714279,0.9199044042595924,False,False
2021Q3->2022Q2,-1273.6428571428528,7886.88214285714,9160.52499999999,0.8609639887295922,False,False
2021Q4->2022Q3,-1698.3999999999905,7372.514285714284,9070.914285714272,0.8127641882059465,False,False
2022Q1->2022Q4,-202.2857142857199,8700.321428571431,8902.607142857149,0.9772779242035837,False,False
2022Q2->2023Q1,-780.9928571428511,8477.75000000001,9258.742857142857,0.9156480670007663,False,False
2022Q3->2023Q2,-1395.5250000000085,8504.853571428575,9900.378571428582,0.8590432689081869,False,False
2022Q4->2023Q3,-989.3535714285915,8375.192857142856,9364.546428571444,0.8943511488810555,False,False
2023Q1->2023Q4,-1230.73750000003,9245.133928571413,10475.871428571441,0.8825169334702441,False,False
2023Q2->2024Q1,229.4696428570835,9575.387499999972,9345.917857142886,1.024552927423999,True,False
2023Q3->2024Q2,2269.2767857142435,12974.337499999976,10705.060714285728,1.211981682895636,True,True
2023Q4->2024Q3,3167.7249999999667,16273.349999999979,13105.625000000005,1.2417072821784518,True,True
2024Q1->2024Q4,3726.7892857142565,16464.139285714264,12737.350000000002,1.2925874915672617,True,True
2024Q2->2025Q1,4032.2732142857185,18459.958928571432,14427.685714285704,1.279481636496499,True,True
2024Q3->2025Q2,6038.003571428573,21735.285714285717,15697.282142857135,1.3846528027258596,True,True
2024Q4->2025Q3,8402.692857142854,24398.960714285728,15996.26785714287,1.5252908323481702,True,True
2025Q1->2025Q4,9762.876785714294,32004.01250000004,22241.135714285752,1.4389558568919425,True,True
2025Q2->2026Q1,13789.919642857094,43319.00535714283,29529.085714285753,1.4669944669565476,True,True
2025Q3->2026Q2,10037.858928571373,41962.46607142856,31924.607142857196,1.3144238826073458,True,True
