quarter,year,trades,wins,losses,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,78,18,60,-849.8142857142827,870.021428571433,1719.8357142857158,0.5058747305598148,-10.895054945054907
2018Q3,2018,72,18,54,-510.1178571428436,859.0071428571466,1369.1249999999905,0.6274132331650891,-7.08497023809505
2018Q4,2018,107,34,73,-287.8892857142863,1663.3785714285737,1951.2678571428598,0.8524603966285657,-2.6905540720961336
2019Q1,2019,90,25,65,-401.5285714285693,1118.1071428571474,1519.6357142857166,0.7357731411193491,-4.461428571428548
2019Q2,2019,115,37,78,20.660714285715542,2056.685714285717,2036.0250000000015,1.0101475739667811,0.17965838509317864
2019Q3,2019,97,35,62,-189.15357142855152,2902.9857142857245,3092.139285714274,0.9388276031734917,-1.9500368188510466
2019Q4,2019,92,31,61,-194.27142857141848,1739.8214285714314,1934.0928571428506,0.8995542391597435,-2.1116459627328097
2020Q1,2020,101,39,62,209.93928571428978,4128.707142857137,3918.767857142845,1.0535727793448213,2.0786067892503937
2020Q2,2020,86,32,54,524.9392857142852,4134.464285714284,3609.524999999998,1.1454316802665965,6.103945182724247
2020Q3,2020,99,36,63,479.44285714283586,4901.849999999992,4422.407142857156,1.1084121931010371,4.842857142856928
2020Q4,2020,94,33,61,38.610714285727425,3501.06428571429,3462.4535714285607,1.011151258345913,0.4107522796353981
2021Q1,2021,60,16,44,-581.2178571428622,1996.9571428571398,2578.175000000001,0.774562294203124,-9.68696428571437
2021Q2,2021,87,28,59,-271.51071428569674,2713.7000000000066,2985.210714285702,0.9090480571484005,-3.120812807881572
2021Q3,2021,85,25,60,-565.2249999999999,2204.9857142857218,2770.2107142857208,0.7959631745393281,-6.64970588235294
2021Q4,2021,80,27,53,-45.83214285714439,2397.0214285714305,2442.8535714285736,0.9812382766641471,-0.5729017857143048
2022Q1,2022,91,35,56,555.7714285714234,4073.6499999999855,3517.8785714285614,1.1579848244579214,6.107378335949708
2022Q2,2022,61,17,44,-488.8964285714201,2170.985714285717,2659.8821428571364,0.8161962063303051,-8.01469555035115
2022Q3,2022,67,19,48,-451.4928571428565,2006.7285714285656,2458.221428571422,0.8163335280153187,-6.738699360341142
2022Q4,2022,76,28,48,581.8357142857072,3194.985714285718,2613.1500000000106,1.2226568372598992,7.655733082706674
2023Q1,2023,98,33,65,-101.21428571428058,3975.2142857142917,4076.4285714285716,0.9751708428246028,-1.0327988338191896
2023Q2,2023,69,16,53,-1391.8821428571537,1675.0785714285748,3066.960714285727,0.5461689038356947,-20.172204968944257
2023Q3,2023,76,21,55,-317.2678571428635,1603.5214285714258,1920.7892857142895,0.8348242259041546,-4.174577067669256
2023Q4,2023,98,38,60,437.1250000000002,3824.971428571432,3387.84642857143,1.1290273951952206,4.460459183673471
2024Q1,2024,102,36,66,487.61785714286026,3615.2785714285765,3127.6607142857147,1.1559049723378396,4.780567226890787
2024Q2,2024,97,30,67,-489.785714285686,4651.478571428594,5141.264285714278,0.9047343830102991,-5.049337260677175
2024Q3,2024,108,44,64,1584.8892857142891,5901.592857142864,4316.703571428575,1.3671526801618634,14.674900793650826
2024Q4,2024,111,32,79,-998.6785714286134,4439.19999999999,5437.878571428602,0.8163477616665047,-8.997104247104625
2025Q1,2025,127,50,77,1571.2999999999906,7295.264285714293,5723.964285714302,1.2745125443779575,12.372440944881816
2025Q2,2025,99,38,61,2510.732142857122,10336.364285714242,7825.632142857121,1.3208344191272525,25.360930735930527
2025Q3,2025,105,45,60,2860.0500000000047,8290.65000000001,5430.600000000005,1.5266545133134466,27.238571428571472
2025Q4,2025,111,44,67,3164.6250000000414,14247.078571428592,11082.453571428558,1.2855527415119237,28.510135135135506
2026Q1,2026,98,41,57,8015.821428571424,24836.649999999972,16820.828571428545,1.4765414137914055,81.79409620991248
2026Q2,2026,67,18,49,-809.7678571428833,9572.678571428556,10382.44642857144,0.9220060644941557,-12.086087420043034
