quarter,year,trades,wins,losses,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,55,9,46,-658.3321428571334,648.2892857142916,1306.621428571425,0.4961569369201981,-11.969675324675151
2018Q3,2018,44,8,36,-432.37678571428046,501.37321428571965,933.7500000000005,0.5369458787531132,-9.82674512987001
2018Q4,2018,56,15,41,-119.42500000000268,960.3749999999915,1079.7999999999945,0.889400814965731,-2.132589285714334
2019Q1,2019,60,14,46,-313.4196428571404,793.9589285714259,1107.3785714285668,0.7169715479930084,-5.223660714285673
2019Q2,2019,66,17,49,-16.783928571431986,1387.3589285714304,1404.142857142862,0.988046851154744,-0.2543019480519998
2019Q3,2019,59,20,39,77.62857142856437,2087.232142857143,2009.6035714285792,1.0386287985014773,1.3157384987892267
2019Q4,2019,60,20,40,26.225000000004375,1299.3000000000015,1273.074999999997,1.0205997290026154,0.43708333333340627
2020Q1,2020,54,16,38,-673.0821428571497,2186.5142857142805,2859.596428571429,0.7646233796727041,-12.464484126984255
2020Q2,2020,53,12,41,-678.4892857142811,2046.3321428571467,2724.8214285714275,0.7509967887803936,-12.80168463611851
2020Q3,2020,65,20,45,121.58928571427354,3315.399999999997,3193.8107142857216,1.0380702854963864,1.8706043956042084
2020Q4,2020,45,17,28,754.7250000000015,2511.153571428573,1756.428571428571,1.4296929646197651,16.7716666666667
2021Q1,2021,45,9,36,-699.5732142857166,1569.1553571428574,2268.728571428573,0.691645257570319,-15.54607142857148
2021Q2,2021,58,15,43,-394.5303571428488,1886.0625000000043,2280.592857142853,0.8270053526182135,-6.802247536945669
2021Q3,2021,61,16,45,-509.17142857141033,1743.1214285714386,2252.2928571428483,0.7739319613980749,-8.347072599531318
2021Q4,2021,51,18,33,459.6696428571469,2086.1517857142894,1626.4821428571424,1.2826158558677276,9.01313025210092
2022Q1,2022,59,21,38,489.8160714285713,2902.344642857137,2412.5285714285637,1.203030163965491,8.301967312348667
2022Q2,2022,50,8,42,-1177.9517857142855,1285.4982142857143,2463.4499999999994,0.5218284171733604,-23.55903571428571
2022Q3,2022,57,12,45,-501.7767857142779,1832.6625000000026,2334.43928571428,0.7850546858147368,-8.803101503759262
2022Q4,2022,56,20,36,1072.5785714285585,3017.0178571428546,1944.4392857142957,1.5516133001985424,19.15318877550997
2023Q1,2023,60,20,40,864.4500000000066,3198.8928571428614,2334.442857142854,1.370302488816546,14.40750000000011
2023Q2,2023,60,16,44,-337.8803571428529,2221.6839285714277,2559.56428571428,0.8679930177848367,-5.6313392857142155
2023Q3,2023,55,16,39,95.74642857143003,1519.6035714285713,1423.8571428571415,1.067244406541588,1.7408441558441823
2023Q4,2023,65,22,43,668.8589285714255,2989.019642857141,2320.1607142857138,1.288281292090295,10.290137362637315
2024Q1,2024,63,26,37,1858.0392857142724,3810.3357142857067,1952.296428571434,1.9517198610427553,29.49268707482972
2024Q2,2024,66,17,49,-717.6321428571246,3328.782142857154,4046.414285714279,0.8226498593110697,-10.873214285714008
2024Q3,2024,61,17,44,112.66250000001507,3333.9839285714434,3221.3214285714275,1.0349740013525999,1.8469262295084439
2024Q4,2024,57,14,43,-724.558928571407,2508.405357142866,3232.9642857142717,0.7758840294731786,-12.711560150375561
2025Q1,2025,62,20,42,787.5625000000009,4119.266071428589,3331.7035714285876,1.2363843250503543,12.70262096774195
2025Q2,2025,37,10,27,-254.23749999999308,3684.6339285714184,3938.871428571411,0.9354542272804772,-6.871283783783596
2025Q3,2025,54,18,36,1050.9642857142874,4305.417857142864,3254.453571428575,1.3229311042999325,19.462301587301617
2025Q4,2025,44,16,28,1478.2803571428612,6912.34464285715,5434.0642857142875,1.2720395415691237,33.59728084415594
2026Q1,2026,46,16,30,394.2714285714125,10669.657142857139,10275.385714285729,1.038370474796217,8.57111801242201
2026Q2,2026,36,10,26,157.47857142858686,6177.285714285743,6019.807142857155,1.0261600692001314,4.374404761905191
