quarter,year,trades,wins,losses,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,35,6,29,-449.10714285713954,551.8357142857151,1000.9428571428548,0.5513159021494041,-12.83163265306113
2018Q3,2018,34,6,28,-355.54285714285356,421.4428571428546,776.9857142857084,0.5424074720991385,-10.457142857142752
2018Q4,2018,53,17,36,42.36428571428664,1330.6357142857091,1288.2714285714228,1.0328845961920188,0.7993261455525781
2019Q1,2019,42,10,32,-284.7285714285767,719.4999999999962,1004.2285714285731,0.71647035393194,-6.779251700680398
2019Q2,2019,44,16,28,519.4142857142847,1578.0857142857135,1058.6714285714286,1.4906284156692342,11.804870129870107
2019Q3,2019,44,12,32,-276.5499999999981,1481.1357142857096,1757.685714285708,0.8426624294933276,-6.285227272727229
2019Q4,2019,43,13,30,-320.86428571428553,915.0499999999926,1235.9142857142788,0.74038305938923,-7.461960132890361
2020Q1,2020,46,17,29,191.79285714286414,2343.978571428573,2152.185714285709,1.0891153843600894,4.169409937888351
2020Q2,2020,43,12,31,-374.13571428571004,2348.5357142857147,2722.6714285714233,0.8625850661377762,-8.700830564783955
2020Q3,2020,52,19,33,343.92857142857,3144.3142857142857,2800.3857142857146,1.1228147142995606,6.614010989010962
2020Q4,2020,41,12,29,235.6714285714237,2288.9857142857154,2053.3142857142916,1.1147761110956476,5.748083623693261
2021Q1,2021,31,7,24,-994.5214285714287,1000.5928571428581,1995.1142857142868,0.5015215741310919,-32.08133640552996
2021Q2,2021,52,12,40,-580.2571428571389,1828.9000000000024,2409.1571428571415,0.7591451663593091,-11.158791208791133
2021Q3,2021,41,6,35,-709.5214285714258,1007.2214285714274,1716.7428571428534,0.5867048896581573,-17.305400696864044
2021Q4,2021,44,9,35,-881.5071428571387,1321.878571428573,2203.385714285711,0.5999306262440287,-20.034253246753153
2022Q1,2022,51,15,36,8.049999999995379,2797.878571428571,2789.828571428574,1.0028854819548554,0.15784313725481133
2022Q2,2022,31,6,25,-561.5428571428577,1111.05714285714,1672.5999999999979,0.6642694863429041,-18.11428571428573
2022Q3,2022,33,11,22,144.664285714286,1609.6928571428632,1465.0285714285776,1.0987450269131753,4.383766233766242
2022Q4,2022,44,14,30,461.14999999999037,2499.378571428563,2038.228571428573,1.2262503854887947,10.4806818181816
2023Q1,2023,45,14,31,471.94285714286326,2925.414285714288,2453.4714285714235,1.192357184863433,10.487619047619184
2023Q2,2023,45,7,38,-1315.8928571428617,1072.1357142857073,2388.0285714285674,0.4489626829064,-29.242063492063593
2023Q3,2023,33,11,22,234.16428571428418,1377.1214285714289,1142.957142857145,1.2048758233654535,7.095887445887399
2023Q4,2023,48,22,26,1629.5642857142993,3369.3500000000186,1739.7857142857183,1.9366465492466294,33.949255952381236
2024Q1,2024,42,14,28,1252.2142857142835,2863.985714285728,1611.7714285714442,1.7769180316244684,29.814625850340082
2024Q2,2024,51,14,37,-269.3428571428675,3659.9142857142774,3929.2571428571428,0.9314519647479692,-5.281232492997402
2024Q3,2024,54,16,38,-226.0428571428363,3536.4285714285816,3762.4714285714163,0.9399217079958899,-4.18597883597845
2024Q4,2024,42,13,29,-174.60714285713883,2721.292857142852,2895.8999999999896,0.9397053962992029,-4.157312925169972
2025Q1,2025,64,24,40,2411.992857142873,6271.892857142865,3859.8999999999915,1.624884804565631,37.68738839285739
2025Q2,2025,35,11,24,1000.4428571428639,5475.757142857146,4475.314285714281,1.2235469496156715,28.584081632653255
2025Q3,2025,51,20,31,2638.000000000013,6303.900000000001,3665.899999999986,1.7196050083199281,51.72549019607869
2025Q4,2025,46,18,28,1631.4785714286081,8951.1785714286,7319.699999999992,1.2228887210443884,35.46692546583931
2026Q1,2026,38,16,22,1949.99999999997,12450.985714285687,10500.985714285722,1.1856968529484953,51.315789473683424
2026Q2,2026,24,7,17,600.8071428571318,5504.778571428558,4903.971428571425,1.1225144052342397,25.03363095238049
