score_bin,n_events,mean_ret_5m_bps,median_ret_5m_bps,win_prop_5m,mean_mfe_5m_bps,mean_mae_5m_bps
3-4,7730,0.21744617273894876,0.3289484543647704,0.5227684346701165,5.76728943879688,5.644842555424829
5-6,2921,0.16725605516546843,0.3473454126832499,0.516261554262239,7.0589804848310385,7.517470947187586
7-8,254,0.9527056099956562,1.994168817749566,0.5748031496062992,8.881514305541828,8.259753050182084
9-10,24,-0.18069751236244116,-1.30038133842644,0.375,8.04663750034217,8.904505267875969
