quarter,year,trades,wins,losses,win_rate_pct,net_pnl_usd,gross_profit_usd,gross_loss_usd,profit_factor,max_drawdown_pct,expectancy_usd,expectancy_r,payoff_ratio,tail_loss_usd,verdict
2018Q2,2018,110,34,76,30.909090909090907,-114.18928571426882,1681.3785714285732,1795.567857142842,0.9364049176643371,367.31785714284376,-1.038084415584262,-0.10000585994051427,2.093140404190871,49.39642857142708,FAIL
2018Q3,2018,124,39,85,31.451612903225808,-270.3464285714282,1821.6642857142845,2092.0107142857128,0.8707719675022151,639.9928571428575,-2.18021313364055,-0.08543882252291088,1.8978363394279045,37.82499999999864,FAIL
2018Q4,2018,122,33,89,27.049180327868854,-524.0857142857118,1593.9214285714268,2118.0071428571378,0.7525571544679813,658.0678571428558,-4.295784543325507,-0.2132940111705823,2.029623840837889,59.57500000000046,FAIL
2019Q1,2019,134,38,96,28.35820895522388,-599.8464285714351,1631.4571428571394,2231.3035714285747,0.7311677190623648,996.5464285714447,-4.476465884861456,-0.17755131071831473,1.8471605534207112,46.021428571428444,FAIL
2019Q2,2019,144,35,109,24.305555555555554,-1165.5535714285847,1791.5928571428483,2957.1464285714314,0.6058519252996035,1393.8214285714425,-8.094122023809616,-0.30285446799986,1.886795995933051,88.96428571428551,FAIL
2019Q3,2019,123,41,82,33.33333333333333,196.87499999999233,3865.6642857142824,3668.7892857142892,1.0536621170277058,555.1321428571405,1.6006097560974986,-0.01657915913437604,2.1073242340554117,91.68571428571404,INCONCLUSIVE
2019Q4,2019,107,32,75,29.906542056074763,-216.77857142857385,1913.071428571427,2129.8500000000004,0.8982188551172274,719.4500000000012,-2.025967957276391,-0.1268563695129521,2.105200441681002,64.65357142857165,FAIL
2020Q1,2020,117,36,81,30.76923076923077,-938.9142857142831,4623.857142857141,5562.771428571424,0.8312146566202874,1840.224999999999,-8.024908424908402,-0.10743756821300068,1.8702329773956465,216.0571428571422,FAIL
2020Q2,2020,88,29,59,32.95454545454545,-186.71071428570627,3628.3214285714357,3815.03214285714,0.9510592028339049,1126.0107142857098,-2.1217126623375715,-0.023473326135838298,1.9349135505931172,109.76071428571295,FAIL
2020Q3,2020,112,25,87,22.321428571428573,-2632.2392857142913,4035.3357142857167,6667.575000000008,0.605217896204499,3106.764285714283,-23.502136479591886,-0.34584384916661426,2.106158278791656,196.28928571428622,FAIL
2020Q4,2020,109,36,73,33.02752293577982,-543.5964285714331,3885.392857142866,4428.989285714297,0.8772640000903139,1355.0857142857162,-4.987123197903056,-0.05163699584010532,1.7788964446275808,170.2749999999998,FAIL
2021Q1,2021,105,28,77,26.666666666666668,-1240.2107142857137,3780.2642857142755,5020.474999999989,0.752969447256342,1512.1464285714308,-11.811530612244892,-0.20930046489845738,2.0706659799549403,167.0821428571441,FAIL
2021Q2,2021,109,40,69,36.69724770642202,279.82142857141633,3696.2642857142823,3416.442857142865,1.081904319864852,1153.0250000000033,2.567169069462535,0.08223718763350338,1.8662849517668694,122.42500000000128,INCONCLUSIVE
2021Q3,2021,120,38,82,31.666666666666664,-155.49642857142885,3157.578571428571,3313.074999999998,0.9530658290043459,544.7178571428537,-1.2958035714285738,-0.07361514627736998,2.0566157362725357,85.04285714285807,FAIL
2021Q4,2021,96,30,66,31.25,11.753571428571917,2789.935714285707,2778.182142857134,1.0042306698496326,823.264285714285,0.1224330357142908,-0.07780848797151003,2.209307473669192,101.36071428571377,INCONCLUSIVE
