quarter,year,trades,wins,losses,win_rate_pct,net_pnl_usd,gross_profit_usd,gross_loss_usd,profit_factor,max_drawdown_pct,expectancy_usd,expectancy_r,payoff_ratio,tail_loss_usd,verdict
2018Q2,2018,113,40,73,35.39823008849557,219.3785714285795,2093.8785714285764,1874.4999999999966,1.1170331135922007,272.1642857142855,1.9414032869785798,0.03144515872272838,2.038585432305766,49.39642857142708,INCONCLUSIVE
2018Q3,2018,126,41,85,32.53968253968254,-155.76785714285558,2001.235714285716,2157.003571428571,0.9277850722149288,564.8571428571491,-1.2362528344671078,-0.05677446942267952,1.92345685703095,42.45357142857138,FAIL
2018Q4,2018,123,45,78,36.58536585365854,324.67857142857287,2306.4000000000046,1981.7214285714313,1.1638366355369256,321.78928571428116,2.639663182346121,0.07321516295784736,2.0173168349306714,59.57500000000046,INCONCLUSIVE
2019Q1,2019,124,35,89,28.225806451612907,-557.9928571428643,1495.8142857142846,2053.8071428571484,0.7283129240817551,620.9000000000134,-4.499942396313422,-0.1811706399733918,1.8519957212364626,50.35000000000146,FAIL
2019Q2,2019,115,39,76,33.91304347826087,-28.13571428571605,1904.7142857142783,1932.8499999999945,0.9854434051862709,361.29285714285805,-0.24465838509318302,-0.05106900369927396,1.9203512511322203,58.38571428571477,FAIL
2019Q3,2019,101,31,70,30.693069306930692,-283.5999999999949,3003.814285714288,3287.4142857142806,0.9137315910463738,864.9607142857133,-2.8079207920791576,-0.1050426004173305,2.0632648830079408,91.68571428571404,FAIL
2019Q4,2019,98,30,68,30.612244897959183,-545.94285714286,1845.621428571429,2391.5642857142884,0.7717214375528264,619.3214285714309,-5.570845481049592,-0.10427252823936875,1.749235258453073,69.73214285714285,FAIL
2020Q1,2020,123,36,87,29.268292682926827,-191.0714285714182,5451.728571428575,5642.799999999994,0.9661388976090914,1659.474999999997,-1.5534262485481156,-0.1269404891102453,2.334835669221971,224.9071428571421,FAIL
2020Q2,2020,113,33,80,29.20353982300885,-729.9392857142716,4592.228571428579,5322.167857142851,0.8628492551705929,1072.7642857142764,-6.459639696586474,-0.13342171374547623,2.091755770110528,119.7464285714279,FAIL
2020Q3,2020,113,33,80,29.20353982300885,-1914.928571428583,4607.764285714279,6522.6928571428625,0.7064205515469603,2750.5607142857207,-16.94627054361578,-0.13964184999971518,1.7125346704168734,202.1607142857153,FAIL
2020Q4,2020,119,37,82,31.092436974789916,-502.73571428570943,4107.721428571438,4610.457142857147,0.890957512735026,1172.4357142857136,-4.224669867947138,-0.10662404854818339,1.9745544876830305,93.11071428571331,FAIL
2021Q1,2021,109,33,76,30.275229357798167,-780.8392857142726,4277.721428571426,5058.560714285699,0.8456400288902074,1484.789285714286,-7.163663171690574,-0.10236817301805663,1.9475346119895682,152.38214285714383,FAIL
2021Q2,2021,123,36,87,29.268292682926827,-810.2464285714235,3623.1642857142956,4433.410714285717,0.817240837633072,1118.3571428571406,-6.5873693379790526,-0.1349188531267801,1.9749986909465904,121.79285714285761,FAIL
2021Q3,2021,124,39,85,31.451612903225808,-364.0285714285906,3632.7357142857018,3996.7642857142896,0.9089191792646512,887.6642857143011,-2.9357142857144405,-0.07489777323013866,1.9809776983973164,89.42499999999946,FAIL
2021Q4,2021,119,44,75,36.97478991596639,1224.3250000000005,4543.235714285719,3318.910714285718,1.3688936236609472,534.4857142857177,10.288445378151264,0.09266715025067303,2.3333414039675238,99.54999999999991,PASS
2022Q1,2022,130,42,88,32.30769230769231,-66.28214285714066,5283.128571428569,5349.410714285708,0.9876094496389796,800.8214285714275,-0.5098626373626204,-0.04465228267695616,2.069276942100719,175.96428571428595,FAIL
2022Q2,2022,134,35,99,26.119402985074625,-1632.5571428571525,3988.3714285714236,5620.928571428576,0.7095573939232191,2436.5642857143,-12.183262260128004,-0.23440660134196084,2.00703377138282,97.90000000000028,FAIL
2022Q3,2022,138,42,96,30.434782608695656,-529.0464285714384,4305.978571428564,4835.025000000002,0.8905804150813205,1009.028571428578,-3.8336697722568,-0.11270029972444705,2.0356123773287322,112.40714285714212,FAIL
2022Q4,2022,128,43,85,33.59375,-446.6749999999951,4225.828571428576,4672.503571428572,0.9044034973603177,907.1035714285704,-3.489648437499962,-0.007612832554242943,1.7877743552471395,105.80714285714357,FAIL
2023Q1,2023,125,36,89,28.799999999999997,-1593.589285714288,3887.1928571428593,5480.782142857147,0.7092405346212968,2278.3107142857175,-12.748714285714305,-0.14926822201223106,1.7534002105915392,119.73571428571468,FAIL
2023Q2,2023,106,34,72,32.075471698113205,-555.3464285714142,3582.17857142858,4137.524999999994,0.8657781092388772,1248.7464285714263,-5.239117250673719,-0.05239036390609617,1.8334124666235048,108.93571428571313,FAIL
2023Q3,2023,128,36,92,28.125,-573.864285714275,2862.7285714285795,3436.592857142853,0.8330135952760555,616.8714285714176,-4.483314732142773,-0.1721123791236373,2.1288125212610303,71.1464285714289,FAIL
2023Q4,2023,114,39,75,34.21052631578947,643.2857142856965,4224.235714285703,3580.950000000004,1.1796410768890093,513.3607142857192,5.642857142856987,0.011308202300837008,2.268540532478864,92.30714285714221,INCONCLUSIVE
2024Q1,2024,113,36,77,31.858407079646017,128.74642857142697,3824.7428571428495,3695.9964285714204,1.0348340240743124,826.0678571428448,1.1393489254108582,-0.05892348274157028,2.2133949959367234,89.25357142856974,INCONCLUSIVE
2024Q2,2024,120,37,83,30.833333333333336,-591.71785714287,5787.714285714285,6379.432142857155,0.9072459987202157,1428.1571428571544,-4.93098214285725,-0.07756478398962692,2.0351734565885917,220.1392857142884,FAIL
2024Q3,2024,126,32,94,25.396825396825395,-2123.528571428531,4761.871428571451,6885.399999999983,0.6915896576192324,2432.292857142823,-16.853401360543895,-0.24640727187420172,2.031544619256495,127.20357142857047,FAIL
2024Q4,2024,132,38,94,28.78787878787879,-1234.6285714285725,5748.485714285707,6983.114285714279,0.8231980000736469,2206.182142857142,-9.353246753246761,-0.14496145390353726,2.0363318949190212,176.42499999999762,FAIL
2025Q1,2025,145,43,102,29.655172413793103,-455.39285714284546,7228.035714285718,7683.428571428563,0.940730514651199,1298.3249999999905,-3.140640394088589,-0.11823810256126249,2.2315002905679604,139.8357142857123,FAIL
2025Q2,2025,135,42,93,31.11111111111111,-1167.1285714285493,12208.885714285725,13376.01428571428,0.9127446676940932,2875.6464285714046,-8.645396825396661,-0.07170300354594752,2.021077478465492,317.15714285714347,FAIL
2025Q3,2025,142,36,106,25.352112676056336,-3865.4285714285816,6469.778571428575,10335.20714285716,0.6259940881688036,4328.135714285715,-27.22132796780691,-0.2458479955577922,1.8432048151637,176.91785714285578,FAIL
2025Q4,2025,120,36,84,30.0,-2665.950000000066,12917.421428571397,15583.37142857147,0.8289234128686579,4558.753571428605,-22.216250000000553,-0.10404998948921056,1.9341546300268688,471.0571428571422,FAIL
2026Q1,2026,108,31,77,28.703703703703702,-5386.542857142789,21453.414285714276,26839.957142857063,0.7993088130330226,7490.821428571364,-49.875396825396194,-0.1530225174084493,1.9853799549529916,1724.3499999999979,FAIL
2026Q2,2026,138,37,101,26.811594202898554,-4821.160714285732,18158.942857142865,22980.103571428597,0.790202829186552,8862.939285714314,-34.935947204969075,-0.19820539846007376,2.1570401553470746,410.050000000004,FAIL
