quarter,year,trades,wins,losses,win_rate_pct,net_pnl_usd,gross_profit_usd,gross_loss_usd,profit_factor,max_drawdown_pct,expectancy_usd,expectancy_r,payoff_ratio,tail_loss_usd,verdict
2018Q2,2018,113,39,74,34.51327433628318,-298.7589285714118,1427.598214285715,1726.3571428571267,0.8269425710621124,412.4642857142695,-2.6438843236408123,-0.16258983710676878,1.5690705194511876,49.39642857142708,FAIL
2018Q3,2018,130,49,81,37.69230769230769,-311.1892857142934,1684.1857142857027,1995.3749999999957,0.8440447105359676,643.1267857142878,-2.3937637362637956,-0.08695089308317384,1.395257582722722,37.82499999999864,FAIL
2018Q4,2018,124,40,84,32.25806451612903,-570.8125000000038,1427.3803571428512,1998.1928571428543,0.7143356318387666,613.5482142857147,-4.603326612903256,-0.21835828096389537,1.50010482686141,59.57500000000046,FAIL
2019Q1,2019,135,40,95,29.629629629629626,-944.4535714285756,1267.3571428571422,2211.810714285716,0.5729952995848578,1155.5982142857245,-6.995952380952412,-0.2842213315763421,1.3608638365140373,46.021428571428444,FAIL
2019Q2,2019,150,43,107,28.666666666666668,-1291.5053571428648,1607.1874999999998,2898.6928571428634,0.554452499525647,1464.9910714285834,-8.610035714285765,-0.31168188310544004,1.3796841267266098,88.96428571428551,FAIL
2019Q3,2019,130,50,80,38.46153846153847,-61.648214285713664,3541.423214285719,3603.071428571432,0.9828900937692052,653.4589285714289,-0.47421703296702816,-0.05456102053644812,1.572624150030728,91.68571428571404,FAIL
2019Q4,2019,114,45,69,39.473684210526315,83.1535714285659,2026.3821428571357,1943.2285714285701,1.0427914516342434,387.4678571428593,0.7294172932330342,-0.03920091765280625,1.5989468925058399,64.65357142857165,INCONCLUSIVE
2020Q1,2020,123,46,77,37.39837398373984,-955.5374999999922,4354.1375,5309.674999999991,0.8200384204306304,1778.4589285714183,-7.768597560975546,-0.0908223267619101,1.372673008112142,216.0571428571422,FAIL
2020Q2,2020,90,39,51,43.333333333333336,148.66071428571286,3521.528571428573,3372.8678571428577,1.0440754635468124,962.3607142857122,1.6517857142856984,0.06974294822836806,1.365329452330447,109.76071428571295,INCONCLUSIVE
2020Q3,2020,119,34,85,28.57142857142857,-2466.075,3986.3392857142953,6452.414285714297,0.6178058489734743,2767.428571428567,-20.72331932773109,-0.2972271599517689,1.544514622433686,196.28928571428622,FAIL
