Trigger Architecture,Events,Horizon,Mean Trade Return (%),Win Rate (%),Mean MFE (%),Mean MAE (%),MFE/MAE Ratio
1. Unconditional Baseline (Random Bars),16239,6h,0.026691468076810564,50.895991132458896,0.4189285901921662,0.4089243930225115,1.024464662270964
1. Unconditional Baseline (Random Bars),16239,12h,0.04627567407776036,51.474844510129934,0.613357419660093,0.5873227491322022,1.0443277066423162
1. Unconditional Baseline (Random Bars),16239,24h,0.08741014884932335,52.30617648870004,0.9050559444483635,0.8395139829761111,1.0780713160249022
1. Unconditional Baseline (Random Bars),16239,48h,0.17474540203254485,52.49707494303837,1.33281844318152,1.1724135425496123,1.1368159738952521
1. Unconditional Baseline (Random Bars),16239,72h,0.2612513241132967,52.817291705154254,1.6762400431715319,1.415624143970796,1.1840996427693822
2. Pure BB Upper Break (No Squeeze),2185,6h,0.03944616225948621,50.48054919908467,0.4827710670269541,0.4320469011034791,1.1174043044723196
2. Pure BB Upper Break (No Squeeze),2185,12h,0.07325373665309957,51.62471395881006,0.6628138312570533,0.5678180794542946,1.1672996250736767
2. Pure BB Upper Break (No Squeeze),2185,24h,0.1072859633485857,52.082379862700236,0.9717056972731168,0.8223539767900921,1.1816148820316912
2. Pure BB Upper Break (No Squeeze),2185,48h,0.16360980797861677,52.21967963386728,1.3923855842016206,1.1661037664928384,1.1940494698763773
2. Pure BB Upper Break (No Squeeze),2185,72h,0.2556469269282302,52.40274599542334,1.7181478619987152,1.4073639670186509,1.2208269518498662
3. Squeeze + Upper Break (Squeeze Expansion Long),118,6h,0.04530192873175404,55.932203389830505,0.49665351165819754,0.3850482903078066,1.2898473364501217
3. Squeeze + Upper Break (Squeeze Expansion Long),118,12h,0.12822612522445354,56.779661016949156,0.7193896513616286,0.595628119645792,1.207783225193322
3. Squeeze + Upper Break (Squeeze Expansion Long),118,24h,0.1449952130893415,47.45762711864407,1.0920967196565152,0.8209711744361398,1.3302497744900608
3. Squeeze + Upper Break (Squeeze Expansion Long),118,48h,0.08975404846266066,47.45762711864407,1.3851558287308052,1.167128904661022,1.1868062072656032
3. Squeeze + Upper Break (Squeeze Expansion Long),118,72h,0.17316816247467012,44.91525423728814,1.6811081986907006,1.463464521096118,1.1487181099761612
4. Squeeze + Upper Break + Macro Trend Bullish,70,6h,0.13443840410593996,62.857142857142854,0.5054422616451887,0.33489087203181983,1.5092745244999208
4. Squeeze + Upper Break + Macro Trend Bullish,70,12h,0.22591020438677475,60.0,0.7617314538512792,0.5352657330894477,1.4230902648198984
4. Squeeze + Upper Break + Macro Trend Bullish,70,24h,0.18048764955456228,54.285714285714285,1.0983532341009812,0.7451147284459262,1.474072638977086
4. Squeeze + Upper Break + Macro Trend Bullish,70,48h,0.043818024390345545,50.0,1.3980470710519188,1.1010468618835079,1.2697434772761143
4. Squeeze + Upper Break + Macro Trend Bullish,70,72h,0.018583875710978276,48.57142857142857,1.6321889540221701,1.4763377142465546,1.1055661169335864
5. Squeeze + Upper Break + Macro Trend + ER >= 0.20,68,6h,0.12227718874795872,60.29411764705882,0.5008764892117897,0.3410804661824416,1.4684994858189104
5. Squeeze + Upper Break + Macro Trend + ER >= 0.20,68,12h,0.21637890428060302,60.29411764705882,0.7593960770376905,0.5509624004400335,1.3783083499548947
5. Squeeze + Upper Break + Macro Trend + ER >= 0.20,68,24h,0.17570431661564703,54.41176470588235,1.1023527966403288,0.7571248366966478,1.4559723089390624
5. Squeeze + Upper Break + Macro Trend + ER >= 0.20,68,48h,0.03971805578758934,50.0,1.4066138220333155,1.117780018684363,1.258399504840776
