cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio
H226-C1,FULL,913,0.1346561839946092,0.1264392901004945,52.354874041621024,-2.5878227422232585,2.8170727807990277,-4.963071901267819,77.65607886089813,0.09614243823124576,1.4005904829533093
H226-C1,PRE_2025,720,0.08319469879811095,0.1150007920259121,52.083333333333336,-2.4062808242855187,2.4920671964514534,-4.452527700190613,79.30555555555556,0.10906705017992899,0.7627848984717551
H226-C1,RECENT,193,0.3266368541577116,0.2518980678508046,53.36787564766839,-3.2199697731194212,4.185795772434665,-5.996132211475709,71.50259067357513,0.03298723555659782,9.901916563977746
H226-C1,UP_GAP,521,0.0033827842000132818,0.0597229545133752,51.24760076775432,-2.7892619279070443,2.7380410030331355,-5.542875914336522,74.08829174664108,0.09810837390535422,0.03448007611742373
H226-C1,DOWN_GAP,392,0.3091292485175288,0.20268251851577324,53.826530612244895,-2.308139379608607,2.910172409054406,-3.97731668817699,82.39795918367348,0.09489484862728642,3.2575977831176037
H226-C1,LEAVE_2025_2026_OUT,720,0.08319469879811095,0.1150007920259121,52.083333333333336,-2.4062808242855187,2.4920671964514534,-4.452527700190613,79.30555555555556,0.10906705017992899,0.7627848984717551
H226-C2,FULL,696,0.1550845207867934,0.14868655571523054,53.01724137931034,-2.740650625208149,2.825343298065331,-4.854963404625949,75.43103448275862,0.09900370913882917,1.5664516222248224
H226-C2,PRE_2025,557,0.10307112713680316,0.1038974171857338,52.06463195691203,-2.49564371888567,2.63733610648497,-4.305135020333567,76.66068222621185,0.11243120935537214,0.916748363090326
H226-C2,RECENT,139,0.36351229246337313,0.5288551803438816,56.83453237410072,-3.7127821761816384,4.238679871128025,-5.86473154321589,70.50359712230215,0.03289835802969857,11.0495573102833
H226-C2,UP_GAP,396,0.0665511348492118,0.1311335919386295,52.27272727272727,-2.840639046850579,2.825343298065331,-5.353928643939384,71.96969696969697,0.10066646796499412,0.6611052934960862
H226-C2,DOWN_GAP,300,0.2719485902244012,0.19858577673569805,54.0,-2.2261331637384347,2.82582753659037,-4.007742593695742,80.0,0.09713556717108286,2.799680880489675
H226-C2,LEAVE_2025_2026_OUT,557,0.10307112713680316,0.1038974171857338,52.06463195691203,-2.49564371888567,2.63733610648497,-4.305135020333567,76.66068222621185,0.11243120935537214,0.916748363090326
H226-C3,FULL,851,0.10952153257071973,0.1178967377911624,51.703877790834305,-2.696190269047926,2.796597193012863,-5.046452386966884,76.49823736780259,0.09614243823124576,1.139159091298413
H226-C3,PRE_2025,667,0.05984285850754419,0.1121048462606618,51.57421289355323,-2.442630178126384,2.456462444773623,-4.484803970263014,78.26086956521739,0.11051031831695157,0.5415137646777068
H226-C3,RECENT,184,0.28960672604973114,0.15030768140863346,52.17391304347826,-3.320035254146897,4.303085575183584,-5.996132211475709,70.1086956521739,0.033160089179690794,8.733593099837123
H226-C3,UP_GAP,502,-0.015252207329778188,0.046364277649804844,50.79681274900398,-2.8000153630014566,2.7373500536032296,-5.608766283375112,73.30677290836654,0.09818470423410094,-0.15534198986241768
H226-C3,DOWN_GAP,349,0.288995508014989,0.1944704388239504,53.00859598853869,-2.4303771590304333,2.8666953837197258,-3.9951553506337802,81.08882521489971,0.09475862276702923,3.049806968232378
H226-C3,LEAVE_2025_2026_OUT,667,0.05984285850754419,0.1121048462606618,51.57421289355323,-2.442630178126384,2.456462444773623,-4.484803970263014,78.26086956521739,0.11051031831695157,0.5415137646777068
H226-C4,FULL,639,0.12926615557411555,0.1264392901004945,52.112676056338024,-2.8208432276805637,2.8250414411389806,-4.950618147711992,73.86541471048514,0.09916318844939166,1.3035699799032487
H226-C4,PRE_2025,508,0.08600794321348196,0.09818169176898814,51.37795275590551,-2.5473150085893135,2.6042194327697805,-4.3360045519777035,75.19685039370079,0.1154214670327315,0.7451641832718312
H226-C4,RECENT,131,0.297015559232145,0.35537974774447,54.961832061068705,-4.074583947234469,4.341728997616916,-5.86473154321589,68.70229007633588,0.03296659666956962,9.009591199515912
H226-C4,UP_GAP,378,0.039865914335508595,0.08181018584955449,51.587301587301596,-2.8481982278783424,2.8251420601144304,-5.4212625753449055,70.8994708994709,0.10098084292049478,0.3947869039565872
H226-C4,DOWN_GAP,261,0.2587423670231325,0.1819114672623299,52.87356321839081,-2.43459749596874,2.8230697811746834,-3.972668221832786,78.16091954022988,0.09643191165055776,2.6831612336043116
H226-C4,LEAVE_2025_2026_OUT,508,0.08600794321348196,0.09818169176898814,51.37795275590551,-2.5473150085893135,2.6042194327697805,-4.3360045519777035,75.19685039370079,0.1154214670327315,0.7451641832718312
