config_id,family,v38_pf,v38_expectancy_usd,v38_rolling8_positive_pct,v38_profitable_full_year_pct,negative_quarter_count,negative_quarter_loss_pool_abs_usd,worst1_negative_q_loss_share_pct,worst3_negative_q_loss_share_pct,worst5_negative_q_loss_share_pct,negative_complete_year_count,negative_complete_year_loss_pool_abs_usd,worst1_negative_year_loss_share_pct,worst3_negative_year_loss_share_pct,losing_trade_count,median_losing_trade_abs_usd,mean_losing_trade_abs_usd,p95_losing_trade_abs_usd,p99_losing_trade_abs_usd,loss_cvar95_abs_usd,worst1pct_losing_trade_loss_share_pct,worst5pct_losing_trade_loss_share_pct,largest_single_trade_loss_abs_usd,largest_loss_to_median_loss_ratio,v38_final_status_frozen
H221-C1,H221_WRR,0.8504023896417371,-6.390775004929697,0.0,0.0,29,51682.33658873098,28.700561989047085,47.3533453962016,57.34724649040477,7,32814.117517591294,27.66783975741548,64.7146408600538,4622,42.44974899060999,60.9278887308369,175.43953420053694,316.552466779035,280.98668136515414,8.48138324033568,23.148755588858837,1183.2399816831214,27.873898193010696,REJECTED
H221-C2,H221_WRR,0.8779383933416708,-5.110233154588123,0.0,14.285714285714285,28,37388.578470572145,19.819310372869765,41.76323052330636,51.12113777322323,6,26253.189325809755,32.15796401909125,64.68679827245397,4025,41.84313712321064,59.99582092241177,172.50284473215746,316.9995026506384,276.32182631623067,8.218684236710462,23.114243028377928,1183.2399816831214,28.277994028004443,REJECTED
H221-C3,H221_WRR,0.8619245333963199,-5.628841706680779,0.0,0.0,29,33780.89266350611,13.220358122289072,34.70125435625316,48.595713179468056,7,24803.947858731743,35.59498450708129,64.5457427621334,3805,41.09301810970528,57.89795113506629,168.36990317759947,294.1120125093548,258.9672465346699,7.744765812518789,22.45227484606574,935.6536181743952,22.76916277301652,REJECTED
H221-C4,H221_WRR,0.8442304951734606,-6.347596299909772,0.0,14.285714285714285,29,29882.269107176235,13.058643521757865,33.42333082257673,45.69925586354548,6,22281.264389371056,30.405928675221915,66.19511417133266,3118,41.029403838896954,58.00134252108771,168.58546087914067,299.44138484039263,260.0140349081423,7.86959854510428,22.428861658577777,935.6536181743952,22.804465349978372,REJECTED
H222-C1,H222_CRE,0.9010502142426188,-5.328836505639895,0.0,14.285714285714285,25,26929.982325111956,18.878000034276663,34.28836753064945,47.93067885404085,6,21447.49815876788,31.902156329733618,72.97902993874801,3167,55.09234900469728,78.20470530028165,223.87946188282714,405.90309042715717,355.68327807953136,8.31635113200004,22.83387530707392,1235.418950273218,22.42451034657977,REJECTED
H222-C2,H222_CRE,0.8571705695599752,-7.873889681175314,3.8461538461538463,14.285714285714285,23,31342.569293578603,22.542795404023796,43.110804322209894,54.64734105526264,6,19466.26538842968,25.77839801359788,66.57184834291233,2208,55.9063967434151,79.37122445906331,231.27292240355524,435.33701642780284,366.89982360396544,8.509025475866851,23.238512880362787,1235.418950273218,22.097989179006262,REJECTED
H222-C3,H222_CRE,0.9159825216979256,-4.4149315318607,3.8461538461538463,14.285714285714285,23,21719.432872056313,13.345867366711733,33.25457645655065,47.31318401169038,6,14601.019264543778,23.537141713274053,62.36953930930266,2439,54.73127303002521,76.33323748815386,221.51409664329893,393.80457166978533,358.65737343255387,9.215649284406938,23.502502725752585,1418.2043104219094,25.91213819645474,REJECTED
H222-C4,H222_CRE,0.914897435763992,-4.547884338105949,0.0,0.0,23,16270.36693202599,13.11094466041967,36.5874739165028,50.16820677941378,7,9992.4635916933,25.765347999483897,59.434982096357444,1834,55.5549000105254,78.00380805513079,226.93794029493066,413.24321946545166,367.15533123938803,9.26437721007936,23.61144301176699,1235.418950273218,22.23780350678619,REJECTED
H223-C1,H223_IBC,0.9624162444358864,-1.5749095594597355,11.538461538461538,14.285714285714285,26,18189.687607023392,10.251741183912037,22.588380086457256,33.94600723942956,6,14777.331304089526,24.002321677811025,68.0219065835436,2401,42.61643740167365,59.862852060917064,178.42302389000287,293.45471312265835,249.84117118450942,6.5136942957970065,21.032931776664647,839.5270259290039,19.699605999820943,REJECTED
H223-C2,H223_IBC,0.9877818704133758,-0.506339242761666,19.230769230769237,28.57142857142857,24,14164.190068571319,9.637180998104698,27.54655915964767,41.59594876062642,5,10638.256995501673,29.425407380390293,76.96329246176981,2015,42.28683107962589,59.560778800633756,177.13229742610628,300.1524424229523,250.8001528446916,6.356906607036268,21.106379969588897,476.58123005483793,11.270204408493932,REJECTED
H223-C3,H223_IBC,1.048531576730253,1.9740576552332492,57.692307692307686,42.85714285714285,18,6128.145905762629,22.08613541083837,46.41358900893671,61.40029569797905,4,2223.280868910148,38.28368288123105,91.45438699036883,818,42.1168710602803,60.0190888232776,168.39288150943793,299.68922135992705,274.0450089813897,9.031291959091712,22.88563947438845,1112.938571983562,26.425006035957768,REJECTED
H223-C4,H223_IBC,1.0055023114231687,0.2249381693133797,53.84615384615385,57.14285714285714,19,5738.091869683009,17.441359883403408,37.64477961976784,52.31398088850394,3,2172.6931568169293,37.80444065820374,100.0,663,40.81026410542627,59.68700922303398,168.26125502090935,303.26549456306253,277.7292921401808,9.67507130698731,23.862022888163374,1112.938571983562,27.27104556609772,REJECTED
H224-C1,H224_OSR,0.913346561689658,-4.108256022943228,0.0,0.0,23,22573.765957079544,20.186946053805986,37.8300576535179,48.554984039300194,7,18541.753219454025,40.654879745295375,68.71376481395967,2177,48.50557720995148,67.81595470959489,194.48124945389714,336.1801034328271,297.01086398587984,7.719317454630181,21.92847974010097,1370.5425966822745,28.255361043329504,REJECTED
H224-C2,H224_OSR,0.8647023966455283,-6.602286888029029,0.0,0.0,25,19326.988264843632,10.208034274673798,23.15261613911229,34.83346520296942,7,14750.888972128463,20.52887058689227,55.54946198450057,1767,48.13190643523576,68.87540851108308,200.78092908413248,356.9505658618894,309.88658850492595,8.215048666597442,22.661677268243952,1370.5425966822745,28.474720786853062,REJECTED
