event_id,signal_bar_open_time_utc,entry_proxy_bar_open_time_utc,year,quarter,cohort,gap_direction,gap_price,gap_z_atr,first_bar_crossed_prior_close,residual_after_first_bar,atr_prev,prev_close,entry_proxy,horizon,horizon_bars,signed_reversion_return_atr,mfe_atr,mae_atr,gap_closed_by_horizon
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,ALL_DAILY_GAPS,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,30m,1,-0.5501712954998087,0.37104575743010015,0.6013500206626864,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,ALL_DAILY_GAPS,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,1h,2,-0.9404090748660788,0.37104575743010015,1.2666734477787882,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,ALL_DAILY_GAPS,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,2h,4,-0.7612835367963703,0.37104575743010015,1.3754282387497399,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,ALL_DAILY_GAPS,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,4h,8,-2.6293070052376994,0.37104575743010015,3.2114650039643613,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,ALL_DAILY_GAPS,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,8h,16,-2.59092296136565,0.37104575743010015,3.2114650039643613,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,H226-C1,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,30m,1,-0.5501712954998087,0.37104575743010015,0.6013500206626864,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,H226-C1,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,1h,2,-0.9404090748660788,0.37104575743010015,1.2666734477787882,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,H226-C1,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,2h,4,-0.7612835367963703,0.37104575743010015,1.3754282387497399,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,H226-C1,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,4h,8,-2.6293070052376994,0.37104575743010015,3.2114650039643613,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,H226-C1,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,8h,16,-2.59092296136565,0.37104575743010015,3.2114650039643613,True
1,2018-04-02T01:00:00+00:00,2018-04-02T01:30:00+00:00,2018,2018Q2,H226-C2,UP,0.6599999999998545,0.4222244825928324,False,0.5151515151515047,1.563149526400908,1324.94,1325.26,30m,1,-0.5501712954998087,0.37104575743010015,0.6013500206626864,True
