cohort,horizon,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p25_signed_reversion_atr,p75_signed_reversion_atr,p90_signed_reversion_atr,mean_mfe_atr,mean_mae_atr,median_mfe_atr,median_mae_atr,gap_closure_pct,worst5pct_mean_signed_reversion_atr
ALL_DAILY_GAPS,30m,2113,-0.010708878513882653,-0.020204226117164634,46.85281590156176,-0.4522352262868732,-0.2123685403521533,0.18571528985403027,0.40145333313781645,0.3018280241505882,0.3139487039726607,0.20558683674104003,0.22865362419444338,62.896355892096544,-1.031382125313044
ALL_DAILY_GAPS,1h,2113,-0.002860046081254506,-0.0031911429338670953,49.31377188831046,-0.6621624748688539,-0.31355382707927293,0.30034421226100855,0.615532971126641,0.45097263951606764,0.4643354056988265,0.3154948359586633,0.3452334318408807,70.18457169900614,-1.456213866231854
ALL_DAILY_GAPS,2h,2113,-0.004534578944985643,-0.0069006277279492784,49.597728348319926,-1.0938670511571285,-0.5411197964933185,0.5257296065386262,1.04768813974609,0.7653914641863512,0.7690647927596598,0.5736912214753873,0.574151700744181,78.60861334595361,-2.415656304720831
ALL_DAILY_GAPS,4h,2113,0.009531304858790198,-0.05688002166180386,48.272598201609085,-1.8403547127260498,-0.9745815099513693,0.9928134776617304,1.9396543860822513,1.2737763358204668,1.259126177534043,0.9854951558729323,0.975640236127961,85.04495977283483,-3.491206895537549
ALL_DAILY_GAPS,8h,2113,0.04537264426795397,0.025546158039447934,50.638902035021296,-2.4995878473610875,-1.2712530416798795,1.3426868120489088,2.663791416011136,1.7264818539592224,1.7106706530557105,1.3211808510481244,1.358779472954467,88.5470894462849,-4.752731583684337
H226-C1,30m,913,0.013571581577679187,0.008594812886402852,50.821467688937574,-0.4522352262868732,-0.2065858000897073,0.24609142481233817,0.45571326484279573,0.345647392179758,0.33094639764530315,0.2558847662794841,0.22137864637395588,29.353778751369113,-1.1975690589066816
H226-C1,1h,913,0.033070125154354243,0.04456800226413904,53.01204819277109,-0.6710793519271744,-0.281013071745347,0.372457093634023,0.700856603283777,0.5136701321718545,0.4817576617330525,0.3742188225878549,0.3480057396760211,42.168674698795186,-1.7338841630769468
H226-C1,2h,913,0.039590571601620224,0.024894758477086113,51.259583789704266,-1.0842071611771928,-0.5046907348364107,0.6261093361852561,1.1260459131790672,0.8397997466176723,0.7774798488454606,0.6585636674053114,0.5576969181886486,58.050383351588174,-2.592584218435663
H226-C1,4h,913,0.04406800958696316,-0.016363996040700834,49.39759036144578,-1.835930206785891,-0.9341030898198951,1.0544465323966998,1.9675345018591999,1.345349133887386,1.2503956088999457,1.072899435846523,0.926550349120479,70.42716319824753,-3.591321638755634
H226-C1,8h,913,0.13465618399460924,0.12643929010049457,52.354874041621024,-2.5878227422232585,-1.250418848275095,1.4876173728102997,2.8170727807990277,1.8419032861570166,1.7007501851486526,1.4452645010673395,1.3199795845521476,77.65607886089813,-4.963071901267819
H226-C2,30m,696,0.01867320072652811,0.009626351487482638,51.00574712643679,-0.4519284241005247,-0.20200424779570028,0.25306782259270144,0.49304625415387515,0.36223209459314004,0.344449013362546,0.2707616771989788,0.23963860138778376,24.71264367816092,-1.2716920488828842
H226-C2,1h,696,0.02967379031970188,0.044147705161246054,52.87356321839081,-0.7041939638996614,-0.29206272677460204,0.39057419173203556,0.711992372816344,0.5306013907052061,0.5056450375656355,0.38105168571248604,0.35394805708825605,37.212643678160916,-1.8958947257741208
H226-C2,2h,696,0.027809086756679913,0.024792870363126156,51.14942528735632,-1.1154510591009532,-0.5041178933657738,0.6398127009457338,1.128047439554292,0.8505327946688823,0.8140469410837589,0.6710659597416373,0.5646145549180888,53.59195402298851,-2.793999742407699
H226-C2,4h,696,0.03947043740722747,0.004422258184926995,50.0,-1.8774024011686394,-0.9477725973250991,1.0567075539730602,1.9834908423383928,1.354172601248101,1.277180459267241,1.092044292810939,0.9311988700500053,66.95402298850574,-3.5956329363139123
H226-C2,8h,696,0.1550845207867934,0.1486865557152306,53.01724137931034,-2.740650625208149,-1.2787866921784818,1.5618179080220338,2.825343298065331,1.875516304104129,1.7259532202030188,1.4819736840994855,1.3206001759073696,75.43103448275862,-4.854963404625949
H226-C3,30m,851,0.01546267250711259,0.008402193591836981,50.76380728554641,-0.45229977551399175,-0.19598664890874729,0.24612656121221987,0.45054779016179036,0.34765557889743975,0.3301149577651028,0.255590568112465,0.22021267573053613,26.79200940070505,-1.200531388797209
H226-C3,1h,851,0.03493589478933092,0.04291032570045336,52.87896592244419,-0.6755283074933164,-0.2812692862669951,0.37361031246236387,0.7007034693173594,0.5158401471142284,0.47908660664814967,0.3742188225878549,0.35065690193858023,39.71797884841363,-1.6982540398827768
H226-C3,2h,851,0.029097653567204573,0.020340840038898765,50.76380728554641,-1.0968163079984108,-0.5162740745089393,0.6157595537254608,1.127474784716238,0.8400158928383092,0.7763117571056302,0.658860269648997,0.5587736621844472,56.051703877790835,-2.587107812620072
H226-C3,4h,851,0.02371004185546168,-0.038674044892273676,49.00117508813161,-1.8865246146091548,-0.967579546358877,1.0426389227235515,1.9208059431052777,1.3423903535803843,1.2600486718271051,1.0681024340193763,0.93284838606022,68.97767332549941,-3.6442061680118853
H226-C3,8h,851,0.10952153257071971,0.11789673779116244,51.703877790834305,-2.696190269047926,-1.273932460631964,1.4541208904214349,2.796597193012863,1.8396835617516911,1.716249044178509,1.4508251473840315,1.3187171644652336,76.49823736780259,-5.046452386966884
H226-C4,30m,639,0.02072664619346195,0.009061353314913005,51.01721439749609,-0.4531503364892415,-0.1899978066842339,0.25390873776595596,0.4905555267614721,0.3660783317010495,0.3450795278237885,0.269123180543402,0.2394282446843514,21.439749608763695,-1.2975022244371663
H226-C4,1h,639,0.028500864664352456,0.0425728166104357,52.58215962441315,-0.7166201311099766,-0.29441542328382103,0.3886570771002593,0.7073339301983195,0.533667944260852,0.5052315613808707,0.3787364151699785,0.35925885981419203,33.95931142410016,-1.895682114341657
H226-C4,2h,639,0.008579588894221247,0.011653498565509571,50.54773082942097,-1.1401316042138925,-0.5184237814349368,0.6357983667480905,1.1277038466514597,0.8502979844738031,0.8195990845397361,0.6788983248434817,0.5668007374052815,50.86071987480438,-2.8735341898974824
H226-C4,4h,639,0.015886840334803354,-0.016363996040700834,49.45226917057903,-1.9574643722801879,-0.9716756677733825,1.0453143638618325,1.9709661461769241,1.3529589158407467,1.2934679237545879,1.088353562086063,0.9364580097165683,64.94522691705791,-3.6624536607803697
H226-C4,8h,639,0.12926615557411555,0.12643929010049457,52.112676056338024,-2.8208432276805637,-1.3161123077896937,1.5189308108376016,2.8250414411389806,1.8817487162882236,1.7483124864714923,1.4840272590107932,1.3206358172369081,73.86541471048514,-4.950618147711992
