year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd
2018,22,-196.7999999999986,1060.4,1257.199999999999
2019,18,942.5999999999931,1523.699999999993,581.0999999999999
2020,38,2774.799999999991,6978.499999999997,4203.700000000006
2021,23,-701.8999999999969,1925.3000000000031,2627.2000000000003
2022,24,-425.89999999999844,2632.300000000003,3058.200000000001
2023,19,1716.4,3315.1000000000004,1598.7000000000005
2024,23,-370.89999999998884,2743.7000000000053,3114.599999999994
2025,13,1462.8999999999978,4741.0000000000055,3278.100000000008
2026,15,4747.499999999984,8840.19999999998,4092.6999999999975
