year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd
2018,32,385.8000000000018,1741.3999999999978,1355.5999999999963
2019,27,1034.7999999999922,2078.4999999999927,1043.7000000000007
2020,49,348.0000000000019,6890.499999999998,6542.499999999996
2021,35,-643.399999999999,3239.8000000000006,3883.1999999999994
2022,33,351.30000000000314,4298.9000000000015,3947.5999999999985
2023,26,1211.4000000000026,3666.1000000000013,2454.6999999999994
2024,33,-42.49999999999375,3767.600000000001,3810.099999999995
2025,31,4789.299999999985,10914.800000000003,6125.500000000017
2026,23,3758.0999999999694,17059.099999999973,13301.000000000005
