year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd
2018,17,457.70000000000505,1162.0000000000025,704.2999999999976
2019,8,898.5999999999985,1079.6999999999987,181.10000000000025
2020,23,-1858.4000000000003,2412.0999999999995,4270.5
2021,15,521.8000000000045,2054.5000000000027,1532.699999999998
2022,17,443.70000000000203,2401.800000000001,1958.0999999999992
2023,11,332.49999999999994,1157.8000000000006,825.3000000000006
2024,10,-330.6000000000014,1300.7999999999965,1631.3999999999983
2025,13,1658.7000000000064,4514.50000000001,2855.8000000000034
2026,12,5432.699999999992,11613.599999999988,6180.899999999994
