datetime,date,engine,type,entry,exit,pnl,balance
2022-05-24 13:00:00,2022-05-24,CP99_GapDayEMAPullbackBuy,BUY,1857.75,1854.3028571428572,-7.99999999999985,992.0000000000001
2022-05-24 15:00:00,2022-05-24,CP99_GapDayEMAPullbackBuy,BUY,1860.03,1867.8585,15.618201903393926,1007.618201903394
2022-05-30 11:00:00,2022-05-30,CP99_GapDayEMAPullbackBuy,BUY,1858.85,1855.205,-8.060945615227189,999.5572562881669
2022-06-08 23:00:00,2022-06-08,CP99_GapDayEMAPullbackBuy,BUY,1852.2,1847.727142857143,-7.99645805030516,991.5607982378617
2022-06-13 05:00:00,2022-06-13,CP99_GapDayEMAPullbackBuy,BUY,1863.44,1853.5685714285714,-7.932486385902919,983.6283118519588
2022-07-28 15:00:00,2022-07-28,CP99_PinbarKeltnerBuy,BUY,1744.49,1755.354857142857,16.477724147486537,1000.1060359994453
2022-07-28 15:00:00,2022-07-28,CP99_GapDayEMAPullbackBuy,BUY,1744.49,1754.8609999999999,15.992224206046512,1016.0982602054919
2022-07-28 17:00:00,2022-07-28,CP99_PinbarKeltnerBuy,BUY,1755.06,1768.1122857142855,17.160228029932416,1033.2584882354242
2022-07-28 17:00:00,2022-07-28,CP99_Donchian5Buy,BUY,1755.06,1767.5189999999998,16.656852594172943,1049.9153408295972
2022-07-28 17:00:00,2022-07-28,CP99_Donchian7Buy,BUY,1755.06,1767.637657142857,17.086566784078602,1067.0019076136757
2022-07-28 17:00:00,2022-07-28,CP99_Donchian10Buy,BUY,1755.06,1767.8156428571426,17.610363554504758,1084.6122711681805
2022-07-28 17:00:00,2022-07-28,CP99_Donchian12Buy,BUY,1755.06,1767.9936285714284,18.150795899282766,1102.7630670674632
2022-07-28 17:00:00,2022-07-28,CP99_Donchian15Buy,BUY,1755.06,1768.1122857142855,18.62385404541316,1121.3869211128763
2022-07-28 17:00:00,2022-07-28,CP99_Donchian20Buy,BUY,1755.06,1768.7055714285711,18.065693895436507,1139.4526150083127
2022-07-28 17:00:00,2022-07-28,CP99_Donchian3Buy,BUY,1755.06,1767.5189999999998,18.36877650882061,1157.8213915171334
2022-08-01 18:00:00,2022-08-01,CP99_GapDayEMAPullbackBuy,BUY,1768.7,1779.3139999999999,18.53462186844906,1176.3560133855824
2022-08-10 15:00:00,2022-08-10,CP99_Donchian5Buy,BUY,1797.2,1792.8657142857144,-9.410848107084519,1166.9451652784978
2022-08-10 15:00:00,2022-08-10,CP99_Donchian7Buy,BUY,1797.2,1792.8657142857144,-9.335561322227843,1157.60960395627
2022-08-10 15:00:00,2022-08-10,CP99_Donchian10Buy,BUY,1797.2,1792.8657142857144,-9.260876831650021,1148.34872712462
2022-08-10 15:00:00,2022-08-10,CP99_Donchian12Buy,BUY,1797.2,1792.8657142857144,-9.186789816996821,1139.161937307623
2022-08-10 15:00:00,2022-08-10,CP99_Donchian15Buy,BUY,1797.2,1792.8657142857144,-9.113295498460847,1130.048641809162
2022-08-10 15:00:00,2022-08-10,CP99_Donchian3Buy,BUY,1797.2,1792.8657142857144,-9.04038913447316,1121.008252674689
2022-08-11 16:00:00,2022-08-11,CP99_GapDayEMAPullbackBuy,BUY,1796.93,1792.817142857143,-8.968066021397476,1112.0401866532916
2022-09-13 13:00:00,2022-09-13,CP99_GapDayEMAPullbackBuy,BUY,1728.11,1724.9171428571428,-5.560200933266345,1106.4799857200253
2022-10-03 19:00:00,2022-10-03,CP99_PinbarKeltnerBuy,BUY,1691.08,1705.3784285714285,11.720443993092527,1118.2004297131177
2022-10-03 22:00:00,2022-10-03,CP99_Donchian20Buy,BUY,1700.55,1717.0607142857143,18.130436077382818,1136.3308657905006
2022-11-10 22:00:00,2022-11-10,CP99_Donchian20Buy,BUY,1755.51,1747.5497857142857,-9.090646926324032,1127.2402188641765
2022-11-11 10:00:00,2022-11-11,CP99_PinbarKeltnerBuy,BUY,1765.23,1759.4864285714286,-9.017921750913336,1118.2222971132633
2022-11-11 10:00:00,2022-11-11,CP99_Donchian5Buy,BUY,1765.23,1759.4864285714286,-8.94577837690603,1109.2765187363573
2022-11-11 10:00:00,2022-11-11,CP99_Donchian7Buy,BUY,1765.23,1759.4864285714286,-8.874212149890782,1100.4023065864665
2022-11-11 10:00:00,2022-11-11,CP99_Donchian10Buy,BUY,1765.23,1759.4864285714286,-8.803218452691658,1091.5990881337748
2022-11-11 10:00:00,2022-11-11,CP99_Donchian12Buy,BUY,1765.23,1759.4864285714286,-8.732792705070123,1082.8662954287047
2022-11-11 10:00:00,2022-11-11,CP99_Donchian15Buy,BUY,1765.23,1759.4864285714286,-8.662930363429565,1074.2033650652752
2022-11-11 10:00:00,2022-11-11,CP99_Donchian20Buy,BUY,1765.23,1758.9370714285715,-8.593626920522158,1065.609738144753
2022-11-11 10:00:00,2022-11-11,CP99_Donchian3Buy,BUY,1765.23,1759.4864285714286,-8.524877905157952,1057.084860239595
2022-11-29 16:00:00,2022-11-29,CP99_GapDayEMAPullbackBuy,BUY,1752.09,1761.6734999999999,10.522927631212818,1067.6077878708077
2022-11-30 20:00:00,2022-11-30,CP99_Donchian3Buy,BUY,1760.31,1771.89,10.723703504932873,1078.3314913757406
2022-11-30 22:00:00,2022-11-30,CP99_PinbarKeltnerBuy,BUY,1769.77,1783.6708571428571,11.410191833384902,1089.7416832091255
2022-11-30 22:00:00,2022-11-30,CP99_Donchian5Buy,BUY,1769.77,1783.039,11.006793906210632,1100.748477115336
2022-11-30 22:00:00,2022-11-30,CP99_Donchian7Buy,BUY,1769.77,1783.1653714285715,11.223851990295792,1111.9723291056318
2022-11-30 22:00:00,2022-11-30,CP99_Donchian10Buy,BUY,1769.77,1783.3549285714287,11.49874430732233,1123.4710734129542
2022-11-30 22:00:00,2022-11-30,CP99_Donchian12Buy,BUY,1769.77,1783.5444857142857,11.779757911915963,1135.2508313248702
2022-11-30 22:00:00,2022-11-30,CP99_Donchian15Buy,BUY,1769.77,1783.6708571428571,12.012474705621743,1147.263306030492
2022-11-30 22:00:00,2022-11-30,CP99_Donchian20Buy,BUY,1769.77,1784.3027142857143,11.577678794831224,1158.8409848253232
2022-11-30 22:00:00,2022-11-30,CP99_Donchian3Buy,BUY,1769.77,1783.039,11.70472240034039,1170.5457072256636
2022-12-07 21:00:00,2022-12-07,CP99_Donchian20Buy,BUY,1789.74,1783.509142857143,-9.364365657805218,1161.1813415678585
2022-12-08 16:00:00,2022-12-08,CP99_GapDayEMAPullbackBuy,BUY,1792.25,1788.3464285714285,-9.289450732542829,1151.8918908353157
2022-12-13 21:00:00,2022-12-13,CP99_PinbarKeltnerBuy,BUY,1811.33,1803.6171428571427,-9.215135126682643,1142.676755708633
2022-12-27 16:00:00,2022-12-27,CP99_GapDayEMAPullbackBuy,BUY,1807.97,1814.6015000000002,17.788682066945565,1160.4654377755785
2022-12-29 14:00:00,2022-12-29,CP99_GapDayEMAPullbackBuy,BUY,1806.72,1813.0545,18.00368360695404,1178.4691213825326
2022-12-30 15:00:00,2022-12-30,CP99_GapDayEMAPullbackBuy,BUY,1821.66,1818.2557142857145,-9.427752971059991,1169.0413684114726
2023-01-04 17:00:00,2023-01-04,CP99_GapDayEMAPullbackBuy,BUY,1857.68,1852.0192857142858,-9.35233094729162,1159.689037464181
2023-01-06 18:00:00,2023-01-06,CP99_PinbarKeltnerBuy,BUY,1863.33,1877.0831428571428,19.625679281872397,1179.3147167460534
2023-01-06 18:00:00,2023-01-06,CP99_Donchian5Buy,BUY,1863.33,1876.4579999999999,19.0506359411285,1198.365352687182
2023-01-06 18:00:00,2023-01-06,CP99_Donchian7Buy,BUY,1863.33,1876.5830285714285,19.542745208914614,1217.9080978960965
2023-01-06 18:00:00,2023-01-06,CP99_Donchian10Buy,BUY,1863.33,1876.7705714285714,20.142503270921907,1238.0506011670184
2023-01-06 18:00:00,2023-01-06,CP99_Donchian12Buy,BUY,1863.33,1876.9581142857141,20.76133871050921,1258.8119398775275
2023-01-06 18:00:00,2023-01-06,CP99_Donchian15Buy,BUY,1863.33,1877.0831428571428,21.303158527952412,1280.11509840548
2023-01-06 18:00:00,2023-01-06,CP99_Donchian20Buy,BUY,1863.33,1877.7082857142857,20.661672521238867,1300.7767709267189
2023-01-06 18:00:00,2023-01-06,CP99_Donchian3Buy,BUY,1863.33,1876.4579999999999,21.012732523152035,1321.7895034498708
2023-01-12 15:00:00,2023-01-12,CP99_PinbarKeltnerBuy,BUY,1899.44,1894.112142857143,-10.57431602759887,1311.215187422272
2023-01-12 15:00:00,2023-01-12,CP99_Donchian5Buy,BUY,1899.44,1894.112142857143,-10.489721499378081,1300.725465922894
2023-01-12 15:00:00,2023-01-12,CP99_Donchian7Buy,BUY,1899.44,1894.112142857143,-10.405803727383057,1290.319662195511
2023-01-12 15:00:00,2023-01-12,CP99_Donchian10Buy,BUY,1899.44,1894.112142857143,-10.322557297563993,1279.997104897947
2023-01-12 15:00:00,2023-01-12,CP99_Donchian12Buy,BUY,1899.44,1894.112142857143,-10.239976839183482,1269.7571280587636
2023-01-12 15:00:00,2023-01-12,CP99_Donchian15Buy,BUY,1899.44,1894.112142857143,-10.158057024470015,1259.5990710342935
2023-01-12 15:00:00,2023-01-12,CP99_Donchian20Buy,BUY,1899.44,1893.6043571428572,-10.076792568274373,1249.522278466019
2023-01-12 15:00:00,2023-01-12,CP99_Donchian3Buy,BUY,1899.44,1894.112142857143,-9.99617822772806,1239.526100238291
2023-01-12 15:00:00,2023-01-12,CP99_GapDayEMAPullbackBuy,BUY,1899.44,1894.112142857143,-9.916208801906238,1229.6098914363847
2023-01-12 20:00:00,2023-01-12,CP99_PinbarKeltnerBuy,BUY,1898.81,1915.303714285714,13.089234706405916,1242.6991261427906
2023-01-12 20:00:00,2023-01-12,CP99_Donchian3Buy,BUY,1898.81,1914.5539999999999,12.627271371376084,1255.3263975141667
2023-01-13 17:00:00,2023-01-13,CP99_PinbarKeltnerBuy,BUY,1913.52,1927.0657142857144,13.269793646855549,1268.5961911610223
2023-01-13 17:00:00,2023-01-13,CP99_Donchian5Buy,BUY,1913.52,1926.45,12.800517420511074,1281.3967085815334
2023-01-13 17:00:00,2023-01-13,CP99_Donchian7Buy,BUY,1913.52,1926.5731428571428,13.052818289466112,1294.4495268709995
2023-01-13 17:00:00,2023-01-13,CP99_Donchian10Buy,BUY,1913.52,1926.7578571428571,13.372370725473887,1307.8218975964735
2023-01-13 17:00:00,2023-01-13,CP99_Donchian12Buy,BUY,1913.52,1926.9425714285715,13.699033428580767,1321.5209310250543
2023-01-13 17:00:00,2023-01-13,CP99_Donchian15Buy,BUY,1913.52,1927.0657142857144,13.969522260846897,1335.4904532859011
2023-01-13 17:00:00,2023-01-13,CP99_Donchian20Buy,BUY,1913.52,1927.6814285714286,13.464927647907965,1348.955380933809
2023-01-13 17:00:00,2023-01-13,CP99_Donchian3Buy,BUY,1913.52,1926.45,13.611365833703376,1362.5667467675123
2023-01-27 17:00:00,2023-01-27,CP99_GapDayLowerKeltnerBuy,BUY,1924.0,1918.5585714285714,-10.900533974140098,1351.6662127933723
2023-02-01 17:00:00,2023-02-01,CP99_GapDayEMAPullbackBuy,BUY,1931.8,1927.3914285714286,-10.813329702346818,1340.8528830910254
2023-03-03 17:00:00,2023-03-03,CP99_GapDayEMAPullbackBuy,BUY,1844.52,1851.7259999999999,20.996601048933567,1361.849484139959
2023-03-13 19:00:00,2023-03-13,CP99_PinbarKeltnerBuy,BUY,1909.68,1900.1907142857144,-10.89479587311958,1350.9546882668394
2023-03-13 21:00:00,2023-03-13,CP99_PinbarKeltnerBuy,BUY,1913.15,1903.3178571428573,-10.807637506134627,1340.1470507607048
2023-03-13 21:00:00,2023-03-13,CP99_Donchian5Buy,BUY,1913.15,1903.3178571428573,-10.72117640608555,1329.4258743546193
2023-03-13 21:00:00,2023-03-13,CP99_Donchian7Buy,BUY,1913.15,1903.3178571428573,-10.635406994836865,1318.7904673597825
2023-03-13 21:00:00,2023-03-13,CP99_Donchian10Buy,BUY,1913.15,1903.3178571428573,-10.550323738878173,1308.2401436209043
2023-03-13 21:00:00,2023-03-13,CP99_Donchian12Buy,BUY,1913.15,1903.3178571428573,-10.465921148967148,1297.774222471937
2023-03-13 21:00:00,2023-03-13,CP99_Donchian15Buy,BUY,1913.15,1903.3178571428573,-10.382193779775411,1287.3920286921616
2023-03-13 21:00:00,2023-03-13,CP99_Donchian20Buy,BUY,1913.15,1902.359642857143,-10.29913622953727,1277.0928924626244
2023-03-13 21:00:00,2023-03-13,CP99_Donchian3Buy,BUY,1913.15,1903.3178571428573,-10.21674313970091,1266.8761493229235
2023-03-20 08:00:00,2023-03-20,CP99_PinbarKeltnerBuy,BUY,1988.64,2008.6662857142858,13.563140836771392,1280.439290159695
2023-03-22 07:00:00,2023-03-22,CP99_GapDayLowerKeltnerBuy,BUY,1939.65,1934.6885714285715,-6.402196450798455,1274.0370937088965
2023-04-03 18:00:00,2023-04-03,CP99_PinbarKeltnerBuy,BUY,1987.8,1981.24,-6.3701854685444195,1267.666908240352
2023-04-04 19:00:00,2023-04-04,CP99_PinbarKeltnerBuy,BUY,2020.6,2013.6921428571427,-6.338334541201835,1261.3285736991502
2023-05-03 23:00:00,2023-05-03,CP99_Donchian20Buy,BUY,2045.0,2062.2927142857143,12.79970512195131,1274.1282788211015
2023-05-09 16:00:00,2023-05-09,CP99_GapDayEMAPullbackBuy,BUY,2030.16,2026.1764285714287,-6.370641394105403,1267.757637426996
2023-05-09 18:00:00,2023-05-09,CP99_GapDayEMAPullbackBuy,BUY,2026.96,2035.0345000000002,12.498790040786847,1280.256427467783
2023-05-11 15:00:00,2023-05-11,CP99_GapDayEMAPullbackBuy,BUY,2037.34,2032.25,-6.401282137338853,1273.855145330444
2023-07-05 15:00:00,2023-07-05,CP99_GapDayEMAPullbackBuy,BUY,1929.21,1926.2428571428572,-6.369275726651977,1267.485869603792
2023-07-11 16:00:00,2023-07-11,CP99_GapDayEMAPullbackBuy,BUY,1933.36,1942.2955,12.570055480404742,1280.0559250841968
2023-07-12 17:00:00,2023-07-12,CP99_PinbarKeltnerBuy,BUY,1957.55,1952.2592857142856,-6.400279625421044,1273.6556454587758
2023-07-12 17:00:00,2023-07-12,CP99_Donchian5Buy,BUY,1957.55,1952.2592857142856,-6.3682782272939376,1267.2873672314818
2023-07-12 17:00:00,2023-07-12,CP99_Donchian7Buy,BUY,1957.55,1952.2592857142856,-6.336436836157467,1260.9509303953243
2023-07-12 17:00:00,2023-07-12,CP99_Donchian10Buy,BUY,1957.55,1952.2592857142856,-6.304754651976681,1254.6461757433476
2023-07-12 17:00:00,2023-07-12,CP99_Donchian12Buy,BUY,1957.55,1952.2592857142856,-6.273230878716796,1248.3729448646309
2023-07-12 17:00:00,2023-07-12,CP99_Donchian15Buy,BUY,1957.55,1952.2592857142856,-6.241864724323213,1242.1310801403076
2023-07-12 17:00:00,2023-07-12,CP99_Donchian20Buy,BUY,1957.55,1951.7552142857141,-6.210655400701644,1235.920424739606
2023-07-12 17:00:00,2023-07-12,CP99_Donchian3Buy,BUY,1957.55,1952.2592857142856,-6.179602123698087,1229.740822615908
2023-07-13 05:00:00,2023-07-13,CP99_Donchian20Buy,BUY,1959.94,1954.3078571428573,-6.148704113079425,1223.5921185028285
2023-07-18 16:00:00,2023-07-18,CP99_PinbarKeltnerBuy,BUY,1971.12,1980.653857142857,12.725396168384535,1236.317514671213
