year,n,rho_total_on_in_5m,compensation_fraction_5m
2018,67040,0.9340811160247635,0.06591888397523649
2019,65564,0.9372046994909511,0.06279530050904891
2020,74292,0.8694849920201444,0.1305150079798556
2021,79490,0.9240467322856702,0.07595326771432975
2022,80697,0.9332656899272284,0.06673431007277164
2023,79566,0.9755871586811186,0.02441284131888144
2024,81977,0.9813363248631025,0.018663675136897484
2025,83725,0.9846349847098782,0.015365015290121797
