horizon_min,energy_count,location_count,n,mean_in_candle_reversion_atr,mean_post_close_reversion_atr,median_post_close_reversion_atr,mean_total_reversion_atr,median_total_reversion_atr,p90_total_reversion_atr
5,0,0,268622,0.4214504721217426,0.03932292842252685,0.0718259400785651,0.4607734005442694,0.4913901172739864,2.608853277061034
5,0,1,18448,0.49672406511266365,0.04787404069413149,0.11515084413384524,0.5445981058067952,0.5966302807954824,2.7860457383863326
5,0,2,913,0.6147289346434082,0.038775515518933254,0.17872078390282065,0.6535044501623413,0.8521532613463616,3.0757157938574826
5,1,0,190941,0.4566074163287511,0.040396575133102776,0.08640403375476308,0.4970039914618539,0.5431984397930514,2.6049388991424904
5,1,1,18143,0.5423361146094092,0.06706785364767232,0.16506945140633977,0.6094039682570814,0.68963616820655,2.828519903726397
5,1,2,1426,0.6442348937683199,-0.0523138716984654,0.06913494780686688,0.5919210220698544,0.6799045233075862,2.9050014716196113
5,2,0,83273,0.5131216164205133,0.036260603034692446,0.12317222027196417,0.5493822194552058,0.6380493336061626,2.7104798204891605
5,2,1,9927,0.6270843199064674,0.0548020487335581,0.20699843283798414,0.6818863686400255,0.7983322601733377,2.9722011849646197
5,2,2,959,0.7162877462582521,-0.0880449449337681,0.16060478294774733,0.6282428013244841,0.7914093134456117,3.0179712358669937
5,3,0,16963,0.5752019024394796,0.01391405958461074,0.14255018585586865,0.5891159620240903,0.7098857290168603,2.7068827883308777
5,3,1,2432,0.6979870345669246,0.031387636149747926,0.1617947029110947,0.7293746707166725,0.8442928095202578,2.966536039641578
5,3,2,304,0.9305128473450263,0.14590850968004127,0.3687500967161761,1.0764213570250674,1.318758699392025,3.5226785608418902
