window,width_quarters,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,4,-325.2142857142803,0.8682207338886625,False,False
2018Q3->2019Q2,4,-329.93928571427386,0.8705440532492601,False,False
2018Q4->2019Q3,4,-625.7107142857056,0.7968987467236428,False,False
2019Q1->2019Q4,4,-795.1928571428407,0.7543345139187757,False,False
2019Q2->2020Q1,4,-635.6678571428345,0.8358079255214682,False,False
2019Q3->2020Q2,4,-853.4107142857007,0.8152235018106117,False,False
2019Q4->2020Q3,4,-1308.396428571417,0.7677143112575364,False,False
2020Q1->2020Q4,4,-1065.18928571428,0.8298655537827659,False,False
2020Q2->2021Q1,4,-936.2035714285705,0.8553976609832342,False,False
2020Q3->2021Q2,4,-768.4785714285613,0.872247376064389,False,False
2020Q4->2021Q3,4,-59.71785714284627,0.9876167616954266,False,False
2021Q1->2021Q4,4,-176.9428571428546,0.9597327654870856,False,False
2021Q2->2022Q1,4,-737.3428571428568,0.8366937557050715,False,False
2021Q3->2022Q2,4,-832.2892857142859,0.8357101817092298,False,False
2021Q4->2022Q3,4,-633.8535714285749,0.8822693981629192,False,False
2022Q1->2022Q4,4,-806.6928571428591,0.8567391108557186,False,False
2022Q2->2023Q1,4,-492.86785714285577,0.9031868376247053,False,False
2022Q3->2023Q2,4,-1117.5571428571443,0.7780293647381951,False,False
2022Q4->2023Q3,4,-1590.84999999999,0.6534996351710665,False,False
2023Q1->2023Q4,4,-999.657142857132,0.7685691843399908,False,False
2023Q2->2024Q1,4,-1130.7071428571394,0.7262044572051232,False,False
2023Q3->2024Q2,4,-339.1392857142878,0.9242350620782751,False,False
2023Q4->2024Q3,4,-90.19285714286922,0.9820609391049337,False,False
2024Q1->2024Q4,4,-502.27500000000634,0.9137210610621774,False,False
2024Q2->2025Q1,4,-841.4392857142939,0.87462236855339,False,False
2024Q3->2025Q2,4,2823.4928571428554,1.3876769628347394,True,True
2024Q4->2025Q3,4,2438.3535714285495,1.2972117152276248,True,True
2025Q1->2025Q4,4,4635.324999999975,1.4203664231812985,True,True
2025Q2->2026Q1,4,9661.971428571422,1.6858076317796118,True,True
2025Q3->2026Q2,4,7894.085714285702,1.5048346957942158,True,True
