window,width_quarters,net_pnl_usd,pf,is_positive,is_pf_ge_120
2018Q2->2019Q1,4,-1547.7892857142792,0.8339279973114634,False,False
2018Q3->2019Q2,4,-1024.8428571428558,0.8885989342679521,False,False
2018Q4->2019Q3,4,-1325.6607142857163,0.8845697546230717,False,False
2019Q1->2019Q4,4,-1487.4749999999858,0.8746700064486611,False,False
2019Q2->2020Q1,4,-1920.7071428571337,0.8803055358339144,False,False
2019Q3->2020Q2,4,-1813.2928571428333,0.9002146951815841,False,False
2019Q4->2020Q3,4,-2444.049999999962,0.8830005091439047,False,False
2020Q1->2020Q4,4,-1973.6499999999671,0.9141908093102539,False,False
2020Q2->2021Q1,4,-963.664285714252,0.9554725674406799,False,False
2020Q3->2021Q2,4,-2006.4821428571172,0.9076612946303478,False,False
2020Q4->2021Q3,4,-2365.2107142856885,0.8732590702499793,False,False
2021Q1->2021Q4,4,-2127.1499999999883,0.8781716481258836,False,False
2021Q2->2022Q1,4,-3275.4357142856925,0.8252892630626063,False,False
2021Q3->2022Q2,4,-2448.3035714285543,0.8674528459668763,False,False
2021Q4->2022Q3,4,-2753.1678571428574,0.857794195640043,False,False
2022Q1->2022Q4,4,-3612.8428571428394,0.8225762604133388,False,False
2022Q2->2023Q1,4,-1652.635714285681,0.9104403950131007,False,False
2022Q3->2023Q2,4,-1184.3571428571079,0.9353852916488403,False,False
2022Q4->2023Q3,4,931.2035714286219,1.0571602260742143,True,False
2023Q1->2023Q4,4,2586.3571428571654,1.1694516279692313,True,False
2023Q2->2024Q1,4,1267.8000000000063,1.0843932092499136,True,False
2023Q3->2024Q2,4,617.0214285714158,1.0350382555951567,True,False
2023Q4->2024Q3,4,-1463.7964285714502,0.9340784423158417,False,False
2024Q1->2024Q4,4,-3409.667857142874,0.8696656231710894,False,False
2024Q2->2025Q1,4,-3780.2321428571695,0.870812196464225,False,False
2024Q3->2025Q2,4,-1845.5107142857037,0.9490015468013251,False,False
2024Q4->2025Q3,4,-1787.264285714281,0.9530110773272066,False,False
2025Q1->2025Q4,4,-2711.446428571454,0.9447053338826823,False,False
2025Q2->2026Q1,4,-319.8285714285821,0.9958615015292461,False,False
2025Q3->2026Q2,4,-1184.7214285714497,0.985914481050777,False,False
