quarter,year,trades,net_pnl_usd,gross_profit_usd,gross_loss_usd,pf,expectancy_usd
2018Q2,2018,40,-32.189285714287536,532.3214285714268,564.5107142857144,0.9429784326502691,-0.8047321428571884
2018Q3,2018,43,-118.02142857142151,529.5928571428643,647.6142857142861,0.8177596894094915,-2.7446843853818956
2018Q4,2018,43,-186.0142857142842,465.4071428571425,651.421428571427,0.7144486233401695,-4.325913621262424
2019Q1,2019,49,11.01071428571295,615.3357142857162,604.3250000000033,1.0182198556831388,0.22470845481046836
2019Q2,2019,43,-36.914285714281135,608.3857142857172,645.2999999999985,0.9427951561842842,-0.8584717607972358
2019Q3,2019,47,-413.7928571428532,765.9428571428579,1179.7357142857115,0.649249529252922,-8.804103343464963
2019Q4,2019,44,-355.49642857141936,452.03571428571985,807.5321428571394,0.5597742681627096,-8.079464285714076
2020Q1,2020,37,170.53571428571925,1409.4571428571405,1238.9214285714213,1.1376485306920239,4.609073359073493
2020Q2,2020,39,-254.65714285714728,1137.7642857142835,1392.421428571431,0.8171120196574282,-6.529670329670443
2020Q3,2020,45,-868.7785714285694,1325.0499999999986,2193.8285714285676,0.6039897634923946,-19.30619047619043
2020Q4,2020,43,-112.2892857142826,1323.407142857149,1435.696428571432,0.9217875844226938,-2.6113787375414557
2021Q1,2021,47,299.52142857142877,1751.907142857138,1452.3857142857096,1.2062271926977295,6.372796352583591
2021Q2,2021,32,-86.93214285713793,846.5214285714322,933.4535714285705,0.906870415928565,-2.7166294642855604
2021Q3,2021,39,-160.01785714285452,840.9214285714291,1000.939285714284,0.8401323042998917,-4.103021978021911
2021Q4,2021,37,-229.5142857142909,777.921428571425,1007.4357142857164,0.7721797207904034,-6.203088803088943
2022Q1,2022,44,-260.8785714285734,1312.3857142857148,1573.2642857142885,0.8341800714619728,-5.929058441558487
2022Q2,2022,46,-181.87857142856706,1302.4642857142885,1484.3428571428558,0.8774686248845115,-3.9538819875775446
2022Q3,2022,49,38.41785714285656,1357.3071428571413,1318.8892857142853,1.0291289477888583,0.7840379008746237
2022Q4,2022,39,-402.3535714285752,852.0857142857118,1254.4392857142875,0.6792562414055197,-10.316758241758338
2023Q1,2023,34,52.94642857142989,1086.1928571428543,1033.2464285714248,1.051242788852059,1.5572478991597027
2023Q2,2023,41,-806.5678571428556,621.5642857142848,1428.1321428571405,0.4352288328661064,-19.672386759581844
2023Q3,2023,37,-434.87499999998903,440.5000000000081,875.3749999999973,0.5032129087534022,-11.753378378378082
2023Q4,2023,42,188.8392857142827,1171.5499999999897,982.7107142857071,1.192161622916203,4.496173469387683
2024Q1,2024,35,-78.10357142857775,765.4285714285664,843.5321428571447,0.9074088971120507,-2.2315306122450784
2024Q2,2024,45,-15.000000000003666,1759.58571428571,1774.5857142857144,0.9915473229164127,-0.3333333333334148
2024Q3,2024,34,-185.9285714285705,1240.9785714285754,1426.907142857146,0.8696981984011382,-5.468487394957956
2024Q4,2024,39,-223.2428571428544,1553.2571428571446,1776.4999999999993,0.8743355715491952,-5.724175824175754
2025Q1,2025,36,-417.2678571428653,1315.9785714285617,1733.2464285714273,0.7592564737105588,-11.590773809524036
2025Q2,2025,41,3649.9321428571457,5996.385714285721,2346.453571428574,2.5555100630586893,89.0227351916377
2025Q3,2025,38,-571.0678571428767,1776.8285714285682,2347.8964285714446,0.7567746812876507,-15.028101503759913
2025Q4,2025,46,1973.728571428571,6572.9999999999945,4599.271428571422,1.4291393978549407,42.90714285714285
2026Q1,2026,31,4609.378571428581,9404.214285714295,4794.835714285715,1.9613214812960986,148.68963133640585
2026Q2,2026,34,1882.0464285714263,5777.014285714284,3894.967857142856,1.4831994762472824,55.35430672268901
