year,trades,net_pnl_usd,pf,expectancy_usd,is_complete_calendar_year
2018,403,-798.635714285715,0.8823349269809134,-1.9817263381779529,False
2019,568,-1487.4749999999865,0.8746700064486609,-2.618794014084483,True
2020,496,-1973.6499999999673,0.9141908093102538,-3.979133064516063,True
2021,502,-2127.1499999999883,0.8781716481258831,-4.237350597609538,True
2022,512,-3612.842857142839,0.8225762604133384,-7.056333705357107,True
2023,510,2586.357142857165,1.1694516279692306,5.071288515406206,True
2024,569,-3409.667857142873,0.8696656231710889,-5.992386392166736,True
2025,577,-2711.446428571453,0.9447053338826826,-4.699213914335274,True
2026,285,2117.8714285714495,1.0375746196498354,7.431127819548946,False
