id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
86,1869,2018-04-02 10:30:00,1877,2018-04-02 14:30:00,BUY,1331.42,1334.555,1329.8525,1334.555,0.1,30.64999999999991,313.4999999999991,1.8717557251907095,TP,2018Q2,2018,8,2018-04-02 10:30:00,2018Q2,2018
87,1878,2018-04-02 15:00:00,1882,2018-04-02 17:00:00,BUY,1333.72,1336.6857142857143,1332.2371428571428,1336.6857142857143,0.1,28.957142857142845,296.57142857142844,1.8647654093834882,TP,2018Q2,2018,4,2018-04-02 15:00:00,2018Q2,2018
88,1883,2018-04-02 17:30:00,1888,2018-04-02 20:00:00,BUY,1336.61,1341.392857142857,1334.2185714285713,1341.392857142857,0.1,47.1285714285721,478.28571428572104,1.914683691236217,TP,2018Q2,2018,5,2018-04-02 17:30:00,2018Q2,2018
89,1906,2018-04-03 06:00:00,1913,2018-04-03 09:30:00,SELL,1338.61,1340.8685714285712,1340.8685714285712,1334.0928571428572,0.1,-23.285714285712583,-225.85714285712584,-1.0,SL,2018Q2,2018,7,2018-04-03 06:00:00,2018Q2,2018
90,1914,2018-04-03 10:00:00,1914,2018-04-03 10:00:00,BUY,1341.31,1339.2582142857143,1339.2582142857143,1345.4135714285712,0.1,-21.217857142856428,-205.17857142856428,-1.0,SL,2018Q2,2018,0,2018-04-03 10:00:00,2018Q2,2018
91,1918,2018-04-03 12:00:00,1924,2018-04-03 15:00:00,SELL,1337.12,1339.1674999999998,1339.1674999999998,1333.0249999999999,0.1,-21.174999999999,-204.74999999999,-1.0,SL,2018Q2,2018,6,2018-04-03 12:00:00,2018Q2,2018
92,1925,2018-04-03 15:30:00,1926,2018-04-03 16:00:00,BUY,1340.16,1337.5157142857145,1337.5157142857145,1345.4485714285715,0.1,-27.142857142856155,-264.42857142856155,-1.0,SL,2018Q2,2018,1,2018-04-03 15:30:00,2018Q2,2018
93,1927,2018-04-03 16:30:00,1961,2018-04-04 10:30:00,SELL,1334.15,1337.2314285714288,1337.2314285714288,1327.987142857143,0.1,-31.514285714286597,-308.142857142866,-1.0,SL,2018Q2,2018,34,2018-04-03 16:30:00,2018Q2,2018
94,1962,2018-04-04 11:00:00,1962,2018-04-04 11:00:00,BUY,1339.74,1344.0942857142857,1337.5628571428572,1344.0942857142857,0.1,42.842857142856516,435.4285714285652,1.906547997457087,TP,2018Q2,2018,0,2018-04-04 11:00:00,2018Q2,2018
95,1970,2018-04-04 15:00:00,1970,2018-04-04 15:00:00,BUY,1346.92,1343.2900000000002,1343.2900000000002,1354.18,0.1,-36.99999999999882,-362.9999999999882,-1.0,SL,2018Q2,2018,0,2018-04-04 15:00:00,2018Q2,2018
96,1972,2018-04-04 16:00:00,1972,2018-04-04 16:00:00,BUY,1347.28,1343.2503571428572,1343.2503571428572,1355.3392857142856,0.1,-40.9964285714279,-402.96428571427896,-1.0,SL,2018Q2,2018,0,2018-04-04 16:00:00,2018Q2,2018
97,1976,2018-04-04 18:00:00,2006,2018-04-05 10:00:00,SELL,1335.88,1325.4850000000001,1341.0775,1325.4850000000001,0.1,103.24999999999982,1039.4999999999982,1.9601328903654482,TP,2018Q2,2018,30,2018-04-04 18:00:00,2018Q2,2018
98,2009,2018-04-05 11:30:00,2012,2018-04-05 13:00:00,SELL,1326.41,1328.4210714285716,1328.4210714285716,1322.3878571428572,0.1,-20.810714285715402,-201.10714285715403,-1.0,SL,2018Q2,2018,3,2018-04-05 11:30:00,2018Q2,2018
99,2014,2018-04-05 14:00:00,2016,2018-04-05 15:00:00,BUY,1329.94,1327.6053571428572,1327.6053571428572,1334.6092857142858,0.1,-24.04642857142853,-233.46428571428532,-1.0,SL,2018Q2,2018,2,2018-04-05 14:00:00,2018Q2,2018
100,2019,2018-04-05 16:30:00,2019,2018-04-05 16:30:00,SELL,1323.13,1326.2007142857144,1326.2007142857144,1316.9885714285715,0.1,-31.407142857143025,-307.07142857143026,-1.0,SL,2018Q2,2018,0,2018-04-05 16:30:00,2018Q2,2018
101,2022,2018-04-05 18:00:00,2034,2018-04-06 01:00:00,SELL,1323.9,1327.7485714285715,1327.7485714285715,1316.2028571428573,0.1,-39.18571428571404,-384.8571428571404,-1.0,SL,2018Q2,2018,12,2018-04-05 18:00:00,2018Q2,2018
102,2036,2018-04-06 02:00:00,2040,2018-04-06 04:00:00,BUY,1329.05,1333.1107142857143,1327.0196428571428,1333.1107142857143,0.1,39.907142857143114,406.07142857143117,1.9000170039109001,TP,2018Q2,2018,4,2018-04-06 02:00:00,2018Q2,2018
103,2047,2018-04-06 07:30:00,2052,2018-04-06 10:00:00,SELL,1328.66,1324.1385714285716,1330.9207142857144,1324.1385714285716,0.1,44.51428571428487,452.1428571428487,1.9098988660740701,TP,2018Q2,2018,5,2018-04-06 07:30:00,2018Q2,2018
104,2063,2018-04-06 15:30:00,2063,2018-04-06 15:30:00,SELL,1321.25,1324.5414285714287,1324.5414285714287,1314.6671428571428,0.1,-33.614285714286964,-329.1428571428696,-1.0,SL,2018Q2,2018,0,2018-04-06 15:30:00,2018Q2,2018
105,2065,2018-04-06 16:30:00,2065,2018-04-06 16:30:00,BUY,1334.83,1330.0846428571429,1330.0846428571429,1344.3207142857143,0.1,-48.15357142857074,-474.5357142857074,-1.0,SL,2018Q2,2018,0,2018-04-06 16:30:00,2018Q2,2018
106,2088,2018-04-09 05:00:00,2095,2018-04-09 08:30:00,SELL,1331.44,1333.5785714285714,1333.5785714285714,1327.162857142857,0.1,-22.085714285713674,-213.85714285713675,-1.0,SL,2018Q2,2018,7,2018-04-09 05:00:00,2018Q2,2018
107,2099,2018-04-09 10:30:00,2108,2018-04-09 15:00:00,SELL,1329.78,1331.6860714285713,1331.6860714285713,1325.9678571428572,0.1,-19.760714285712947,-190.60714285712947,-1.0,SL,2018Q2,2018,9,2018-04-09 10:30:00,2018Q2,2018
108,2109,2018-04-09 15:30:00,2121,2018-04-09 21:30:00,BUY,1332.63,1337.6785714285716,1330.1057142857144,1337.6785714285716,0.1,49.78571428571449,504.85714285714494,1.9190528634361237,TP,2018Q2,2018,12,2018-04-09 15:30:00,2018Q2,2018
109,2122,2018-04-09 22:00:00,2133,2018-04-10 04:30:00,BUY,1337.44,1334.4314285714286,1334.4314285714286,1343.4571428571428,0.1,-30.785714285714857,-300.8571428571486,-1.0,SL,2018Q2,2018,11,2018-04-09 22:00:00,2018Q2,2018
110,2136,2018-04-10 06:00:00,2144,2018-04-10 10:00:00,SELL,1333.73,1335.7967857142858,1335.7967857142858,1329.5964285714285,0.1,-21.367857142857428,-206.6785714285743,-1.0,SL,2018Q2,2018,8,2018-04-10 06:00:00,2018Q2,2018
111,2146,2018-04-10 11:00:00,2146,2018-04-10 11:00:00,BUY,1337.42,1334.93,1334.93,1342.4,0.1,-25.60000000000009,-249.0000000000009,-1.0,SL,2018Q2,2018,0,2018-04-10 11:00:00,2018Q2,2018
