n,mean_bps,median_bps,win_rate_pct,std_bps,skew,p01_bps,p05_bps,p10_bps,p25_bps,p50_bps,p75_bps,p90_bps,p95_bps,p99_bps,adverse_es_5_bps,favorable_es_5_bps,horizon_min,mean_mfe_bps,mean_mae_bps
271335,0.0015210260411523929,0.0,48.87684965080067,2.807666535664425,-0.7319365921764491,-8.071546916773245,-3.927542549434261,-2.6035831116884145,-1.0960739241887127,0.0,1.1513381689853186,2.673409602477534,3.9410135367259143,7.573314852028371,-6.758941917618615,6.3690619823691375,1,1.5877472900019418,1.637399284633012
270858,0.007766665478154956,0.05296575212456074,50.317878740890066,4.680241820324915,-0.7413019294534566,-13.770665832984939,-6.730911975647309,-4.433460982214239,-1.8722477123166776,0.05296575212456074,2.0447645379918775,4.519988937678509,6.57859276738135,12.447968339992686,-11.498390741515406,10.469167238231595,3,2.846783190636331,2.957871909750181
270419,0.0295106398856116,0.1054374070843878,50.96313498681675,5.935816550918846,-0.6854903407236761,-17.540365786374554,-8.555631801718759,-5.686622499404119,-2.3768656283390883,0.1054374070843878,2.6245281646535195,5.759440345709326,8.396428561441788,15.82249833210319,-14.555229343578425,13.320995627124065,5,3.7023451554812317,3.8592865457684806
269433,0.03419324173577137,0.16496886212712344,51.252444949208154,8.278508749500746,-0.6696924184577826,-24.61926242190612,-12.015740539353034,-7.939886109037537,-3.3438385594751088,0.16496886212712344,3.690905395141135,8.001952625510897,11.626914870406157,21.968587314307985,-20.35989722203311,18.5321419380326,10,5.2882574437766365,5.509173357549212
268577,0.03216928308419921,0.24879954220974745,51.57627049226107,10.09355772990061,-0.8692672752024725,-29.863583903070296,-14.682073930054544,-9.692204858294852,-4.062184031763152,0.24879954220974745,4.46191351189063,9.724667761041546,14.130130786729474,26.695510079125253,-24.901023451444896,22.550875268435412,15,6.505064523564238,6.759166394576012
266162,0.03339517686356694,0.31362054019197694,51.41718201696711,14.16823300970393,-0.7253951076511901,-42.5471464281183,-20.554787900210194,-13.663466602912298,-5.803991318581564,0.31362054019197694,6.291223062235572,13.719646710110803,19.96934951462003,38.307121044032606,-35.01662929571061,31.90496099505598,30,9.300814560737754,9.617403920676965
