time,datetime_str,open,high,low,close,tick_volume,spread,real_volume
991526400,2001-06-03 00:00:00,266.5,275.5,264.25,274.0,3375,0,0
992131200,2001-06-10 00:00:00,273.0,277.4,266.1,271.8,5055,0,0
992736000,2001-06-17 00:00:00,271.0,276.2,270.6,272.9,3610,0,0
993340800,2001-06-24 00:00:00,272.3,279.55,267.3,271.1,4775,0,0
993945600,2001-07-01 00:00:00,270.6,272.5,264.15,266.5,3285,0,0
994550400,2001-07-08 00:00:00,266.5,270.35,265.1,267.6,2760,0,0
995155200,2001-07-15 00:00:00,266.95,272.35,266.25,270.3,3010,0,0
995760000,2001-07-22 00:00:00,270.15,270.8,265.0,267.8,2560,0,0
996364800,2001-07-29 00:00:00,267.6,269.55,264.0,268.8,2675,0,0
996969600,2001-08-05 00:00:00,268.5,277.55,265.75,274.8,3350,0,0
997574400,2001-08-12 00:00:00,273.5,281.7,273.0,279.5,3645,0,0
998179200,2001-08-19 00:00:00,279.0,280.05,271.55,273.1,3915,0,0
998784000,2001-08-26 00:00:00,272.25,276.75,270.15,274.7,3170,0,0
999388800,2001-09-02 00:00:00,274.45,275.25,270.7,273.4,2635,0,0
999993600,2001-09-09 00:00:00,273.0,296.0,270.45,285.8,10345,0,0
1000598400,2001-09-16 00:00:00,288.0,296.1,283.75,291.7,6821,0,0
1001203200,2001-09-23 00:00:00,290.5,294.65,286.5,293.45,5166,0,0
1001808000,2001-09-30 00:00:00,292.0,293.7,288.1,291.2,3917,0,0
1002412800,2001-10-07 00:00:00,290.75,294.62,279.7,284.7,5254,0,0
1003017600,2001-10-14 00:00:00,284.2,286.25,277.2,279.9,4675,0,0
1003622400,2001-10-21 00:00:00,279.4,280.0,273.95,277.6,2875,0,0
1004227200,2001-10-28 00:00:00,277.1,282.5,276.65,280.2,2860,0,0
1004832000,2001-11-04 00:00:00,279.7,281.6,276.0,277.95,3035,0,0
1005436800,2001-11-11 00:00:00,277.2,282.5,273.45,275.1,4025,0,0
1006041600,2001-11-18 00:00:00,274.6,276.25,271.7,273.15,2425,0,0
1006646400,2001-11-25 00:00:00,272.8,276.55,272.0,274.65,2330,0,0
1007251200,2001-12-02 00:00:00,274.15,278.7,273.1,274.8,2875,0,0
1007856000,2001-12-09 00:00:00,274.3,279.95,270.95,278.7,2395,0,0
1008460800,2001-12-16 00:00:00,277.35,281.75,274.0,278.4,3640,0,0
1009065600,2001-12-23 00:00:00,277.7,281.25,275.55,276.8,2891,0,0
