time,open,high,low,close,tick_volume,spread,real_volume,datetime_str
1262563200,1096.85,1123.72,1092.95,1121.13,36287,0,0,2010-01-04 00:00:00
1262649600,1121.15,1128.6,1115.08,1117.8,34598,0,0,2010-01-05 00:00:00
1262736000,1117.83,1140.4,1116.38,1137.97,37367,0,0,2010-01-06 00:00:00
1262822400,1138.03,1138.88,1128.28,1131.43,35057,0,0,2010-01-07 00:00:00
1262908800,1131.35,1139.4,1119.55,1137.53,34807,0,0,2010-01-08 00:00:00
1263168000,1137.6,1161.9,1137.6,1151.55,32675,0,0,2010-01-11 00:00:00
1263254400,1151.53,1158.03,1124.9,1127.85,34216,0,0,2010-01-12 00:00:00
1263340800,1127.88,1138.63,1118.5,1137.8,35890,0,0,2010-01-13 00:00:00
1263427200,1137.78,1146.28,1130.8,1142.45,36241,0,0,2010-01-14 00:00:00
1263513600,1142.53,1145.7,1126.58,1130.45,32906,0,0,2010-01-15 00:00:00
1263772800,1130.4,1137.2,1127.22,1133.85,17438,0,0,2010-01-18 00:00:00
1263859200,1134.05,1140.58,1128.9,1138.13,30648,0,0,2010-01-19 00:00:00
1263945600,1138.15,1141.45,1107.05,1111.13,36576,0,0,2010-01-20 00:00:00
1264032000,1111.08,1117.53,1088.35,1093.73,39476,0,0,2010-01-21 00:00:00
1264118400,1093.71,1098.55,1082.35,1092.83,41557,0,0,2010-01-22 00:00:00
1264377600,1092.65,1104.05,1092.38,1098.3,35516,0,0,2010-01-25 00:00:00
1264464000,1098.35,1103.4,1085.43,1097.4,33127,0,0,2010-01-26 00:00:00
1264550400,1097.43,1102.3,1083.3,1087.75,38007,0,0,2010-01-27 00:00:00
1264636800,1087.65,1096.05,1074.15,1086.53,35639,0,0,2010-01-28 00:00:00
1264723200,1086.28,1090.37,1074.55,1080.59,37020,0,0,2010-01-29 00:00:00
1264982400,1080.65,1107.67,1076.58,1105.3,31362,0,0,2010-02-01 00:00:00
1265068800,1105.45,1118.45,1098.88,1114.21,33988,0,0,2010-02-02 00:00:00
1265155200,1114.15,1125.0,1107.03,1109.65,31122,0,0,2010-02-03 00:00:00
1265241600,1109.7,1111.1,1059.45,1063.43,35359,0,0,2010-02-04 00:00:00
1265328000,1063.45,1068.68,1044.35,1065.8,43525,0,0,2010-02-05 00:00:00
1265587200,1065.6,1073.72,1061.55,1062.63,35946,0,0,2010-02-08 00:00:00
1265673600,1062.65,1083.0,1061.63,1077.78,37369,0,0,2010-02-09 00:00:00
1265760000,1077.83,1082.1,1063.35,1071.83,35519,0,0,2010-02-10 00:00:00
1265846400,1071.85,1097.8,1071.35,1095.1,37209,0,0,2010-02-11 00:00:00
1265932800,1095.05,1096.95,1077.75,1093.05,38472,0,0,2010-02-12 00:00:00
1266192000,1093.0,1102.3,1091.33,1100.75,19358,0,0,2010-02-15 00:00:00
1266278400,1101.0,1121.0,1098.0,1118.85,35967,0,0,2010-02-16 00:00:00
1266364800,1119.03,1127.15,1105.07,1106.57,36310,0,0,2010-02-17 00:00:00
1266451200,1106.59,1123.94,1097.75,1108.35,39991,0,0,2010-02-18 00:00:00
1266537600,1108.28,1126.78,1099.0,1118.95,40710,0,0,2010-02-19 00:00:00
1266796800,1118.7,1130.63,1109.8,1114.05,33255,0,0,2010-02-22 00:00:00
1266883200,1114.15,1121.05,1099.22,1103.22,39042,0,0,2010-02-23 00:00:00
1266969600,1103.28,1108.13,1089.85,1097.47,31567,0,0,2010-02-24 00:00:00
1267056000,1097.35,1109.05,1088.2,1106.25,37555,0,0,2010-02-25 00:00:00
1267142400,1106.28,1118.93,1104.1,1117.3,34901,0,0,2010-02-26 00:00:00
1267401600,1117.5,1123.43,1112.03,1118.68,35938,0,0,2010-03-01 00:00:00
1267488000,1118.65,1137.6,1114.8,1134.23,33532,0,0,2010-03-02 00:00:00
1267574400,1134.35,1144.85,1132.15,1139.65,27641,0,0,2010-03-03 00:00:00
1267660800,1139.64,1141.45,1125.6,1132.03,32482,0,0,2010-03-04 00:00:00
1267747200,1132.05,1140.53,1127.35,1134.28,30759,0,0,2010-03-05 00:00:00
1268006400,1134.3,1137.58,1118.45,1123.33,25524,0,0,2010-03-08 00:00:00
1268092800,1123.35,1124.88,1108.35,1121.53,29527,0,0,2010-03-09 00:00:00
1268179200,1121.18,1127.93,1103.15,1108.05,33638,0,0,2010-03-10 00:00:00
1268265600,1108.1,1111.42,1100.35,1109.28,26941,0,0,2010-03-11 00:00:00
1268352000,1109.25,1119.18,1098.15,1101.35,28185,0,0,2010-03-12 00:00:00
1268611200,1101.5,1110.11,1100.85,1108.85,24958,0,0,2010-03-15 00:00:00
1268697600,1109.2,1128.68,1108.22,1125.38,27238,0,0,2010-03-16 00:00:00
1268784000,1126.07,1133.05,1118.22,1124.8,26097,0,0,2010-03-17 00:00:00
1268870400,1124.28,1129.15,1118.15,1126.05,23970,0,0,2010-03-18 00:00:00
1268956800,1125.93,1127.08,1101.4,1106.5,25045,0,0,2010-03-19 00:00:00
1269216000,1107.47,1108.55,1092.03,1103.18,26832,0,0,2010-03-22 00:00:00
1269302400,1102.35,1107.95,1094.3,1101.6,24501,0,0,2010-03-23 00:00:00
1269388800,1102.0,1105.65,1084.95,1086.35,30412,0,0,2010-03-24 00:00:00
1269475200,1086.4,1095.55,1085.45,1090.78,29206,0,0,2010-03-25 00:00:00
1269561600,1091.05,1109.58,1088.53,1106.95,23778,0,0,2010-03-26 00:00:00
1269820800,1107.05,1114.65,1103.35,1109.4,21751,0,0,2010-03-29 00:00:00
1269907200,1109.4,1113.28,1101.53,1103.4,20003,0,0,2010-03-30 00:00:00
1269993600,1103.43,1117.93,1102.25,1112.83,21863,0,0,2010-03-31 00:00:00
