representation,gradient_bin,n,mean_x,mean_post,median_post
ATR_T,G1,122471,0.019450357063105852,0.07205301543074788,0.1328230569810065
ATR_T,G2,122470,0.1523979291350722,0.0501073576873077,0.10775456763686563
ATR_T,G3,122470,0.33446255493154087,0.047419434072907274,0.11815533737479145
ATR_T,G4,122470,0.5894966691754627,0.032027853745143095,0.07534811411803777
ATR_T,G5,122470,1.208901518116937,-0.004229380074185913,0.025509059870560458
ATR_PRE,G1,122471,0.019804991810977068,0.07682359056756365,0.13481656350077467
ATR_PRE,G2,122470,0.15481551460114615,0.04956446818061839,0.10724102466759594
ATR_PRE,G3,122470,0.33940714497990687,0.05107532398777632,0.11802146399151214
ATR_PRE,G4,122470,0.6001937747346695,0.03045835279632528,0.07415367469689793
ATR_PRE,G5,122470,1.2987604072543353,0.00048759433075865267,0.03194383700010017
PRICE_BPS,G1,122471,0.04450238075099123,0.19691545082808679,0.2256402542211482
PRICE_BPS,G2,122470,0.3617854934405199,0.1197765293308488,0.18227014367183103
PRICE_BPS,G3,122470,0.8102988887488266,0.1181726570192191,0.1838888907351668
PRICE_BPS,G4,122470,1.5501819426953807,0.15520759609887325,0.22548025556488593
PRICE_BPS,G5,122470,4.233262865838677,0.09439533114830241,0.21101540571133004
EXCURSION_RATIO,G1,104508,0.027952667202646275,0.13395611525147857,0.19444444444426023
EXCURSION_RATIO,G2,103681,0.24380551746151724,0.09717367969256684,0.15789473684191646
EXCURSION_RATIO,G3,104096,0.5961269161553475,0.09339702749807521,0.16666666666650887
EXCURSION_RATIO,G4,106678,1.3589280456399082,0.07886281633483831,0.14093535572424398
EXCURSION_RATIO,G5,101505,4.249389073813521,0.012410146284351513,0.10000000000000009
